title,,Wall time vs Requested Wall Time,,,,,,,,
Number of Jobs Submitted: by Job Size,,,,,,,,,,
parameters,,,,,,,,,,
,,,,,,,,,,
start,end,,,,,,,,,
2015-07-01,2015-12-31,,,,,,,,,
---------,,1259979,,,,,,,,
Job Size,Number of Jobs Submitted,PDF,CDF,,,,,,,
1,236857,18.7984879113,18.7984879113,,,,,,,
2 - 4,15967,1.2672433429,20.0657312543,,,,,,,
5 - 8,38593,3.0629875577,23.128718812,,,,,,,
9 - 64,752307,59.7078998936,82.8366187055,,,,,,,
65 - 256,171492,13.6107030355,96.4473217411,,,,,,,
257 - 512,20815,1.6520116605,98.0993334016,,,,,,,
513 - 1024,14772,1.1724004924,99.271733894,,,,,,,
1k - 8k,9004,0.7146150849,99.9863489788,,,,,,,
8k - 32k,171,0.0135716548,99.9999206336,,,,,,,
32k - 131k,1,7.93664021384483E-005,100,,,,,,,
---------,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
title,,,,,,,,,,
Wait Hours: Per Job: by Job Wall Time,,,,,,,,,,
parameters,,,,,,,,,,
Job Size =  65 - 256,,,,,,,,,,
start,end,,,,,,,,,
2015-07-01,2015-12-31,,,,,,,,,
---------,,,,,,,,,,
,,,,,,,,,,
,Job Size =  1,Job Size =  1,Job Size =  2 - 4,Job Size =  2 - 4,Job Size = 5 - 8,Job Size = 5 - 8,Job Size =  9 - 64,Job Size =  9 - 64,Job Size =  65 - 256,Job Size =  65 - 256
Job Wall Time,Wait Hours: Per Job,Std Dev: Wait Hours: Per Job,Wait Hours: Per Job,Std Dev: Wait Hours: Per Job,Wait Hours: Per Job,Std Dev: Wait Hours: Per Job,Wait Hours: Per Job,Std Dev: Wait Hours: Per Job,Wait Hours: Per Job,Std Dev: Wait Hours: Per Job
0 - 1s,,,,,,,4.47782703,1.5200330509,5.31685,3.4611983649
1 - 30s,0.57796717,0.0276339986,0.06127023,0.058912273,1.42531179,0.2393291426,1.73670316,0.0259794877,4.8231792,0.1109287615
30s - 30min,5.77886876,0.0232934399,0.02947266,0.0121654665,1.30076459,0.0839905134,1.75227866,0.01564969,2.32909144,0.0339197034
30 - 60min,0.78690271,0.0252904426,0.10968322,0.0427316368,2.78958075,0.0900712404,2.92848212,0.058994579,9.82650513,0.1372636383
1 - 5hr,1.81019447,0.0623846351,0.1589693,0.0360918053,2.17039165,0.08791543,12.96331022,0.0994765645,9.46243163,0.1247210284
5 - 10hr,2.28847845,0.1062634657,0.0745859,0.0146689319,2.43975755,0.1911969706,26.6295793,0.2117331502,10.81759614,0.1520317403
10 - 18hr,14.39237793,0.5856441276,0.14111857,0.0392671551,3.49066382,0.2298835051,14.44610288,0.1667807781,13.08835651,0.2600619587
18+hr,3.06146396,0.0600403203,0.15705617,0.0391307037,7.0719844,0.2526039222,16.50864252,0.1975055984,18.67623749,0.3449876212
---------,,,,,,,,,,
,,,,,,,,,,
,Job Size =  1,Job Size =  2 - 4,Job Size = 5 - 8,Job Size =  9 - 64,Job Size =  65 - 256,,,,,
Job Wall Time Upper Bound (Hrs),Wait Hours: Per Job,Wait Hours: Per Job,Wait Hours: Per Job,Wait Hours: Per Job,Wait Hours: Per Job,,,,,
0.0002777778,,,,4.47782703,5.31685,,,,,
0.0083333333,0.57796717,0.06127023,1.42531179,1.73670316,4.8231792,,,,,
0.5,5.77886876,0.02947266,1.30076459,1.75227866,2.32909144,,,,,
1,0.78690271,0.10968322,2.78958075,2.92848212,9.82650513,,,,,
5,1.81019447,0.1589693,2.17039165,12.96331022,9.46243163,,,,,
10,2.28847845,0.0745859,2.43975755,26.6295793,10.81759614,,,,,
18,14.39237793,0.14111857,3.49066382,14.44610288,13.08835651,,,,,
18++,3.06146396,0.15705617,7.0719844,16.50864252,18.67623749,,,,,
