title,,,,,,,,,,,,,,,,,,,,,,,,
CPU Hours: Total: by Job Size,,,,,,,,,,,,,,,,,,,,,,,,
parameters,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
start,end,,,,,,,,,,,,,,,,,,,,,,,
7/1/2015,12/31/2015,,,,,,,,,,,,,,,,,,,,,,,
---------,,,,,,,,,,,,,,,,,,,,,,,,
Day,[1] CPU Hours: Total,[2 - 4] CPU Hours: Total,[5 - 8] CPU Hours: Total,[9 - 64] CPU Hours: Total,[65 - 256] CPU Hours: Total,[257 - 512] CPU Hours: Total,[513 - 1024] CPU Hours: Total,[1k - 8k] CPU Hours: Total,[8k - 32k] CPU Hours: Total,[32k - 131k] CPU Hours: Total,,,,CPU Hours by Job Size,,,,,,,,,,
7/1/2015,49020.1697,27.3739,32058.49,493817.8594,658939.5525,476865.4549,596472.0355,1222967.889,714.5244,0,,,,Job Size,[1],[2-4],[5-8],[9-64],[65-256],[257-512],[513-1024],[1k-8k],[8k-32k],[32k-131k]
7/2/2015,70224.3778,4.8989,39373.854,580221.2713,659659.2758,436594.5195,401056.8176,1236389.178,67188.0533,0,,,,CPU Hours,65858.51967,4319.436714,26536.49362,636370.2119,887350.551,471811.8943,525549.8058,786360.2034,52975.16094,63.96521739
7/3/2015,87811.6417,68.9944,42767.3644,736233.4891,697622.6448,465387.8269,543710.8041,855908.1556,7372.8,0,,,,,,,,,,,,,,
7/4/2015,69917.2632,66.6405,36797.0022,450599.8392,781962.3827,471625.3444,650448.8756,679112.2311,99778.56,0,,,,%CPU Hours by Job Size,,,,,,,,,,
7/5/2015,80903.435,55.3928,31562.4199,361901.9207,939662.9016,515041.1855,524753.4399,567659.3556,3968.5689,0,,,,Job Size,[1],[2-4],[5-8],[9-64],[65-256],[257-512],[513-1024],[1k-8k],[8k-32k],[32k-131k]
7/6/2015,117363.5313,302.9245,37130.0021,410587.5564,1041212.66,569961.366,553018.6843,718786.6758,0,0,,,,%CPU Hours,1.904969086,0.124940455,0.767572673,18.40711858,25.66676835,13.64724075,15.20161914,22.74560506,1.532315704,0.001850205
7/7/2015,128314.2177,257.234,38203.5445,598744.4267,846882.3777,474057.6177,750476.6266,1022632.138,0,0,,,,,,,,,,,,,,
7/8/2015,89912.4289,298.4211,36747.5755,587434.2363,656426.1239,410544.7053,1038101.32,1072337.445,0,0,,,,,,,,,,,,,,
7/9/2015,118455.0546,257.5633,30825.8218,613811.8015,858058.0952,540765.0799,930874.1826,867737.6133,1988.8356,0,,,,,,,,,,,,,,
7/10/2015,121666.1522,357.5634,32672.581,600639.0694,812774.5039,518032.2932,841028.5712,794036.8491,4346.3111,0,,,,,,,,,,,,,,
7/11/2015,101233.4119,142.2533,36261.9111,543852.2931,778778.5748,553626.9331,683077.9332,700322.9511,2680.6044,0,,,,,,,,,,,,,,
7/12/2015,131254.3452,141.03,38466.4652,483325.021,831478.4843,494275.3244,409953.7644,881986.8444,8883.7689,0,,,,,,,,,,,,,,
7/13/2015,113807.2407,507.08,38266.6705,398474.6179,795943.1268,528292.9398,362723.8689,864274.871,0,0,,,,,,,,,,,,,,
7/14/2015,112066.487,215.1233,38474.5805,403842.0695,373955.8908,192630.39,394990.051,558957.3581,12697.6,0,,,,,,,,,,,,,,
7/15/2015,131602.3161,199.4768,38257.0782,720211.9237,739843.6435,569997.7069,741652.8511,859781.3664,277.6178,0,,,,,,,,,,,,,,
7/16/2015,149206.6382,133.8567,39636.9287,572979.8431,842258.6684,561169.8044,958922.9975,588798.8713,837.4044,0,,,,,,,,,,,,,,
