title,,,,,,,,,,,,,,,,,
CPU Hours: Total: by Job Wall Time,,,,,,,,,,,,,,,,,
parameters,,,,,,,,,,,,,,,,,
Job Size =  5 - 8,,,,,,,,,,,,,,,,,
start,end,,,,,,,,,,,,,,,,
7/1/2015,12/31/2015,,,,,,,,,,,,,,,,
---------,,,,,,,,,,,[1 - 30s] CPU Hours: Total,[30s - 30min] CPU Hours: Total,[30 - 60min] CPU Hours: Total,[1 - 5hr] CPU Hours: Total,[5 - 10hr] CPU Hours: Total,[10 - 18hr] CPU Hours: Total,[18+hr] CPU Hours: Total
Day,[1 - 30s] CPU Hours: Total,[30s - 30min] CPU Hours: Total,[30 - 60min] CPU Hours: Total,[1 - 5hr] CPU Hours: Total,[5 - 10hr] CPU Hours: Total,[10 - 18hr] CPU Hours: Total,[18+hr] CPU Hours: Total,,,0,0.489836957,63.50246467,151.5407065,838.2112158,1180.771192,1957.505933,22344.47227
7/1/2015,0.9045,140.0705,282.16,1959.0951,1829.3844,1556.8378,26290.0377,,,,,,,,,,
7/2/2015,0.8356,49.8444,149.0267,886.965,2815.5289,2509.8956,32961.7578,,,0,0.001845899,0.239302395,0.571065299,3.158711275,4.449612709,7.376656319,84.20280611
7/3/2015,0.2444,64.4356,136.2022,1047.5511,833.2044,2395.3778,38290.3489,,,,,,,,,,
7/4/2015,0.2733,34.7,92.4978,404.1867,199.0578,1005.6333,35060.6533,,,,,,,,,,
7/5/2015,0.0778,34.6444,66.6111,445.8844,654.1511,970.0178,29391.0333,,,,,,,,,,
7/6/2015,0.2511,92.7555,225.14,1061.9444,1632.3489,1631.1067,32486.4555,,,,,,,,,,
7/7/2015,0.2756,79.4244,183.28,926.3022,1906.0556,2632.2667,32475.94,,,,,,,,,,
7/8/2015,0.4111,135.2244,218.2844,1549.04,1636.0689,2825.5289,30383.0178,,,,,,,,,,
7/9/2015,0.5511,58.5645,131.04,1867.5929,2173.0778,2220.4222,24374.5733,,,,,,,,,,
7/10/2015,0.4667,37.0545,153.9133,709.622,1028.9775,2154.7403,28587.8067,,,,,,,,,,
7/11/2015,0.2022,28.0756,156.5733,721.4931,1091.2891,2014.84,32249.4378,,,,,,,,,,
7/12/2015,0.28,48.2333,154,799.9872,1911.6061,1598.9075,33953.4511,,,,,,,,,,
7/13/2015,0.5112,92.0133,238.4502,1015.7211,2047.4572,2408.5108,32464.0067,,,,,,,,,,
7/14/2015,0.2111,103.7588,181.0867,944.0989,2717.7867,2261.8072,32265.8311,,,,,,,,,,
7/15/2015,0.2522,82.9272,140.7183,874.1583,2615.7289,1868.0644,32675.2289,,,,,,,,,,
7/16/2015,0.1556,99.8916,227.3627,1459.0355,2186.3478,1394.3111,34269.8244,,,,,,,,,,
7/17/2015,0.3451,86.4034,199.3667,1148.7244,1788.4622,1738.2617,29607.6378,,,,,,,,,,
7/18/2015,0.2045,74.7378,114.6044,598.8517,529.3467,1155.9483,22596.6006,,,,,,,,,,
7/19/2015,0.2156,30.03,81.4,754.2067,1219.7889,837.9556,31588.309,,,,,,,,,,
7/20/2015,0.2183,49.96,93.3889,790.7705,2088.8567,1353.0267,31077.4245,,,,,,,,,,
7/21/2015,0.22,55.1311,124.9578,1126.83,1494.303,3609.8689,31128.0467,,,,,,,,,,
7/22/2015,0.2089,102.7689,307.3,1558.0614,1537.1028,4084.6444,32395.9647,,,,,,,,,,
7/23/2015,0.1244,77.18,141.3311,1003.3178,1968.8667,4381.4356,31742.8067,,,,,,,,,,
7/24/2015,0.3667,56.0011,150.3889,986.2,1970.7467,2650.0778,33044.6732,,,,,,,,,,
7/25/2015,0.1733,41.7144,94.2133,499.6811,1678.0978,1888.8111,31323.2484,,,,,,,,,,
7/26/2015,0.34,44.9589,74.5333,437.3706,1274.5867,1419.8311,23633.1478,,,,,,,,,,
7/27/2015,0.5144,45.3911,95.2778,791.8489,733.3689,1242.3489,33372.7899,,,,,,,,,,
7/28/2015,0.3023,80.3827,277.2266,825.2366,3149.4844,3793.5044,33183.9761,,,,,,,,,,
7/29/2015,0.235,33.3,349.6672,845.6856,2099.4089,3540.2511,33663.9612,,,,,,,,,,
7/30/2015,0.2833,65.9395,166.8712,1210.8428,2074.22,1766.5578,35442.2678,,,,,,,,,,
7/31/2015,0.7845,51.2244,286.9333,716.7055,1170.3244,1287.7533,38487.1417,,,,,,,,,,
8/1/2015,0.0978,28.44,29.6689,1063.1644,474.5844,1938.98,37321.4883,,,,,,,,,,
8/2/2015,0.0289,6.9467,148.4061,1867.6117,675.4067,653.2444,35412.4056,,,,,,,,,,
8/3/2015,2.5249,103.2223,366.0112,1714.9773,1577.0067,2176.3622,24689.3994,,,,,,,,,,
8/4/2015,0.9289,89.5267,131.5512,1117.6067,2764.1556,3901.6178,17752.0223,,,,,,,,,,
8/5/2015,0.9089,113.9822,788.3111,1581.5,1677.2311,2582.79,21952.7417,,,,,,,,,,
8/6/2015,0.8644,83.6422,141.2311,1113.4,2326.2867,2196.125,18834.9934,,,,,,,,,,
8/7/2015,0.6339,38.67,126.8662,969.1511,1788.8611,2039.0878,17042.0644,,,,,,,,,,
8/8/2015,0.3244,24.0083,886.6961,804.5494,2113.1572,2526.1772,15134.0666,,,,,,,,,,
8/9/2015,0.1045,14.52,319.7617,955.0967,1072.0506,1291.4144,9451.149,,,,,,,,,,
8/10/2015,0.2039,76.2822,213.22,813.1083,2694.7484,1281.2712,6229.8694,,,,,,,,,,
8/11/2015,0.7267,96.8072,1236.8401,2122.2283,1973.1666,911.3334,8899.2994,,,,,,,,,,
8/12/2015,0.4889,101.3533,200.0195,1449.6561,2712.5489,3743.9572,45804.0855,,,,,,,,,,
8/13/2015,0.2267,38.0111,129.0667,648.2071,1083.8277,1383.8378,46640.1301,,,,,,,,,,
8/14/2015,0.0866,8.8533,12.0956,127.8333,162.12,386.3728,38285.4223,,,,,,,,,,
8/15/2015,0,3.8178,0,0,168.3833,89.425,32088.4072,,,,,,,,,,
8/16/2015,0,0.1622,0,3.0378,272.9823,0,26604.6806,,,,,,,,,,
8/17/2015,0.5,97.06,273.3489,1568.5511,2175.6089,5168.6133,32653.455,,,,,,,,,,
8/18/2015,0.1911,34.4889,143.3333,666.0956,545.0644,2989.5889,29000.2117,,,,,,,,,,
8/19/2015,0.2978,81.9839,98.38,1219.1622,1635.1289,3980.8623,25738.9672,,,,,,,,,,
8/20/2015,0.3756,27.1933,99.4023,1175.6044,947.7422,3448.5689,28162.5667,,,,,,,,,,
8/21/2015,0.82,94.4289,84.7755,726.4467,776.4067,2295.6528,29782.8739,,,,,,,,,,
8/22/2015,0.0911,26.3156,143.2644,609.4756,573.7822,2278.075,34219.5283,,,,,,,,,,
8/23/2015,0.2183,50.8089,134.6994,939.7222,1337.48,1535.1411,33193.8633,,,,,,,,,,
8/24/2015,0.5267,143.1333,280.1956,2760.1089,3176.5778,4464.9023,32988.2544,,,,,,,,,,
8/25/2015,0.8622,103.3601,303.8705,2916.4356,1568.0667,3280.5078,41509.7827,,,,,,,,,,
8/26/2015,0.3289,80.1867,214.9356,1646.3889,1884.9378,3707.815,46012.0156,,,,,,,,,,
8/27/2015,0.3378,74.6689,90.1622,1605.3772,2703.7473,5024.4117,40080.305,,,,,,,,,,
8/28/2015,0.1889,97.2667,104.3556,907.4906,1368.1222,3553.0578,34803.3655,,,,,,,,,,
8/29/2015,0.0689,20.9383,41.9577,290.1423,1312.0506,2264.8328,26346.6006,,,,,,,,,,
8/30/2015,0.1933,16.3706,46.2222,473.3394,618.1239,2245.4378,26764.9806,,,,,,,,,,
8/31/2015,0.3733,51.2756,133.4594,569.6614,759.5623,3634.3044,25792.9883,,,,,,,,,,
9/1/2015,0.5755,111.7144,183.3045,1140.9917,1283.9028,3287.9117,30112.22,,,,,,,,,,
9/2/2015,0.2289,46.4311,117.2356,1014.3401,1376.1889,3454.1978,27452.8694,,,,,,,,,,
9/3/2015,0.0956,28.3967,85.02,1099.5489,1126.9223,3784.4228,26939.7456,,,,,,,,,,
9/4/2015,0.1733,45.6106,58.2811,489.605,634.055,3891.4739,31296.449,,,,,,,,,,
9/5/2015,0.1467,69.455,87.0311,493.46,1477.7684,1883.6767,33909.3161,,,,,,,,,,
9/6/2015,0.9089,37.7333,23.5089,961.2022,1548.3711,1283.8583,30161.7756,,,,,,,,,,
9/7/2015,0.5222,52.0556,84.0267,1355.3444,1551.2733,1920.4878,28001.7428,,,,,,,,,,
9/8/2015,0.5689,60.5311,143.9733,730.4161,1695.6844,4729.1489,28439.2567,,,,,,,,,,
9/9/2015,0.3711,71.4511,111.8156,746.14,1458.9473,4883.42,37379.9678,,,,,,,,,,
9/10/2015,0.2044,145.3289,290.1667,1136.5067,1215.9606,2764.42,38517.0077,,,,,,,,,,
9/11/2015,0.5939,84.0139,152.4933,1115.3355,1925.7867,3143.7178,30858.1405,,,,,,,,,,
9/12/2015,0.8733,58.5022,81.8467,417.0016,989.7822,816.3578,29903.9956,,,,,,,,,,
9/13/2015,0.4467,24.4622,79.3689,430.8556,438.2556,1489.4356,29044.1578,,,,,,,,,,
9/14/2015,0.7911,95.6867,191.9333,1074.425,1298.4044,1592.9511,26052.7844,,,,,,,,,,
9/15/2015,0.3667,47.1689,252.0444,1416.2333,1951.3444,6050.5156,21618.4911,,,,,,,,,,
9/16/2015,0.462,38.1178,117.7822,1422.2533,783.6,3447.5311,18811.6933,,,,,,,,,,
9/17/2015,0.9817,48.3122,308.2702,1389.6916,1518.1261,4869.63,27772.4911,,,,,,,,,,
9/18/2015,1.1,55.2578,125.9622,443.7766,1269.1554,2273.4778,32097.9067,,,,,,,,,,
9/19/2015,0.5756,43.3756,177.08,992.4355,1111.7467,1775.8178,30223.8184,,,,,,,,,,
9/20/2015,0.0778,45.5667,60.5622,497.5534,804.4333,2667.2578,27530.0122,,,,,,,,,,
9/21/2015,0.6963,45.1022,169.8044,1169.6333,1383.4356,1405.2489,24202.5839,,,,,,,,,,
9/22/2015,0.34,60.5,114.64,1822.2083,1828.9211,1250.4244,23459.4095,,,,,,,,,,
9/23/2015,0.3378,40.3778,287.9478,1268.02,1863.3961,2376.2267,20325.135,,,,,,,,,,
9/24/2015,0.1956,119.5983,264.1223,3216.6288,2517.8777,4304.9861,17861.4373,,,,,,,,,,
9/25/2015,0.4078,38.4367,70.1239,858.4689,1824.8834,1736.4727,17200.7083,,,,,,,,,,
