title,,,,,,,,,,,,,,,,
Number of Jobs Ended: by Job Wall Time,,,,,,,,,,,,,,,,
parameters,,,,,,,,,,,,,,,,
Resource =  TACC-STAMPEDE,Job Size =  9 - 64,,,,,,,,,[1 - 30s] Avg Percent of Jobs Ended,[30s - 30min] Avg Percent of Jobs Ended,[30 - 60min] Avg Percent of Jobs Ended,[1 – 5hr] Avg Percent of Jobs Ended,[5 – 10hr] Avg Percent of Jobs Ended,[10 - 18hr] Avg Percent of Jobs Ended,[18+hr] Avg Percent of Jobs Ended
start,end,,,,,,,,,20.9787575851,42.1922471845,5.7263790506,14.1675753515,4.7876590892,4.1918809359,7.9555008032
2015-08-01,2016-01-31,,,,,,,,,,,,,,,
---------,,,,,,,,,,,,,,,,
Day,[1 - 30s] Number of Jobs Ended,[30s - 30min] Number of Jobs Ended,[30 - 60min] Number of Jobs Ended,[1 - 5hr] Number of Jobs Ended,[5 - 10hr] Number of Jobs Ended,[10 - 18hr] Number of Jobs Ended,[18+hr] Number of Jobs Ended,,SUM,[1 - 30s] Percent of Jobs Ended,[30s - 30min] Percent of Jobs Ended,[30 - 60min] Percent of Jobs Ended,[1 - 5hr] Percent of Jobs Ended,[5 – 10hr] Percent of Jobs Ended,[10 - 18hr] Percent of Jobs Ended,[18+hr] Percent of Jobs Ended
2015-08-01,154,297,105,362,81,64,149,,1212,12.7062706271,24.504950495,8.6633663366,29.8679867987,6.6831683168,5.2805280528,12.2937293729
2015-08-02,173,617,114,508,83,95,242,,1832,9.443231441,33.6790393013,6.2227074236,27.7292576419,4.5305676856,5.1855895197,13.2096069869
2015-08-03,339,671,90,556,104,134,152,,2046,16.568914956,32.7956989247,4.3988269795,27.1749755621,5.0830889541,6.5493646139,7.4291300098
2015-08-04,178,565,119,429,86,67,162,,1606,11.0834371108,35.1805728518,7.4097135741,26.7123287671,5.3549190535,4.1718555417,10.0871731009
2015-08-05,284,769,132,567,99,59,203,,2113,13.4406057738,36.3937529579,6.2470421202,26.8338854709,4.6852815902,2.7922385234,9.6071935637
2015-08-06,223,643,170,413,110,174,268,,2001,11.1444277861,32.1339330335,8.4957521239,20.6396801599,5.4972513743,8.6956521739,13.3933033483
2015-08-07,197,496,184,505,110,73,137,,1702,11.5746180964,29.1421856639,10.8108108108,29.6709753231,6.4629847239,4.2890716804,8.0493537015
2015-08-08,137,339,81,368,96,77,289,,1387,9.8774333093,24.4412400865,5.8399423216,26.5320836337,6.9214131218,5.5515501081,20.8363374189
2015-08-09,164,565,41,380,71,74,207,,1502,10.9187749667,37.6165113182,2.7296937417,25.2996005326,4.7270306258,4.9267643142,13.7816245007
2015-08-10,432,1000,141,482,138,96,244,,2533,17.0548756415,39.4788787998,5.5665219108,19.0288195815,5.4480852744,3.7899723648,9.6328464272
2015-08-11,297,917,170,565,116,77,274,,2416,12.2930463576,37.9552980132,7.0364238411,23.3857615894,4.8013245033,3.1870860927,11.3410596026
2015-08-12,360,654,162,459,188,125,298,,2246,16.0284951024,29.1184327694,7.2128227961,20.4363312556,8.3704363313,5.5654496883,13.268032057
2015-08-13,427,527,92,305,115,175,217,,1858,22.9817007535,28.3638320775,4.9515608181,16.4155005382,6.1894510226,9.418729817,11.6792249731
2015-08-14,453,671,136,435,110,246,189,,2240,20.2232142857,29.9553571429,6.0714285714,19.4196428571,4.9107142857,10.9821428571,8.4375
2015-08-15,147,531,58,439,108,173,194,,1650,8.9090909091,32.1818181818,3.5151515152,26.6060606061,6.5454545455,10.4848484848,11.7575757576
2015-08-16,19,32,0,15,5,3,15,,89,21.3483146067,35.9550561798,0,16.8539325843,5.6179775281,3.3707865169,16.8539325843
2015-08-17,596,706,104,357,106,94,310,,2273,26.2208534976,31.0602727673,4.5754509459,15.7061152662,4.6634403872,4.1355037396,13.6383633964
2015-08-18,223,303,65,149,7,38,54,,839,26.579261025,36.1144219309,7.747318236,17.7592371871,0.8343265793,4.5292014303,6.4362336114
2015-08-19,292,1036,130,288,219,138,113,,2216,13.1768953069,46.7509025271,5.8664259928,12.9963898917,9.8826714801,6.2274368231,5.0992779783
2015-08-20,368,754,99,465,160,198,285,,2329,15.8007728639,32.3744096179,4.2507513954,19.9656504938,6.8699012452,8.5015027909,12.237011593
2015-08-21,300,697,136,383,123,135,190,,1964,15.2749490835,35.4887983707,6.9246435845,19.5010183299,6.2627291242,6.8737270876,9.6741344196
2015-08-22,178,356,91,370,164,150,284,,1593,11.1738857502,22.3477715003,5.7124921532,23.226616447,10.2950408035,9.4161958569,17.827997489
2015-08-23,158,325,74,380,146,73,236,,1392,11.3505747126,23.3477011494,5.316091954,27.2988505747,10.4885057471,5.2442528736,16.9540229885
2015-08-24,285,897,167,517,155,70,206,,2297,12.4074880279,39.0509360035,7.2703526339,22.507618633,6.7479320853,3.0474531998,8.9682194166
2015-08-25,353,1026,178,471,145,106,200,,2479,14.2396127471,41.387656313,7.180314643,18.9995966115,5.8491327148,4.2759177088,8.0677692618
