title
"Number of Jobs Running: by Node Count"
parameters
"Queue =  normal"
start,end
2015-06-01,2016-05-31
---------
"Node Count","Number of Jobs Running"
1,1947995
2,30839
8,28264
4,22814
16,19350
10,17883
32,12007
112,11755
6,8984
64,6447
20,5561
3,4968
5,4468
128,4309
100,3496
96,3169
61,2859
256,2444
80,2364
512,2333
60,2138
384,2125
40,1797
30,1789
15,1543
50,1246
12,1232
1024,1091
48,1046
160,1025
240,916
70,899
54,897
1152,873
26,750
110,744
90,722
200,669
768,665
17,648
25,606
24,596
7,591
120,574
9,559
192,527
18,440
2048,423
72,389
19,377
300,318
52,304
400,304
4096,256
150,240
800,227
144,224
210,224
14,221
8192,216
36,213
208,201
13,182
250,182
56,166
21,162
65,154
68,147
38,145
33,143
75,140
500,139
600,129
108,125
151,122
130,113
360,110
28,107
207,104
782,100
180,98
1000,97
41,91
76,91
63,90
908,83
43,82
129,81
864,77
252,73
113,71
177,70
11,66
42,65
1425,65
58,64
338,63
501,63
1046,61
22,58
23,57
31,57
51,56
163,56
1013,53
170,52
45,51
125,49
320,49
35,48
55,43
44,42
220,42
88,40
222,40
296,40
34,39
132,38
330,38
625,38
29,37
173,36
196,36
92,35
124,34
288,33
2154,32
46,31
450,31
22425,31
3200,30
236,29
98,27
104,27
49,26
59,26
216,26
261,26
1520,26
71,25
84,25
448,25
576,25
648,25
2475,25
13952,25
95,24
114,24
140,24
1200,24
13865,24
62,23
168,23
354,23
537,23
16384,23
507,22
1500,22
1620,22
37,21
722,21
27,19
280,19
560,19
875,19
938,19
2000,19
4000,19
126,18
224,18
315,18
1536,18
69,17
313,17
345,17
960,17
3060,17
7700,17
105,16
175,16
183,16
259,16
1400,16
3000,16
189,15
1754,15
1774,15
102,14
156,14
257,14
1237,14
2160,14
16320,14
66,13
83,13
101,13
138,13
148,13
162,13
823,13
2500,13
78,12
93,12
136,12
285,12
750,12
807,12
3072,12
5625,12
116,11
401,11
900,11
1250,11
79,10
97,10
109,10
111,10
154,10
225,10
248,10
269,10
293,10
432,10
672,10
1026,10
1744,10
4200,10
57,9
82,9
152,9
290,9
436,9
700,9
1241,9
2304,9
53,8
81,8
103,8
134,8
274,8
380,8
893,8
1058,8
3040,8
8300,8
77,7
122,7
165,7
176,7
204,7
391,7
424,7
528,7
896,7
1028,7
1230,7
1296,7
4112,7
5184,7
67,6
106,6
118,6
123,6
228,6
238,6
266,6
1004,6
1600,6
16500,6
18975,6
22380,6
47,5
99,5
135,5
185,5
260,5
272,5
282,5
336,5
375,5
440,5
513,5
640,5
894,5
1125,5
1216,5
1920,5
2100,5
2560,5
3260,5
6000,5
20250,5
26650,5
39,4
73,4
74,4
85,4
86,4
87,4
89,4
91,4
94,4
107,4
115,4
117,4
119,4
121,4
127,4
167,4
184,4
188,4
304,4
344,4
346,4
464,4
616,4
877,4
1001,4
1032,4
1240,4
2800,4
4500,4
6250,4
9950,4
20550,4
253,3
254,3
258,3
301,3
480,3
518,3
608,3
696,3
860,3
930,3
1280,3
1344,3
1664,3
3459,3
3920,3
4590,3
7168,3
12000,3
22600,3
158,2
201,2
218,2
249,2
294,2
342,2
379,2
416,2
420,2
598,2
663,2
832,2
1008,2
1044,2
1048,2
1074,2
1171,2
1210,2
1232,2
1307,2
1392,2
1792,2
2049,2
2162,2
2432,2
2700,2
2900,2
2916,2
3038,2
3125,2
3488,2
3813,2
4080,2
4608,2
5000,2
5738,2
6045,2
6400,2
8064,2
9728,2
20600,2
147,1
164,1
198,1
232,1
237,1
262,1
264,1
283,1
297,1
308,1
316,1
333,1
350,1
352,1
362,1
365,1
370,1
372,1
377,1
396,1
441,1
454,1
456,1
470,1
473,1
496,1
504,1
525,1
540,1
579,1
605,1
609,1
615,1
650,1
666,1
675,1
690,1
704,1
712,1
831,1
880,1
928,1
934,1
968,1
992,1
995,1
1025,1
1040,1
1120,1
1188,1
1312,1
1331,1
1408,1
1440,1
1563,1
1646,1
1800,1
2001,1
2016,1
2056,1
2192,1
2272,1
2400,1
2576,1
3108,1
3344,1
3375,1
3400,1
3500,1
3600,1
3691,1
3800,1
4066,1
4104,1
4460,1
4864,1
5001,1
5120,1
6144,1
6519,1
7000,1
8000,1
9092,1
10151,1
15813,1
22127,1
22460,1
26560,1
26693,1
---------
