title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-GORDON","Queue =  normal"
start,end
2015-06-01,2016-05-31
---------
"Node Count","Number of Jobs Running"
1,219407
2,21311
4,14259
3,8051
8,6176
6,3218
16,2926
10,1444
64,1076
32,1072
5,919
19,633
12,572
21,450
9,423
20,404
17,320
18,274
15,225
24,179
11,166
7,154
128,143
100,140
40,138
33,105
28,88
48,78
13,72
23,68
30,57
26,53
60,49
56,46
96,39
22,36
25,36
59,23
63,21
44,20
31,19
36,18
14,17
34,15
43,11
52,10
29,9
50,9
72,9
38,7
45,7
54,7
27,6
55,6
57,5
35,3
47,3
88,2
126,2
37,1
42,1
62,1
65,1
70,1
80,1
86,1
90,1
99,1
108,1
114,1
120,1
---------
