title,,,,,,,,,,,,,,,,,,,,,
Allocation Usage Rate (XD SU/Hour): by Resource,,,,,,,,,,,,,,,,,,,,,
parameters,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
start,end,,,,,,,,,,,,,,,,,,,,
2015-08-01,2016-01-31,,,,,,,,,,,,,,,,,,,,
---------,,,,,,,,,,,,,,,,,,,,,
Day,[TACC STAMPEDE] Allocation Usage Rate (XD SU/Hour),[SDSC COMET] Allocation Usage Rate (XD SU/Hour),[SDSC GORDON] Allocation Usage Rate (XD SU/Hour),[NICS DARTER] Allocation Usage Rate (XD SU/Hour),[CCT LSU SUPERMIC] Allocation Usage Rate (XD SU/Hour),[OSG] Allocation Usage Rate (XD SU/Hour),[TACC MAVERICK2] Allocation Usage Rate (XD SU/Hour),[PSC BLACKLIGHT] Allocation Usage Rate (XD SU/Hour),[PSC GREENFIELD] Allocation Usage Rate (XD SU/Hour),[TACC LONESTAR4] Allocation Usage Rate (XD SU/Hour),,[TACC STAMPEDE] Allocation Usage Rate (XD SU/Hour),[SDSC COMET] Allocation Usage Rate (XD SU/Hour),[SDSC GORDON] Allocation Usage Rate (XD SU/Hour),[NICS DARTER] Allocation Usage Rate (XD SU/Hour),[CCT LSU SUPERMIC] Allocation Usage Rate (XD SU/Hour),[OSG] Allocation Usage Rate (XD SU/Hour),[TACC MAVERICK2] Allocation Usage Rate (XD SU/Hour),[PSC BLACKLIGHT] Allocation Usage Rate (XD SU/Hour),[PSC GREENFIELD] Allocation Usage Rate (XD SU/Hour),[TACC LONESTAR4] Allocation Usage Rate (XD SU/Hour)
2015-08-01,403730,222351.0833,62907.0833,28870.2083,8381.1667,1724,2628.625,3351.8333,0,0,,372853.902645109,191336.510952174,57427.9411429348,31502.6021097826,9269.8742451087,7740.9728043478,2778.2921652174,225.2398086957,126.7026815217,0.0061141304
2015-08-02,415364.7917,151987,62116.5833,35203.625,9506.7083,2151.125,1964.5833,2557.7083,0,0,,,,,,,,,,,
2015-08-03,415453.7917,176597.0417,60320.9167,26024.0833,15275.0417,2023.4167,2261.75,2297.2917,0,0,,,,,,,,,,,
2015-08-04,416823.4583,171699.2083,60824.5417,39158.75,13070.9583,2469.2083,3656.7083,2430.75,0,0,,,,,,,,,,,
2015-08-05,399477.625,150071.2083,62382.7083,29893.4583,10917.2917,1956.5,4592.75,2811.375,0,0,,,,,,,,,,,
2015-08-06,390621.375,183795.625,61114,40919.7083,9960.5,1596.0417,3747.2917,3156.4583,0,0,,,,,,,,,,,
2015-08-07,407561.7083,176253.8333,61261.5,33858.5,4000.125,1621.5833,4522.9167,3215.9583,0,0,,,,,,,,,,,
2015-08-08,395196.4167,207056.875,62719.125,27284.375,5792.9583,1758.625,3615.3333,3154.3333,0,0,,,,,,,,,,,
2015-08-09,416492,204176.625,61933.5,39832.4167,22471.6667,305.125,3288.0417,3986.8333,0,0,,,,,,,,,,,
2015-08-10,408758.5833,185675.9167,58106.7917,38059.3333,8791.625,1750.75,4620.3333,4217.2083,0,0,,,,,,,,,,,
2015-08-11,415118,162141.4167,58242.0417,30200.0833,10572.3333,7133.875,5757.8333,4461.7917,0,0,,,,,,,,,,,
2015-08-12,400498.5,150536.125,61853.7083,31162.2917,12717.4583,2273.5833,3776.8333,4002,0,0,,,,,,,,,,,
2015-08-13,415324,137700.0417,60649.5417,40590.6667,22125,749.4167,3513.75,1513.7917,0,0,,,,,,,,,,,
2015-08-14,414570.625,187962.7917,59839.5417,27887.5833,30895.9583,513.5417,2386.4167,196.7083,0,0,,,,,,,,,,,
2015-08-15,298402.9167,170667.0833,51372.7083,24973.6667,31810.4167,602.4583,2316.75,90.0833,0,0,,,,,,,,,,,
2015-08-16,190157.875,165898.4583,48157,28432.9583,18513.7083,209.875,101.125,0,0,0,,,,,,,,,,,
2015-08-17,237885.875,191378.9167,55035.6667,30063.4167,21327.2083,508.625,1445.25,0,0,0,,,,,,,,,,,
2015-08-18,73285.375,169380.7917,58258.5,26915.4167,17044.5,1809.5,998.5,0,0,0,,,,,,,,,,,
2015-08-19,384142.875,225578.9167,61636.3333,33047.1667,14932.0417,954.625,1304.4167,0,0,0,,,,,,,,,,,
2015-08-20,412262.4167,225297.0417,64317.5417,29174.4583,11786.25,822.4583,901.5,0,0,0,,,,,,,,,,,
2015-08-21,402374.8333,215052.6667,66653.4167,23368.4167,12937.7917,648.1667,626.0417,0,0,0,,,,,,,,,,,
2015-08-22,388654.9167,197396.5,61360.25,9248.25,17906.5417,713.4167,644.75,0,0,0,,,,,,,,,,,
2015-08-23,407579,180666.375,59232.8333,3376.6667,20607.4583,608.2083,2.9167,0,0,0,,,,,,,,,,,
2015-08-24,415875.875,174859.0417,59207.5417,9954.7083,14976.125,1353.625,475.9583,0,0,0,,,,,,,,,,,
2015-08-25,403737.75,189060.0417,62241.0417,10966.9583,26638.5,1904.625,723.5833,0,0,0,,,,,,,,,,,
2015-08-26,390977.2083,185579.5,65811.8333,15170.1667,11086.3333,935.9583,544.9167,0,0,0,,,,,,,,,,,
2015-08-27,389348.9167,212794,64631.125,32963.5833,19868.875,518.7083,831.875,0,0,0,,,,,,,,,,,
2015-08-28,381794.4167,208546.25,65191.5833,32189.625,10099.2083,439.0417,1783.4583,0,0,0.25,,,,,,,,,,,
2015-08-29,404365.9583,158182.5,64475.7083,19222.7083,11066.1667,495.7083,860.7083,0,0,0,,,,,,,,,,,
2015-08-30,358016.9167,156633.9167,64897.7917,20331.6667,6943.9167,624.4583,893.5417,0,0,0,,,,,,,,,,,
2015-08-31,374218.1667,161576.4167,64568,33505.1667,7989.0417,636.625,1795.6667,0,0,0,,,,,,,,,,,
2015-09-01,357483.9583,123001.75,66714.625,18018.75,1518.8333,780.0833,493.25,0,0,0,,,,,,,,,,,
2015-09-02,267053.0417,125158.5417,52095.9583,26932.2083,1510.9583,766.6667,1478.4167,0,0,0,,,,,,,,,,,
2015-09-03,173195.25,137650.7083,52208.0833,34047.5417,1060.9583,240.875,3535.2083,0,0,0,,,,,,,,,,,
2015-09-04,378352.6667,127424.5417,60785.0417,29950.875,1966.875,334.0417,4397.7917,0,0,0,,,,,,,,,,,
2015-09-05,398827.9167,134436.4583,64436.625,26882.5417,1749.625,412.4583,500.7917,0,0,0,,,,,,,,,,,
2015-09-06,382477.8333,83936.0417,66500.625,11448.7083,3074.8333,259.5,665.9583,0,0,0,,,,,,,,,,,
2015-09-07,339126.25,61989.5417,65967.2083,17474.3333,3854.7083,513.6667,3217.4167,0,0,0,,,,,,,,,,,
2015-09-08,363732.9583,18030.9167,64345.2917,16538.625,5095.75,251.875,5003.0417,0,0,0.8333,,,,,,,,,,,
2015-09-09,392315.875,131756.3333,57205.7917,22136.5,7059.0833,475.625,7338.0417,0,0,0,,,,,,,,,,,
2015-09-10,401415.0833,146606.625,63498.25,29088.25,8192.25,220.5,8007.0417,0,28.3333,0,,,,,,,,,,,
2015-09-11,404960.25,110231.7917,66653.25,22235.25,5125.0833,495.2083,4286.7083,0,30.2083,0,,,,,,,,,,,
2015-09-12,394962.5,151761.4583,65267.5,24427.75,1623.625,285.7083,794,0,30.2083,0,,,,,,,,,,,
2015-09-13,393830.1667,138832.875,65892.375,33325.6667,737.4167,125.5833,1282.5417,0,30.2083,0,,,,,,,,,,,
2015-09-14,406637.875,117686.0417,65797.2917,32462.625,1273.2083,185.0833,1150.625,0,31.9167,0,,,,,,,,,,,
2015-09-15,393745.4167,152801.375,64526.9167,21378.7917,1430.5417,286.4583,2873.7083,0,57.7917,0,,,,,,,,,,,
2015-09-16,390385.4167,160912.5833,66362.375,20421.0833,857.9167,231.8333,4261.5833,0,89.2917,0,,,,,,,,,,,
2015-09-17,388383.7917,174389,68017.25,20576.625,1202.5833,133.5833,623.4167,0,71.3333,0,,,,,,,,,,,
2015-09-18,393024.625,201809.9167,67374.875,27481.4583,3347.0417,216,2135.125,0,84.7917,0,,,,,,,,,,,
2015-09-19,373590.8333,158446.75,66904.4583,20505.125,4066,348,1913.3333,0,56.9167,0,,,,,,,,,,,
2015-09-20,375680.2083,130134.1667,62100.0833,25444.75,2892.7083,171.7917,235.3333,0,6.9583,0,,,,,,,,,,,
2015-09-21,396060,149771.625,63862,19681.625,6110.0833,199.2917,4091.375,0,4.5417,0,,,,,,,,,,,
2015-09-22,403571.7917,154198.9583,67089.9167,13849.875,8396.4583,959.1667,5403.875,0,6.7083,0,,,,,,,,,,,
2015-09-23,399670.7917,157978.7083,66553.5,23084.1667,7446.4583,1150.6667,8486.5,0,19.25,0,,,,,,,,,,,
2015-09-24,403939,150735.75,66805.625,21296,4939.75,417.25,5965.1667,0,111.9167,0,,,,,,,,,,,
2015-09-25,417910.1667,146953.75,64814.9583,18704.2083,3131.5,211.8333,5269.4583,0,132.75,0,,,,,,,,,,,
2015-09-26,428986.0833,120682.2083,63762.5417,9377.4167,7504.7083,627.125,2142.5833,0,102.3333,0,,,,,,,,,,,
2015-09-27,417375.1667,89819.9583,63838.2917,10818.875,973.2917,894.8333,697.5833,0,124.5417,0,,,,,,,,,,,
2015-09-28,381133.5,120005.6667,62025.8333,13559.2917,892,5591.7083,4523.125,0,146.875,0,,,,,,,,,,,
2015-09-29,113056.6667,153935.75,53185.875,19084.0833,4202.2917,8419.7083,5668.5833,0,120.8333,0,,,,,,,,,,,
2015-09-30,402271.25,141514.9583,56102.5833,18015.8333,5239.0833,141.9167,9618.875,0,126.5417,0,,,,,,,,,,,
2015-10-01,342789.2917,161142.375,62667.2083,26209.75,3824.0417,199.375,3983.5,0,127.375,0,,,,,,,,,,,
2015-10-02,389173.5,193341.7083,59344.3333,22752.4167,6213.1667,173.4583,3759.2917,0,125.375,0,,,,,,,,,,,
2015-10-03,378787.9167,188580.9583,55677.6667,16306.7917,2119.4583,447.0833,2716.5,0,119.9167,0,,,,,,,,,,,
2015-10-04,338422.7083,169887.9167,50766,11478.2083,2234.3333,967.0417,1271.5,0,149.7083,0,,,,,,,,,,,
2015-10-05,372484.75,154357.0833,48467.7917,24568.0417,2922.8333,641.5,1700.2083,0,126.2917,0,,,,,,,,,,,
2015-10-06,394829.4583,198331.3333,56897.5833,32019,6323.75,1954.8333,2628.4583,0,68.75,0,,,,,,,,,,,
2015-10-07,397298.1667,201627.0833,65623.8333,27915,4402.5,3184.5417,2696.4167,0,76.9167,0,,,,,,,,,,,
2015-10-08,378122.3333,235992.6667,66584.875,37598.6667,6768.6667,5878.4583,6319.9583,0,106.0833,0,,,,,,,,,,,
2015-10-09,355094,228922.7083,59012.4583,31470.625,8567.8333,8963.5,5137.875,0,117.5,0,,,,,,,,,,,
2015-10-10,291857,188879.375,60259.8333,40968.375,6424.625,10153.375,1945.125,0,72.875,0,,,,,,,,,,,
2015-10-11,227669.875,177800.25,55479.1667,40952.2083,3372.4167,8452.2083,801.3333,0,42.5417,0,,,,,,,,,,,
2015-10-12,370083.4167,209229.875,48313.1667,40739.9167,7862.7083,9806.375,1521.7917,0,66.625,0,,,,,,,,,,,
2015-10-13,406802.75,252884.7917,66623.4167,40617,11824.9583,14210.75,3689.2917,0,55.3333,0,,,,,,,,,,,
2015-10-14,383452.2917,238636.5833,67013.7917,30824,13232.75,11444.5833,5159.625,0,137.5,0,,,,,,,,,,,
2015-10-15,400926.4583,225432.0417,65012.0833,25482.8333,8916.1667,5116.8333,3737.8333,0,115.25,0,,,,,,,,,,,
2015-10-16,400768.9167,252175.5,63448.4167,28373,15043.9167,6858.3333,2759.5,0,146.2917,0,,,,,,,,,,,
2015-10-17,385647.625,168775.9167,64643.5833,24640.6667,18321.9583,17153.2083,1213.0833,0,199.9167,0,,,,,,,,,,,
2015-10-18,411056.4583,167437.375,63969.2083,38379.375,17740.9167,10016.5833,585.7083,0,61.75,0,,,,,,,,,,,
2015-10-19,423936.9583,180700.5417,65480.2917,15529.375,12243.7917,9870.5,1229,0,173.875,0,,,,,,,,,,,
2015-10-20,412271.0833,219488.75,63823.8333,9069.8333,13313.875,6837.0833,1735.8333,0,303.7917,0,,,,,,,,,,,
2015-10-21,405210.875,244984.625,62257.5,25894.5833,18549.5833,5174.375,1927.5833,0,216.7083,0,,,,,,,,,,,
2015-10-22,412997.5,231807.25,64559.2917,26048.8333,18895,12134.3333,1709.4167,0,186.8333,0,,,,,,,,,,,
2015-10-23,413298.8333,247122.75,64084.375,40525.375,20726.7917,18892.125,1266.2917,0,123.625,0,,,,,,,,,,,
2015-10-24,418465.7917,231248.5833,64201.2917,41837.9167,18386.4583,31617.25,1242.375,0,131.5,0,,,,,,,,,,,
2015-10-25,400538.0833,187006.6667,64881.375,42711.2083,14121.5833,37834.9167,1063.9167,0,60.9583,0,,,,,,,,,,,
2015-10-26,412219.75,184195.1667,65907.6667,39882.5,12565.0417,21802.75,1287.2917,0,67.625,0,,,,,,,,,,,
2015-10-27,389279.4583,238548.75,65867.8333,30526.1667,11674.9583,22126.0833,1925.6667,0,60.375,0,,,,,,,,,,,
2015-10-28,391290.7917,231633.6667,56095.0417,35121.4583,8229.625,23169.1667,1596.625,0,123.25,0,,,,,,,,,,,
2015-10-29,391960.7917,231433.3333,41962.875,40352.0833,11373.375,25771.2083,2105.25,0,233.9167,0,,,,,,,,,,,
2015-10-30,376697.3333,245728.2083,37850.25,40057.8333,13129,23847.3333,2165.8333,0,202.8333,0,,,,,,,,,,,
2015-10-31,390940.7917,217064.375,38533.4167,32257.0833,10983.9583,20390.875,1153.8333,0,249.1667,0,,,,,,,,,,,
2015-11-01,387912.92,186553.64,45032.92,25501.08,12007.32,11719.08,1271.8,0,198.96,0,,,,,,,,,,,
2015-11-02,345425.375,195929.2917,54079.5417,31617.25,13676.6667,8137.9167,2297.7083,0,141.0417,0,,,,,,,,,,,
