title,,,,,,,,,,,,,,,,,,
CPU Hours: Total: by Job Wall Time,,,,,,,,,,,,,,,,,,
parameters,,,,,,,,,,,,,,,,,,
Job Size =  1,,,,,,,,,,,,,,,,,,
start,end,,,,,,,,,,,,,,,,,
7/1/2015,12/31/2015,,,,,,,,,,,,,,,,,
---------,,,,,,,,,,,,,,,,,,
Day,[0 - 1s] CPU Hours: Total,[1 - 30s] CPU Hours: Total,[30s - 30min] CPU Hours: Total,[30 - 60min] CPU Hours: Total,[1 - 5hr] CPU Hours: Total,[5 - 10hr] CPU Hours: Total,[10 - 18hr] CPU Hours: Total,[18+hr] CPU Hours: Total,,,[0 - 1s] CPU Hours: Total,[1 - 30s] CPU Hours: Total,[30s - 30min] CPU Hours: Total,[30 - 60min] CPU Hours: Total,[1 - 5hr] CPU Hours: Total,[5 - 10hr] CPU Hours: Total,[10 - 18hr] CPU Hours: Total,[18+hr] CPU Hours: Total
7/1/2015,0,0.195,22290.7909,12798.88,9779.4653,374.9705,870.3572,2905.5108,,,0,7.970408152,6020.097088,12403.44738,34537.4645,3563.914096,948.6495272,8376.976671
7/2/2015,0,2.2603,18964.3158,30316.4381,18002.4877,631.2434,750.0869,1557.5456,,,,,,,,,,
7/3/2015,0,0.1439,44502.6788,25975.8536,14054.4565,386.3405,635.9106,2256.2578,,,,,,,,,,
7/4/2015,0,0.0958,30112.6694,24318.1616,12124.6051,59.2409,267.8272,3034.6632,,,[0 - 1s] CPU Hours: Total,[1 - 30s] CPU Hours: Total,[30s - 30min] CPU Hours: Total,[30 - 60min] CPU Hours: Total,[1 - 5hr] CPU Hours: Total,[5 - 10hr] CPU Hours: Total,[10 - 18hr] CPU Hours: Total,[18+hr] CPU Hours: Total
7/5/2015,0,0.2319,38958.2806,27846.4136,10182.9975,35.3783,65.4325,3814.7006,,,0,0.012102319,9.140954151,18.83347431,52.44190831,5.411470093,1.440435546,12.71965528
7/6/2015,0,0.1142,50311.3155,36511.5092,24800.202,540.1386,2127.1097,3073.1421,,,,,,,,,,
7/7/2015,0,0.1114,28566.4401,19784.1373,77020.852,48.7411,124.6919,2769.2439,,,,,,,,,,
7/8/2015,0,0.1414,1992.3832,3331.8083,82258.6191,185.6053,314.5017,1829.3699,,,,,,,,,,
7/9/2015,0,0.1874,769.4542,4231.4163,109623.7069,1716.2908,792.0281,1321.9709,,,,,,,,,,
7/10/2015,0,0.1425,915.218,3944.2378,93451.6224,21701.2376,315.6409,1338.053,,,,,,,,,,
7/11/2015,0,0.1016,764.3122,4282.0414,74371.2,19937.1811,343.1022,1535.4734,,,,,,,,,,
7/12/2015,0,0.1339,2401.9538,5366.9422,92143.3719,29753.1802,116.6031,1472.1601,,,,,,,,,,
7/13/2015,0,0.5808,1022.2903,5178.0472,81449.0339,18289.1895,409.3475,7458.7515,,,,,,,,,,
7/14/2015,0,0.0502,955.9242,3479.6648,67674.1386,14235.6789,523.8808,25197.1495,,,,,,,,,,
7/15/2015,0,0.0373,1560.4034,4494.3552,85339.3423,21159.8728,1589.6608,17458.6443,,,,,,,,,,
7/16/2015,0,0.2094,2391.3872,10778.052,117924.8754,16163.9739,385.2742,1562.8661,,,,,,,,,,
7/17/2015,0,3.4497,1699.0788,8747.9988,70674.5637,9551.2222,92.3747,1744.3472,,,,,,,,,,
7/18/2015,0,6.2047,8064.2822,28768.825,72149.486,4317.568,145.0911,1691.2303,,,,,,,,,,
7/19/2015,0,0.025,8037.7903,31718.3381,92472.8478,190.6153,226.0353,1756.4967,,,,,,,,,,
7/20/2015,0,0.3444,15342.1886,73233.483,105033.6411,1064.235,556.1341,2959.4703,,,,,,,,,,
7/21/2015,0,0.3444,12753.2102,47450.2297,74660.8121,13429.7798,1972.4881,5566.8446,,,,,,,,,,
7/22/2015,0,2.5911,18684.1627,58511.3131,46452.0182,14424.0158,2326.0206,7468.9032,,,,,,,,,,
7/23/2015,0,0.5747,4956.916,18724.7702,52557.8588,7267.6636,853.9791,4277.7411,,,,,,,,,,
7/24/2015,0,0.5061,7961.07,31805.31,28713.1916,1269.2186,1087.7008,11595.2969,,,,,,,,,,
7/25/2015,0,0.3502,35190.8689,55941.5424,90389.7097,1992.4809,3143.4802,32903.518,,,,,,,,,,
7/26/2015,0,0.0114,64772.9767,33804.3172,41177.5841,2542.2919,1685.0247,19818.9994,,,,,,,,,,
7/27/2015,0,0.0344,48252.0748,26086.7057,42350.1777,970.512,739.851,1511.8197,,,,,,,,,,
7/28/2015,0,0.1419,22421.1461,14483.9097,22233.8889,1641.5214,953.1903,7159.1805,,,,,,,,,,
7/29/2015,0,0.4533,448.6088,2990.1531,8777.0027,1112.2481,448.7078,14027.0406,,,,,,,,,,
7/30/2015,0,0.0853,240.6764,965.4061,6974.3978,1734.8367,2142.4036,19790.7754,,,,,,,,,,
7/31/2015,0,0.0467,77.8187,887.4909,2169.6306,1389.5091,1750.572,30131.3338,,,,,,,,,,
8/1/2015,0,0.0192,118.5544,828.2147,1565.044,2243.6841,2581.7258,47220.3555,,,,,,,,,,
8/2/2015,0,0.0317,145.4325,894.1956,8307.537,1041.3542,146.7306,30277.4921,,,,,,,,,,
8/3/2015,0,0,95.642,620.9142,10229.4747,4940.6925,311.9483,2358.2837,,,,,,,,,,
8/4/2015,0,0.0058,78.4414,217.4059,6861.06,5547.9155,1136.7642,2911.6658,,,,,,,,,,
8/5/2015,0,0.0158,100.3621,291.5077,12474.9844,3262.1486,304.1331,2738.6528,,,,,,,,,,
8/6/2015,0,11.7069,293.9147,236.3703,9154.3022,2292.5715,1264.1478,3760.8826,,,,,,,,,,
8/7/2015,0,0.0589,8.8675,161.726,6941.8605,1418.4053,1771.9177,5031.2619,,,,,,,,,,
8/8/2015,0,0.015,5.822,28.5881,10799.037,408.6716,148.6705,8370.6206,,,,,,,,,,
8/9/2015,0,0.0731,6.238,29.2172,3585.9064,99.1416,238.9064,8312.6794,,,,,,,,,,
8/10/2015,0,0.0886,16.4966,46.7656,714.8189,293.7361,190.3242,2168.3725,,,,,,,,,,
8/11/2015,0,0.2015,420.6115,1607.2278,1955.6483,263.4639,64.9495,1425.041,,,,,,,,,,
8/12/2015,0,4.2625,23252.3776,24309.8753,17353.8919,249.4272,581.8437,3115.9544,,,,,,,,,,
8/13/2015,0,0.0531,2523.5701,4566.7028,6085.2445,3104.5275,1648.6767,2912.1911,,,,,,,,,,
8/14/2015,0,0.2931,143.8611,19.6758,5215.2371,1435.4617,740.1415,3913.2944,,,,,,,,,,
8/15/2015,0,0.0341,6.993,2.7839,438.5411,1611.6975,1952.1945,5728.6246,,,,,,,,,,
8/16/2015,0,0.09,3.2172,4.9767,146.6403,659.8204,783.4947,4813.5641,,,,,,,,,,
8/17/2015,0,0.0295,5.9939,7.8911,1118.7683,327.9894,1745.7837,4095.1197,,,,,,,,,,
8/18/2015,0,0.0514,0.9644,1.4794,658.3408,306.127,764.4618,11564.8317,,,,,,,,,,
8/19/2015,0,0.273,990.0181,1869.0434,6557.1408,3423.5153,5708.1373,14797.1046,,,,,,,,,,
8/20/2015,0,0.0469,112.0337,381.0453,1675.1133,940.9128,1728.1903,25963.8628,,,,,,,,,,
8/21/2015,0,0.0147,56.8658,485.1108,1263.214,541.3783,762.9272,21869.9594,,,,,,,,,,
8/22/2015,0,0.0241,89.0594,460.4786,516.93,372.3139,1120.753,23427.0456,,,,,,,,,,
8/23/2015,0,0.075,138.0209,482.2506,1088.6506,740.6611,520.3767,22766.338,,,,,,,,,,
8/24/2015,0,0.2019,81.4137,447.8858,1055.7589,738.9411,1534.2776,15380.316,,,,,,,,,,
8/25/2015,0,0.0989,141.1723,305.6219,1655.1705,2434.6581,2539.5349,30181.1147,,,,,,,,,,
8/26/2015,0,0.1872,168.9935,181.7397,2474.1178,3886.1102,2997.9514,35044.3815,,,,,,,,,,
8/27/2015,0,43.6658,802.9156,166.3458,1267.4293,1168.8764,1209.2362,61871.5673,,,,,,,,,,
8/28/2015,0,1.6456,7.5965,73.3178,800.1825,2306.0053,1388.2356,57544.0178,,,,,,,,,,
8/29/2015,0,0.8681,3459.6844,95.9604,1202.1777,821.1677,476.1845,41754.3884,,,,,,,,,,
8/30/2015,0,0.3364,752.1542,13.6281,236.9377,346.9306,381.997,42148.7671,,,,,,,,,,
8/31/2015,0,0.077,800.2231,427.5633,617.5572,309.9217,728.6389,17294.3736,,,,,,,,,,
9/1/2015,0,0.2181,530.8623,478.4075,1050.2338,589.0519,879.0897,3324.1291,,,,,,,,,,
9/2/2015,0,0.1128,742.1683,313.6901,3159.0728,1202.1211,1207.0906,13865.8929,,,,,,,,,,
9/3/2015,0,0.7956,818.923,218.2155,2677.664,657.2991,608.6431,13129.8545,,,,,,,,,,
9/4/2015,0,0.4508,625.4466,355.8616,596.0281,409.4383,375.2058,1914.2533,,,,,,,,,,
9/5/2015,0,0.2473,871.2941,507.8014,495.2578,526.6112,392.9492,6494.3179,,,,,,,,,,
9/6/2015,0,0.135,763.3888,559.0211,658.4055,541.0136,712.9842,12582.6214,,,,,,,,,,
9/7/2015,0,0.0211,700.6617,606.855,534.5736,312.7417,506.4158,7507.3128,,,,,,,,,,
9/8/2015,0,0.3042,287.3294,528.6336,727.5601,614.12,198.8422,1347.1066,,,,,,,,,,
9/9/2015,0,0.2338,76.0914,217.8922,984.6211,461.8516,311.3436,6313.853,,,,,,,,,,
9/10/2015,0,0.0621,25.8427,33.24,798.6948,703.8472,178.5137,10691.4667,,,,,,,,,,
9/11/2015,0,0.0103,85.3542,247.7247,399.5084,473.1153,156.302,5926.4652,,,,,,,,,,
9/12/2015,0,0.0047,256.6831,358.7366,384.1311,181.385,99.4875,17785.0358,,,,,,,,,,
9/13/2015,0,0.0164,929.4825,393.2131,369.4669,84.4225,42.6267,21848.0723,,,,,,,,,,
9/14/2015,0,0.0067,89.8226,437.9458,359.1889,49.4797,827.9747,1187.3717,,,,,,,,,,
9/15/2015,0,0.0198,159.4089,416.935,272.9566,29.5431,1615.8608,1524.372,,,,,,,,,,
9/16/2015,0,0.1997,84.7755,603.3012,1066.8292,369.4778,1584.2856,1675.6623,,,,,,,,,,
9/17/2015,0,0.7647,109.9759,535.6306,298.4517,33.4594,1600.6224,1208.0295,,,,,,,,,,
9/18/2015,0,0.1528,191.3373,448.8359,201.9853,158.0514,1717.1592,1324.9656,,,,,,,,,,
9/19/2015,0,0.5533,134.0694,322.5392,107.5097,174.1847,1670.3482,4168.0687,,,,,,,,,,
9/20/2015,0,0.0172,15.2139,88.3708,88.4708,8.7925,1413.4255,9966.4631,,,,,,,,,,
9/21/2015,0,0.0533,5.6247,22.7334,128.4686,88.8575,60.1201,6993.9626,,,,,,,,,,
9/22/2015,0,0.5698,113.006,200.002,235.159,192.378,146.213,1342.8744,,,,,,,,,,
9/23/2015,0,0.0419,60.8841,547.7806,2244.89,2188.6639,1737.2694,2202.1827,,,,,,,,,,
9/24/2015,0,0.2503,166.9815,523.6667,2327.4697,1892.3645,1728.5808,1991.2316,,,,,,,,,,
9/25/2015,0,0.0723,311.3592,383.7909,121.9848,61.6602,62.6819,1665.5128,,,,,,,,,,
9/26/2015,0,0.0584,283.9439,411.375,148.7078,147.8403,86.4747,1749.2464,,,,,,,,,,
9/27/2015,0,0.0548,325.4304,333.0603,1549.0141,654.6597,247.5972,1523.5964,,,,,,,,,,
9/28/2015,0,0.0066,284.2152,436.717,317.5305,26.5286,2.8592,1208.3112,,,,,,,,,,
9/29/2015,0,0.0506,3696.4798,8731.1395,34811.1126,7232.4816,43.225,1189.2057,,,,,,,,,,
9/30/2015,0,0.0683,2567.9758,8271.4321,27144.5644,18169.3703,77.72,1676.9891,,,,,,,,,,
10/1/2015,0,0.133,96.5331,188.0283,245.5405,28.418,50.8214,2391.3294,,,,,,,,,,
10/2/2015,0,0.0086,1888.4166,4.0739,275.3537,112.545,239.8662,3862.126,,,,,,,,,,
10/3/2015,0,0.0466,0.2942,1.5492,24.1559,59.3917,208.7777,4262.1564,,,,,,,,,,
10/4/2015,0,0.5419,2437.8127,4.6203,330.9258,204.5267,28.0045,3887.6679,,,,,,,,,,
10/5/2015,0,0.26,3.0429,14.0242,1859.128,685.5522,255.7075,8660.0201,,,,,,,,,,
10/6/2015,0,0.4409,94.7487,77.9561,1254.0763,496.2653,279.2522,7537.8015,,,,,,,,,,
10/7/2015,0,0.0419,10022.0228,1870.8353,748.6686,145.065,135.3869,1266.5012,,,,,,,,,,
10/8/2015,0,16.2296,7593.5442,2642.9417,10891.6376,1086.1294,114.9053,1902.2532,,,,,,,,,,
10/9/2015,0,0.3755,198.309,1417.5794,36102.0552,1195.8444,114.4605,7594.0792,,,,,,,,,,
10/10/2015,0,0.0486,557.7044,4241.2139,53304.6842,11800.4061,24.8141,6889.1084,,,,,,,,,,
10/11/2015,0,0.1134,832.0277,5066.6878,45172.2013,30242.9425,86.1945,1076.0783,,,,,,,,,,
10/12/2015,0,573.2844,4021.396,16021.068,24482.9342,8139.3644,105.613,1069.207,,,,,,,,,,
10/13/2015,0,48.7039,3025.0945,16903.2638,46185.153,2195.2565,139.6465,1783.8217,,,,,,,,,,
10/14/2015,0,0.6536,17771.8847,50016.1167,38338.4206,1478.1711,575.6141,2259.2462,,,,,,,,,,
10/15/2015,0,1.4487,4022.7808,19233.6905,68413.9051,2992.1205,1706.3023,3142.1267,,,,,,,,,,
10/16/2015,0,38.905,7667.3611,12251.4533,13355.6256,4430.2308,1552.2213,2800.8655,,,,,,,,,,
10/17/2015,0,99.6422,2706.3944,6217.884,25397.323,3460.5613,1867.793,1689.0669,,,,,,,,,,
10/18/2015,0,20.1447,3884.4336,26859.1229,106459.4428,4390.612,4056.9914,4633.8027,,,,,,,,,,
10/19/2015,0,0.1284,2601.5863,15572.8592,46444.6891,3644.8214,1980.1241,8151.6149,,,,,,,,,,
10/20/2015,0,0.0499,7759.5468,15379.0634,50313.9147,4604.3258,3325.6608,10512.7054,,,,,,,,,,
10/21/2015,0,1.1848,16501.7665,9546.7552,27745.6295,2500.8814,1919.0151,11012.7148,,,,,,,,,,
10/22/2015,0,0.229,4740.3235,4701.8445,20286.0667,1518.4245,1311.1849,5436.9815,,,,,,,,,,
10/23/2015,0,0.1911,19475.6684,16680.1103,47963.4369,1324.0229,1858.1227,4689.316,,,,,,,,,,
10/24/2015,0,0.0711,19512.8983,41179.21,59868.9023,1326.35,2856.232,3479.5701,,,,,,,,,,
10/25/2015,0,5.8664,2210.9899,21707.1011,206130.607,342.0094,257.5297,2188.6745,,,,,,,,,,
10/26/2015,0,4.9773,27385.6947,69128.8627,188223.0178,41940.0077,4336.2252,2312.7887,,,,,,,,,,
10/27/2015,0,75.1989,7418.8104,28238.603,80806.4314,24927.1147,2066.7368,2960.9978,,,,,,,,,,
10/28/2015,0,16.6472,7592.2931,42319.0156,89098.3097,36659.5935,2482.8233,3896.7299,,,,,,,,,,
10/29/2015,0,53.3511,6543.2703,40036.3656,100598.3055,19008.23,566.9709,2870.1337,,,,,,,,,,
10/30/2015,0,37.7142,18609.2342,55556.217,101392.763,17420.0909,985.8009,2499.768,,,,,,,,,,
10/31/2015,0,31.7239,12440.9809,62638.332,111449.6167,868.3474,447.5408,2370.8573,,,,,,,,,,
11/1/2015,0,70.0647,15853.7086,73758.5264,72895.395,539.7387,512.4469,2275.8028,,,,,,,,,,
11/2/2015,0,60.7547,31126.8077,30767.2184,30561.5729,1741.6123,1130.2433,3801.2422,,,,,,,,,,
11/3/2015,0,48.6658,3846.5947,19402.6328,41386.1574,663.0331,390.8553,5627.5011,,,,,,,,,,
11/4/2015,0,112.76,3862.7309,17402.6075,22794.0958,319.2805,401.1658,4167.8969,,,,,,,,,,
11/5/2015,0,5.3408,2324.9005,10891.42,15450.1323,643.8978,691.2721,3006.6672,,,,,,,,,,
11/6/2015,0,0.0303,3023.1594,13866.1369,19667.6508,848.2872,1166.5356,2715.9488,,,,,,,,,,
11/7/2015,0,0.0036,10660.8409,27700.5689,16414.5036,584.2641,982.7394,2913.2149,,,,,,,,,,
11/8/2015,0,0,4278.6438,18141.4192,38406.1462,706.9327,851.4191,2387.2456,,,,,,,,,,
11/9/2015,0,0.0091,2409.9774,14963.7986,48953.7578,902.2645,2305.8073,3113.4333,,,,,,,,,,
11/10/2015,0,0.8203,1306.037,8375.4057,31541.5765,3402.8723,2593.0256,2539.3614,,,,,,,,,,
11/11/2015,0,10.5084,4918.3515,4987.2289,21937.8165,2536.4533,1294.207,1899.5311,,,,,,,,,,
11/12/2015,0,0.0392,13015.3941,9395.8858,16477.3575,832.2037,1041.2428,2520.3721,,,,,,,,,,
11/13/2015,0,0.0239,11404.5356,10783.2111,24387.3666,5068.3772,6178.9734,7610.9834,,,,,,,,,,
11/14/2015,0,0.149,9357.6417,8980.7539,11692.2525,1710.146,7183.248,16354.4935,,,,,,,,,,
11/15/2015,0,0.0703,4946.6524,11210.2597,8791.4789,634.5658,151.5553,8968.2193,,,,,,,,,,
11/16/2015,0,0.2725,3258.3289,6169.9314,35068.0502,491.9239,1405.8695,2401.0396,,,,,,,,,,
11/17/2015,0,0.2528,2940.8695,8489.2766,27247.6102,1102.7472,722.5753,2014.7308,,,,,,,,,,
11/18/2015,0,0.9894,7621.7236,22572.8146,22840.4077,4213.1283,446.4922,1815.5566,,,,,,,,,,
11/19/2015,0,0.2367,2222.1324,11490.6259,15998.0453,1067.9186,3244.6883,8935.6038,,,,,,,,,,
11/20/2015,0,0.0405,2953.1539,12183.1844,19135.1268,2556.1313,3774.4633,13253.5705,,,,,,,,,,
11/21/2015,0,0.0981,3231.2286,15205.8247,18150.4659,876.8569,377.9244,6047.4361,,,,,,,,,,
11/22/2015,0,0.3883,2459.5587,17132.1694,34257.2977,608.7978,891.6911,3469.7985,,,,,,,,,,
11/23/2015,0,0.1206,3277.2097,10659.0755,27492.928,2065.7308,1765.3125,2125.3517,,,,,,,,,,
11/24/2015,0,0.0742,975.8988,5957.5183,24390.8503,3135.8436,2282.5394,4738.5066,,,,,,,,,,
11/25/2015,0,0.6245,2755.9267,8843.0247,16319.513,1849.7249,2255.5435,3837.5965,,,,,,,,,,
11/26/2015,0,0.4261,6029.1952,14151.7828,26788.8778,1034.1339,882.1865,3356.8875,,,,,,,,,,
11/27/2015,0,1.292,22013.4394,12671.3233,52943.6463,1013.9901,1033.6375,3538.1972,,,,,,,,,,
11/28/2015,0,2.5698,19576.8133,15308.7377,91351.2419,718.1461,482.4941,1699.7315,,,,,,,,,,
11/29/2015,0,1.1383,4398.5189,10724.9853,94286.9501,984.5825,527.9436,1620.0377,,,,,,,,,,
11/30/2015,0,0.2595,3769.1368,16821.8442,76733.9931,3414.0736,912.4544,2075.86,,,,,,,,,,
12/1/2015,0,1.862,9095.0786,37046.9237,55590.8544,685.2828,584.0414,5330.5711,,,,,,,,,,
12/2/2015,0,1.0125,8218.7158,32347.7867,55969.3372,117.6783,175.7011,11001.0919,,,,,,,,,,
12/3/2015,0,0.7372,6771.6225,26235.5595,31022.9003,196.0617,76.1883,9599.2481,,,,,,,,,,
12/4/2015,0,0.5583,11348.7781,39638.6289,43227.0938,14716.0616,395.2853,8474.0607,,,,,,,,,,
12/5/2015,0,0.2756,1826.0284,10541.3908,41104.4511,35284.8525,1810.0469,8524.0598,,,,,,,,,,
12/6/2015,0,1.711,2919.796,19585.805,48933.588,3252.4989,75.2597,14502.6416,,,,,,,,,,
12/7/2015,0,0.036,2085.8145,16195.0709,44979.573,220.4305,202.228,14995.2296,,,,,,,,,,
12/8/2015,0,2.9649,6604.9692,21290.5497,30913.7137,235.2006,195.3588,14677.9121,,,,,,,,,,
12/9/2015,0,0.1758,14369.5476,42132.832,19803.4767,56.5772,162.0851,25935.3512,,,,,,,,,,
