title,,,,,,,,,,,,,,,,
Number of Jobs Ended: by Job Size,,,,,,,,,,,,,,,,
parameters,,,,,,,,,,,,,,,,
Resource =  TACC-STAMPEDE,,,,,,,,,,[9 – 64] Avg Percent of Jobs Ended,[65 – 256] Avg Percent of Jobs Ended,[257 – 512] Avg Percent of Jobs Ended,[513 - 1024] Avg Percent of Jobs Ended,[1k – 8k] Avg Percent of Jobs Ended,[8k – 32k] Avg Percent of Jobs Ended,[32k - 131k] Avg Percent of Jobs Ended
start,end,,,,,,,,,74.0160924639,20.1319064518,2.2553785302,1.9220698408,1.6405133323,0.0338853566,0.0001540243
2015-08-01,2016-01-31,,,,,,,,,,,,,,,
---------,,,,,,,,,,,,,,,,
Day,[9 - 64] Number of Jobs Ended,[65 - 256] Number of Jobs Ended,[257 - 512] Number of Jobs Ended,[513 - 1024] Number of Jobs Ended,[1k - 8k] Number of Jobs Ended,[8k - 32k] Number of Jobs Ended,[32k - 131k] Number of Jobs Ended,,SUM of Jobs,[9 - 64] Percent of Jobs Ended,[65 - 256] Percent of Jobs Ended,[257 - 512] Percent of Jobs Ended,[513 - 1024] Percent of Jobs Ended,[1k - 8k] Percent of Jobs Ended,[8k – 32k] Percent of Jobs Ended,[32k - 131k] Percent of Jobs Ended
2015-08-01,1212,425,110,33,39,1,0,,1820,66.5934065934,23.3516483516,6.043956044,1.8131868132,2.1428571429,0.0549450549,0
2015-08-02,1832,419,62,28,47,0,0,,2388,76.7169179229,17.5460636516,2.5963149079,1.1725293132,1.9681742044,0,0
2015-08-03,2046,591,45,38,48,0,0,,2768,73.9161849711,21.3511560694,1.6257225434,1.3728323699,1.7341040462,0,0
2015-08-04,1606,578,45,33,25,0,0,,2287,70.2229995627,25.2732837779,1.9676432007,1.4429383472,1.0931351115,0,0
2015-08-05,2113,577,73,72,48,4,0,,2887,73.1901627988,19.986144787,2.5285763769,2.4939383443,1.6626255629,0.1385521302,0
2015-08-06,2001,579,51,32,55,4,0,,2722,73.5121234386,21.2711241734,1.8736223365,1.1756061719,2.020573108,0.1469507715,0
2015-08-07,1702,586,122,39,57,5,0,,2511,67.7817602549,23.3373158104,4.8586220629,1.5531660693,2.2700119474,0.199123855,0
2015-08-08,1387,604,87,21,32,2,0,,2133,65.0257852789,28.3169245195,4.0787623066,0.9845288326,1.5002344116,0.0937646507,0
2015-08-09,1502,702,113,42,26,1,0,,2386,62.9505448449,29.4216261526,4.7359597653,1.7602682313,1.0896898575,0.0419111484,0
2015-08-10,2533,779,83,48,28,1,0,,3472,72.9550691244,22.4366359447,2.3905529954,1.3824884793,0.8064516129,0.0288018433,0
2015-08-11,2416,597,58,31,40,0,0,,3142,76.8936982813,19.0006365372,1.8459579885,0.986632718,1.2730744749,0,0
2015-08-12,2246,631,43,60,79,0,0,,3059,73.4226871527,20.6276560968,1.4056881334,1.9614253024,2.5825433148,0,0
2015-08-13,1858,638,40,19,44,0,0,,2599,71.4890342439,24.5479030396,1.5390534821,0.731050404,1.6929588303,0,0
2015-08-14,2240,561,68,29,52,0,0,,2950,75.9322033898,19.0169491525,2.3050847458,0.9830508475,1.7627118644,0,0
2015-08-15,1650,662,40,33,55,0,0,,2440,67.6229508197,27.131147541,1.6393442623,1.3524590164,2.2540983607,0,0
2015-08-16,89,62,3,3,13,0,0,,170,52.3529411765,36.4705882353,1.7647058824,1.7647058824,7.6470588235,0,0
2015-08-17,2273,567,62,20,86,0,0,,3008,75.5651595745,18.8497340426,2.0611702128,0.664893617,2.8590425532,0,0
2015-08-18,839,379,68,14,41,0,0,,1341,62.5652498136,28.2624906786,5.0708426547,1.0439970172,3.0574198359,0,0
2015-08-19,2216,906,105,26,66,3,0,,3322,66.7068031306,27.2727272727,3.1607465382,0.7826610476,1.9867549669,0.0903070439,0
2015-08-20,2329,720,161,62,82,0,0,,3354,69.4394752534,21.4669051878,4.8002385212,1.8485390578,2.4448419797,0,0
2015-08-21,1964,681,77,49,38,1,0,,2810,69.8932384342,24.2348754448,2.7402135231,1.743772242,1.3523131673,0.0355871886,0
