title,,,,,,,,,,,,,,,,
Number of Jobs Ended: by Job Wall Time,,,,,,,,,,,,,,,,
parameters,,,,,,,,,,,,,,,,
Resource =  TACC-STAMPEDE,Job Size =  257 - 512,,,,,,,,,[1 - 30s] Avg Percent of Jobs Ended,[30s - 30min] Avg Percent of Jobs Ended,[30 - 60min] Avg Percent of Jobs Ended,[1 – 5hr] Avg Percent of Jobs Ended,[5 – 10hr] Avg Percent of Jobs Ended,[10 - 18hr] Avg Percent of Jobs Ended,[18+hr] Avg Percent of Jobs Ended
start,end,,,,,,,,,11.1042819094,37.6630471898,4.8760499898,16.6086184525,7.184320153,5.5248241481,17.0388581575
2015-08-01,2016-01-31,,,,,,,,,,,,,,,
---------,,,,,,,,,,,,,,,,
Day,[1 - 30s] Number of Jobs Ended,[30s - 30min] Number of Jobs Ended,[30 - 60min] Number of Jobs Ended,[1 - 5hr] Number of Jobs Ended,[5 - 10hr] Number of Jobs Ended,[10 - 18hr] Number of Jobs Ended,[18+hr] Number of Jobs Ended,,SUM,[1 - 30s] Percent of Jobs Ended,[30s - 30min] Percent of Jobs Ended,[30 - 60min] Percent of Jobs Ended,[1 - 5hr] Percent of Jobs Ended,[5 – 10hr] Percent of Jobs Ended,[10 - 18hr] Percent of Jobs Ended,[18+hr] Percent of Jobs Ended
2015-08-01,1,7,0,32,43,10,17,,110,0.9090909091,6.3636363636,0,29.0909090909,39.0909090909,9.0909090909,15.4545454545
2015-08-02,1,9,9,11,7,4,21,,62,1.6129032258,14.5161290323,14.5161290323,17.7419354839,11.2903225806,6.4516129032,33.8709677419
2015-08-03,4,8,2,5,8,1,17,,45,8.8888888889,17.7777777778,4.4444444444,11.1111111111,17.7777777778,2.2222222222,37.7777777778
2015-08-04,2,16,4,6,1,1,15,,45,4.4444444444,35.5555555556,8.8888888889,13.3333333333,2.2222222222,2.2222222222,33.3333333333
2015-08-05,5,9,6,16,11,3,23,,73,6.8493150685,12.3287671233,8.2191780822,21.9178082192,15.0684931507,4.1095890411,31.5068493151
2015-08-06,3,15,3,14,3,4,9,,51,5.8823529412,29.4117647059,5.8823529412,27.4509803922,5.8823529412,7.8431372549,17.6470588235
