Core Count,Average Execution Time,Number of Jobs
24,2.5630164374131597,542156.0
48,3.0813906466676069,123785.0
72,5.7153807269719552,16116.0
96,2.8458875270023571,47087.0
120,6.0734261253829667,4661.0
144,3.8311611229286688,11285.0
168,4.6147092788162327,1774.0
192,3.1643388829183605,22893.0
216,3.1776394949830506,1475.0
240,0.87713077066135303,29863.0
264,4.5187737233048759,820.0
288,4.492258441130355,7449.0
312,1.9430204166528926,242.0
336,3.7722868457692296,416.0
360,4.257187749612231,1341.0
384,4.447647712509891,5813.0
408,3.0569931562978709,235.0
432,3.5870360168706417,1291.0
456,3.1425753971428567,84.0
480,4.8238793989041087,2409.0
504,3.8533406763846165,260.0
528,3.2616398141368679,1622.0
552,3.7755596161538465,13.0
576,3.2787247818982399,2044.0
600,2.7068614449919743,1246.0
624,3.8182450454054058,111.0
648,1.9936821433333332,42.0
672,4.2055516926562504,64.0
696,0.97865416666666682,24.0
720,4.1817147824848515,990.0
744,1.1364176470588232,17.0
768,2.2323224497026604,1917.0
792,2.3686528741379309,58.0
816,1.6479673681250002,80.0
840,5.456835146764706,68.0
864,2.1591850440576925,520.0
888,2.0008666666666666,6.0
912,4.3167711764705885,34.0
936,3.44062,5.0
960,5.2513406473440147,1186.0
984,1.6570527762500002,24.0
1008,3.2273569150385604,389.0
1032,3.9739244202531649,237.0
1056,0.3411575,20.0
1080,4.2002236113333336,60.0
1104,4.4827348484848484,33.0
1128,nan,3.0
1152,2.290455483956229,594.0
1176,2.5433166673333334,15.0
1200,3.4739737633048429,351.0
1224,nan,17.0
1248,2.2135022740909087,22.0
1272,nan,9.0
1296,1.9078604991999999,100.0
1320,6.6943409095454562,22.0
1344,2.9199885444067797,59.0
1368,6.3355499999999996,2.0
1392,1.2970266666666666,15.0
1416,nan,1.0
1440,4.3250334334213205,985.0
1464,nan,4.0
1488,nan,87.0
1512,4.3226909090909098,11.0
1536,2.3464667525616578,1784.0
1560,4.0989880000000003,30.0
1584,0.26333333333333331,3.0
1608,9.6991791662500013,16.0
1632,0.40949999874999998,8.0
1680,2.4740175773446338,177.0
1704,nan,34.0
1728,2.809257196585762,1236.0
