Core Count,Average Execution Time,Number of Jobs
16,3.3532676384234432,384268.0
32,3.7992852355456432,116816.0
48,5.640570177441349,34057.0
64,4.3258982517364553,90155.0
80,5.1754742652261125,9420.0
96,1.6464220284744171,58476.0
112,6.1898737826430938,2743.0
128,3.243762789947386,76215.0
144,3.8930996925080446,7771.0
160,6.4455270194493979,10425.0
176,1.209090846759507,1867.0
192,5.6274437600771616,5054.0
208,3.6128575908830962,1189.0
224,3.6256824760243584,1396.0
240,7.8519669100971514,1441.0
256,4.9640153044130413,38248.0
272,4.9176616863645135,1037.0
288,8.4456889853679282,1060.0
304,7.1014749602843601,211.0
320,4.7255521247057697,5132.0
336,7.3338480999115063,339.0
352,1.6044660460181821,550.0
368,4.4252169857961787,157.0
384,5.1642740871387263,2076.0
400,6.1665762544987759,818.0
416,1.6478105030158727,126.0
432,2.3663619701041663,288.0
448,6.6711684480788209,203.0
464,4.3315577471830986,71.0
480,5.7115395339042623,1337.0
496,0.20186500000000002,20.0
512,5.0640141490958861,12974.0
528,1.7504266667826089,115.0
544,4.3512027430693072,303.0
560,4.9394418319574465,235.0
576,1.3120853548158764,4535.0
592,1.9533177081249997,48.0
608,6.8368267934666695,75.0
624,7.6246406518478222,92.0
640,5.8088195749840219,1252.0
656,1.2674280954285713,140.0
672,2.8571432327896988,233.0
688,7.3759316110457496,153.0
704,3.4357849812643675,87.0
720,5.7628185340697682,344.0
736,2.1623350867241387,58.0
752,5.3343550046666666,135.0
768,5.5404701342176876,1176.0
784,0.54386818181818175,22.0
800,5.5130808649234098,457.0
816,1.5604567570270271,37.0
832,6.663727451176471,51.0
848,1.9812001850000001,60.0
864,0.67947003579607834,2550.0
880,4.2294065121693114,189.0
896,7.5075269812851424,249.0
912,1.795675649948187,193.0
928,4.5750982758620689,29.0
944,0.94806000000000001,15.0
960,3.4879808832408754,685.0
976,0.82088333333333319,6.0
992,5.6084047616161579,99.0
1008,1.9902173978819446,288.0
1024,4.3528512537782671,10833.0
1040,5.5701291134042545,141.0
1056,5.1512363846875004,64.0
1072,5.0721232558139535,43.0
1088,1.1130853330666666,75.0
1104,nan,16.0
1120,3.1964822338144336,97.0
1136,0.48293333333333333,9.0
1152,2.013968343765181,247.0
1168,3.5532939395454544,44.0
1184,0.64149999999999996,4.0
1200,4.0175314408878489,214.0
1216,4.2422458823529414,34.0
1232,0.069766666666666657,12.0
1248,1.9059222222222223,9.0
1264,0.42170840302521007,119.0
1280,3.3100258749224407,967.0
1296,4.6217716446753236,77.0
1312,2.8119373336,25.0
1328,0.81643030272727268,22.0
1344,1.8950121216666662,66.0
1360,5.3777153853846151,13.0
1376,3.8535500000000003,18.0
1392,0.79493999999999998,5.0
1408,2.9451932292187508,64.0
1424,nan,1.0
1440,6.1238129810062887,159.0
1456,1.050962506376022,367.0
1472,0.75193333333333345,3.0
1488,1.7001777777777778,9.0
1504,8.0663892596296325,27.0
1520,2.5599038461538459,13.0
1536,3.8400535133245373,379.0
1552,nan,4.0
1568,5.4456047619047627,21.0
1584,0.88502727272727266,11.0
1600,4.3404211301616646,433.0
1616,nan,3.0
1632,0.79203333333333337,3.0
1648,0.19343243297297297,37.0
1664,0.064524999999999999,4.0
1680,0.97994400000000015,25.0
1696,2.9746333333333332,9.0
1712,nan,2.0
1728,3.2082907764406796,118.0
1744,2.4122045459090908,22.0
1760,0.2976646359067357,2123.0
1776,nan,1.0
1792,2.5425200000000006,40.0
1808,1.7636767864999996,40.0
1824,0.19164999999999999,2.0
1840,4.5595333333333334,6.0
1856,6.7060328699999978,36.0
1888,10.318967442325581,43.0
1904,2.7036565213043482,23.0
1920,2.558711879303798,158.0
1952,nan,7.0
1968,10.370684615384615,13.0
1984,3.3430970588235285,34.0
2000,2.4633230407185644,167.0
2016,8.5620616406153847,65.0
2032,7.4333269230069927,143.0
2048,3.6619127961626137,4034.0
2064,0.13372558162790699,43.0
2080,2.0705057137142857,35.0
2096,nan,4.0
2112,5.359867949230769,26.0
2128,2.1059032258064518,31.0
2144,0.68163333333333342,3.0
2160,1.2498214282142859,28.0
2176,1.0135586220689654,29.0
2192,nan,1.0
2208,4.7053157026582282,79.0
2240,2.4119617822916672,144.0
2256,nan,4.0
2272,nan,1.0
2288,nan,4.0
2304,2.3222073758373214,209.0
2320,nan,2.0
2368,nan,1.0
2384,nan,1.0
2400,1.4312477475675673,111.0
2416,nan,16.0
2432,3.4352483349999998,10.0
2448,nan,3.0
2480,nan,3.0
2496,4.9208653846153849,26.0
2512,nan,34.0
2528,nan,24.0
2560,2.7277803996254684,267.0
2576,1.9347888888888891,27.0
2592,0.34661999999999998,5.0
2608,1.4773932057350803,687.0
2640,3.2346343439393936,33.0
2656,0.030782759655172413,29.0
2672,nan,3.0
2688,4.8619259999999995,25.0
2720,nan,5.0
2752,0.25694615423076927,26.0
2768,nan,1.0
2800,2.5354000014285711,7.0
2816,nan,16.0
2848,nan,2.0
2864,5.8832736554838716,62.0
2880,1.9866785717857141,28.0
2896,0.71412996025735276,544.0
2912,nan,1.0
2928,nan,1.0
2960,1.1369076915384615,13.0
2976,1.034749999375,16.0
3008,3.0406558071653551,127.0
3024,nan,2.0
3040,0.47780454545454543,11.0
3072,2.0780964230894305,123.0
3088,nan,4.0
3120,1.0949249999999999,4.0
3136,3.8238214285714283,14.0
3184,nan,1.0
3200,2.2518348378472215,144.0
3216,nan,1.0
3248,nan,22.0
3264,nan,2.0
3280,8.1005812499999994,16.0
3296,nan,1.0
3312,nan,1.0
3328,1.3472714285714287,14.0
3344,nan,1.0
3360,nan,4.0
3376,0.036250000999999997,20.0
3392,nan,4.0
3408,0.23019999999999999,3.0
3424,nan,1.0
3440,nan,1.0
3456,0.82934772102564069,117.0
3472,1.6243474415128591,661.0
3488,nan,4.0
3504,nan,1.0
3520,0.3287230769230769,13.0
3536,nan,1.0
3552,nan,1.0
3568,nan,5.0
3584,5.3092960937500013,64.0
