Node Count,Average Execution Time,Number of Jobs
1,2.5630164374131597,542156.0
2,3.0813906466676069,123785.0
3,5.7153807269719552,16116.0
4,2.8458875270023571,47087.0
5,6.0734261253829667,4661.0
6,3.8311611229286688,11285.0
7,4.6147092788162327,1774.0
8,3.1643388829183605,22893.0
9,3.1776394949830506,1475.0
10,0.87713077066135303,29863.0
11,4.5187737233048759,820.0
12,4.492258441130355,7449.0
13,1.9430204166528926,242.0
14,3.7722868457692296,416.0
15,4.257187749612231,1341.0
16,4.447647712509891,5813.0
17,3.0569931562978709,235.0
18,3.5870360168706417,1291.0
19,3.1425753971428567,84.0
20,4.8238793989041087,2409.0
21,3.8533406763846165,260.0
22,3.2616398141368679,1622.0
23,3.7755596161538465,13.0
24,3.2787247818982399,2044.0
25,2.7068614449919743,1246.0
26,3.8182450454054058,111.0
27,1.9936821433333332,42.0
28,4.2055516926562504,64.0
29,0.97865416666666682,24.0
30,4.1817147824848515,990.0
31,1.1364176470588232,17.0
32,2.2323224497026604,1917.0
33,2.3686528741379309,58.0
34,1.6479673681250002,80.0
35,5.456835146764706,68.0
36,2.1591850440576925,520.0
37,2.0008666666666666,6.0
38,4.3167711764705885,34.0
39,3.44062,5.0
40,5.2513406473440147,1186.0
41,1.6570527762500002,24.0
42,3.2273569150385604,389.0
43,3.9739244202531649,237.0
44,0.3411575,20.0
45,4.2002236113333336,60.0
46,4.4827348484848484,33.0
47,nan,3.0
48,2.290455483956229,594.0
49,2.5433166673333334,15.0
50,3.4739737633048429,351.0
51,nan,17.0
52,2.2135022740909087,22.0
53,nan,9.0
54,1.9078604991999999,100.0
55,6.6943409095454562,22.0
56,2.9199885444067797,59.0
57,6.3355499999999996,2.0
58,1.2970266666666666,15.0
59,nan,1.0
60,4.3250334334213205,985.0
61,nan,4.0
62,nan,87.0
63,4.3226909090909098,11.0
64,2.3464667525616578,1784.0
65,4.0989880000000003,30.0
66,0.26333333333333331,3.0
67,9.6991791662500013,16.0
68,0.40949999874999998,8.0
70,2.4740175773446338,177.0
71,nan,34.0
72,2.809257196585762,1236.0
