Node Count,Average Execution Time,Number of Jobs
1,3.3532676384234432,384268.0
2,3.7992852355456432,116816.0
3,5.640570177441349,34057.0
4,4.3258982517364553,90155.0
5,5.1754742652261125,9420.0
6,1.6464220284744171,58476.0
7,6.1898737826430938,2743.0
8,3.243762789947386,76215.0
9,3.8930996925080446,7771.0
10,6.4455270194493979,10425.0
11,1.209090846759507,1867.0
12,5.6274437600771616,5054.0
13,3.6128575908830962,1189.0
14,3.6256824760243584,1396.0
15,7.8519669100971514,1441.0
16,4.9640153044130413,38248.0
17,4.9176616863645135,1037.0
18,8.4456889853679282,1060.0
19,7.1014749602843601,211.0
20,4.7255521247057697,5132.0
21,7.3338480999115063,339.0
22,1.6044660460181821,550.0
23,4.4252169857961787,157.0
24,5.1642740871387263,2076.0
25,6.1665762544987759,818.0
26,1.6478105030158727,126.0
27,2.3663619701041663,288.0
28,6.6711684480788209,203.0
29,4.3315577471830986,71.0
30,5.7115395339042623,1337.0
31,0.20186500000000002,20.0
32,5.0640141490958861,12974.0
33,1.7504266667826089,115.0
34,4.3512027430693072,303.0
35,4.9394418319574465,235.0
36,1.3120853548158764,4535.0
37,1.9533177081249997,48.0
38,6.8368267934666695,75.0
39,7.6246406518478222,92.0
40,5.8088195749840219,1252.0
41,1.2674280954285713,140.0
42,2.8571432327896988,233.0
43,7.3759316110457496,153.0
44,3.4357849812643675,87.0
45,5.7628185340697682,344.0
46,2.1623350867241387,58.0
47,5.3343550046666666,135.0
48,5.5404701342176876,1176.0
49,0.54386818181818175,22.0
50,5.5130808649234098,457.0
51,1.5604567570270271,37.0
52,6.663727451176471,51.0
53,1.9812001850000001,60.0
54,0.67947003579607834,2550.0
55,4.2294065121693114,189.0
56,7.5075269812851424,249.0
57,1.795675649948187,193.0
58,4.5750982758620689,29.0
59,0.94806000000000001,15.0
60,3.4879808832408754,685.0
61,0.82088333333333319,6.0
62,5.6084047616161579,99.0
63,1.9902173978819446,288.0
64,4.3528512537782671,10833.0
65,5.5701291134042545,141.0
66,5.1512363846875004,64.0
67,5.0721232558139535,43.0
68,1.1130853330666666,75.0
69,nan,16.0
70,3.1964822338144336,97.0
71,0.48293333333333333,9.0
72,2.013968343765181,247.0
73,3.5532939395454544,44.0
74,0.64149999999999996,4.0
75,4.0175314408878489,214.0
76,4.2422458823529414,34.0
77,0.069766666666666657,12.0
78,1.9059222222222223,9.0
79,0.42170840302521007,119.0
80,3.3100258749224407,967.0
81,4.6217716446753236,77.0
82,2.8119373336,25.0
83,0.81643030272727268,22.0
84,1.8950121216666662,66.0
85,5.3777153853846151,13.0
86,3.8535500000000003,18.0
87,0.79493999999999998,5.0
88,2.9451932292187508,64.0
89,nan,1.0
90,6.1238129810062887,159.0
91,1.050962506376022,367.0
92,0.75193333333333345,3.0
93,1.7001777777777778,9.0
94,8.0663892596296325,27.0
95,2.5599038461538459,13.0
96,3.8400535133245373,379.0
97,nan,4.0
98,5.4456047619047627,21.0
99,0.88502727272727266,11.0
100,4.3404211301616646,433.0
101,nan,3.0
102,0.79203333333333337,3.0
103,0.19343243297297297,37.0
104,0.064524999999999999,4.0
105,0.97994400000000015,25.0
106,2.9746333333333332,9.0
107,nan,2.0
108,3.2082907764406796,118.0
109,2.4122045459090908,22.0
110,0.2976646359067357,2123.0
111,nan,1.0
112,2.5425200000000006,40.0
113,1.7636767864999996,40.0
114,0.19164999999999999,2.0
115,4.5595333333333334,6.0
116,6.7060328699999978,36.0
118,10.318967442325581,43.0
119,2.7036565213043482,23.0
120,2.558711879303798,158.0
122,nan,7.0
123,10.370684615384615,13.0
124,3.3430970588235285,34.0
125,2.4633230407185644,167.0
126,8.5620616406153847,65.0
127,7.4333269230069927,143.0
128,3.6619127961626137,4034.0
129,0.13372558162790699,43.0
130,2.0705057137142857,35.0
131,nan,4.0
132,5.359867949230769,26.0
133,2.1059032258064518,31.0
134,0.68163333333333342,3.0
135,1.2498214282142859,28.0
136,1.0135586220689654,29.0
137,nan,1.0
138,4.7053157026582282,79.0
140,2.4119617822916672,144.0
141,nan,4.0
142,nan,1.0
143,nan,4.0
144,2.3222073758373214,209.0
145,nan,2.0
148,nan,1.0
149,nan,1.0
150,1.4312477475675673,111.0
151,nan,16.0
152,3.4352483349999998,10.0
153,nan,3.0
155,nan,3.0
156,4.9208653846153849,26.0
157,nan,34.0
158,nan,24.0
160,2.7277803996254684,267.0
161,1.9347888888888891,27.0
162,0.34661999999999998,5.0
163,1.4773932057350803,687.0
165,3.2346343439393936,33.0
166,0.030782759655172413,29.0
167,nan,3.0
168,4.8619259999999995,25.0
170,nan,5.0
172,0.25694615423076927,26.0
173,nan,1.0
175,2.5354000014285711,7.0
176,nan,16.0
178,nan,2.0
179,5.8832736554838716,62.0
180,1.9866785717857141,28.0
181,0.71412996025735276,544.0
182,nan,1.0
183,nan,1.0
185,1.1369076915384615,13.0
186,1.034749999375,16.0
188,3.0406558071653551,127.0
189,nan,2.0
190,0.47780454545454543,11.0
192,2.0780964230894305,123.0
193,nan,4.0
195,1.0949249999999999,4.0
196,3.8238214285714283,14.0
199,nan,1.0
200,2.2518348378472215,144.0
201,nan,1.0
203,nan,22.0
204,nan,2.0
205,8.1005812499999994,16.0
206,nan,1.0
207,nan,1.0
208,1.3472714285714287,14.0
209,nan,1.0
210,nan,4.0
211,0.036250000999999997,20.0
212,nan,4.0
213,0.23019999999999999,3.0
214,nan,1.0
215,nan,1.0
216,0.82934772102564069,117.0
217,1.6243474415128591,661.0
218,nan,4.0
219,nan,1.0
220,0.3287230769230769,13.0
221,nan,1.0
222,nan,1.0
223,nan,5.0
224,5.3092960937500013,64.0
225,2.6718575759090908,44.0
226,nan,2.0
227,nan,4.0
230,nan,5.0
232,nan,1.0
233,1.4590000000000001,2.0
235,0.36945,2.0
236,6.5930277777777775,18.0
238,0.50346000000000002,5.0
239,nan,1.0
240,4.0877670212765969,47.0
241,nan,2.0
243,nan,15.0
244,nan,4.0
245,nan,1.0
247,nan,7.0
248,0.46429411764705886,17.0
249,0.072179999999999994,5.0
250,2.5766407034905665,212.0
251,0.4178,3.0
252,9.6341954545454556,33.0
253,0.46020000099999991,10.0
254,nan,8.0
255,1.1718825367460315,126.0
256,2.0695300067272733,4015.0
288,nan,1.0
390,nan,1.0
