,[CCT LSU SUPERMIC] CPU Hours: Per Job,[GATECH KEENELAND] CPU Hours: Per Job,[GATECH KIDS] CPU Hours: Per Job,[IU BIGRED*] CPU Hours: Per Job,[LONI QUEENBEE] CPU Hours: Per Job,[NCAR FROST] CPU Hours: Per Job,[NCSA ABE] CPU Hours: Per Job,[NCSA COBALT] CPU Hours: Per Job,[NCSA DTF] CPU Hours: Per Job,[NCSA EMBER*] CPU Hours: Per Job,[NCSA FORGE] CPU Hours: Per Job,[NCSA LINCOLN] CPU Hours: Per Job,[NICS ATHENA] CPU Hours: Per Job,[NICS DARTER] CPU Hours: Per Job,[NICS KRAKEN] CPU Hours: Per Job,[NICS NAUTILUS] CPU Hours: Per Job,[ORNL NSTG] CPU Hours: Per Job,[OSG] CPU Hours: Per Job,[PSC BIGBEN] CPU Hours: Per Job,[PSC BLACKLIGHT] CPU Hours: Per Job,[PSC BRIDGES LARGE] CPU Hours: Per Job,[PSC BRIDGES] CPU Hours: Per Job,[PSC GREENFIELD] CPU Hours: Per Job,[PSC POPLE] CPU Hours: Per Job,[PURDUE CONDOR] CPU Hours: Per Job,[PURDUE STEELE] CPU Hours: Per Job,[SDSC COMET] CPU Hours: Per Job,[SDSC DASH] CPU Hours: Per Job,[SDSC GORDON] CPU Hours: Per Job,[SDSC TRESTLES] CPU Hours: Per Job,[Stanford XSTREAM] CPU Hours: Per Job,[TACC LONESTAR4] CPU Hours: Per Job,[TACC LONESTAR] CPU Hours: Per Job,[TACC LONGHORN] CPU Hours: Per Job,[TACC MAVERICK2] CPU Hours: Per Job,[TACC RANGER] CPU Hours: Per Job,[TACC SPUR] CPU Hours: Per Job,[TACC STAMPEDE] CPU Hours: Per Job
2010-02-01,,,,29.59812955,0.0,3452.32527037,50.99981667,5.8922797,123.42490103,,,247.39326944,0.0,,2278.15294547,,0.9121875,,235.20280531,,,,,170.75690476,5.80516641,20.38270935,,0.0,,,,,110.55056214,20.95555,,1486.89107097,40.8222,
2010-02-02,,,,16.36815319,136.67333243,2900.67808571,60.73065419,3.39196214,55.47540465,,,352.49470882,0.0,,1646.50280169,,1.34201159,,1085.96874,,,,,139.68899238,14.30564217,8.29680592,,0.0,,,,,162.03943602,11.82444,,1031.97435426,39.91644,
2010-02-03,,,,28.47661594,261.40154014,976.33555375,81.72022585,4.40700128,43.01693668,,,62.32663611,0.0,,32476.64744894,,1.28767069,,1500.41434194,,,,,161.67740213,5.52781274,19.2029628,,0.0,,,,,155.93124228,0.0,,780.03423902,47.68602143,
2010-02-04,,,,49.1826,93.26574975,1635.0905451,68.03642831,6.24235588,55.81577496,,,26.71129458,0.0,,2546.93765167,,0.88573621,,540.74172182,,,,,151.25175135,6.67812909,28.83757737,,0.0,,,,,121.01363296,1.46885,,1004.68049569,32.25587143,
2010-02-05,,,,42.66609074,213.63910032,2209.12655263,72.8109314,6.46770615,104.28456557,,,125.0676411,0.0,,1994.58854007,,0.75001833,,470.06815752,,,,,127.34906515,7.0106379,10.93899995,,0.0,,,,,240.54477857,29.90666667,,1302.48589979,51.7911,
2010-02-06,,,,34.82849825,196.16129216,1375.60579565,54.68520744,10.67317424,102.42682527,,,34.91773106,0.0,,2598.10103462,,0.005,,636.59103214,,,,,399.38489,22.98071272,64.91767741,,0.0,,,,,367.60099324,0.0,,1547.54028261,11.8711,
2010-02-07,,,,36.11995686,236.90790042,2017.77777647,63.69134588,8.17933429,142.18287353,,,71.99025784,0.0,,1701.85581312,,0.00690625,,772.660976,,,,,340.47961522,15.84011613,66.18451381,,0.0,,,,,174.99427386,0.0,,1592.38317485,0.0,
2010-02-08,,,,42.92734219,120.54093882,2457.72069474,40.769127,7.07053415,53.23997454,,,299.95784242,0.0,,1230.27816155,,3.09651364,,948.33553187,,,,,328.28970408,15.65558458,62.1106625,,0.0,,,,,22.42660033,13.95207143,,1434.8592782,2.98555,
2010-02-09,,,,25.70653723,194.22974506,1543.99210741,37.02739887,6.78114977,45.84965939,,,94.39545495,0.0,,825.41436236,,2.08277391,,381.83004027,,,,,91.05367273,23.01809948,33.98086679,,0.0,,,,,86.36395423,4.55073333,,1399.16704722,38.103325,
2010-02-10,,,,25.56753148,145.18070136,242.63349205,27.62104779,5.79098651,52.44305094,,,249.49399091,0.0,,47399.22937568,,1.7478,,1238.74812,,,,,138.62574679,21.62406577,8.7333983,,0.0,,,,,189.73401644,3.46824286,,1492.86814089,50.4089,
