,[CCT LSU SUPERMIC] CPU Hours: Total,[GATECH KEENELAND] CPU Hours: Total,[GATECH KIDS] CPU Hours: Total,[IU BIGRED*] CPU Hours: Total,[LONI QUEENBEE] CPU Hours: Total,[NCAR FROST] CPU Hours: Total,[NCSA ABE] CPU Hours: Total,[NCSA COBALT] CPU Hours: Total,[NCSA DTF] CPU Hours: Total,[NCSA EMBER*] CPU Hours: Total,[NCSA FORGE] CPU Hours: Total,[NCSA LINCOLN] CPU Hours: Total,[NICS ATHENA] CPU Hours: Total,[NICS DARTER] CPU Hours: Total,[NICS KRAKEN] CPU Hours: Total,[NICS NAUTILUS] CPU Hours: Total,[ORNL NSTG] CPU Hours: Total,[OSG] CPU Hours: Total,[PSC BIGBEN] CPU Hours: Total,[PSC BLACKLIGHT] CPU Hours: Total,[PSC BRIDGES LARGE] CPU Hours: Total,[PSC BRIDGES] CPU Hours: Total,[PSC GREENFIELD] CPU Hours: Total,[PSC POPLE] CPU Hours: Total,[PURDUE CONDOR] CPU Hours: Total,[PURDUE STEELE] CPU Hours: Total,[SDSC COMET] CPU Hours: Total,[SDSC DASH] CPU Hours: Total,[SDSC GORDON] CPU Hours: Total,[SDSC TRESTLES] CPU Hours: Total,[Stanford XSTREAM] CPU Hours: Total,[TACC LONESTAR4] CPU Hours: Total,[TACC LONESTAR] CPU Hours: Total,[TACC LONGHORN] CPU Hours: Total,[TACC MAVERICK2] CPU Hours: Total,[TACC RANGER] CPU Hours: Total,[TACC SPUR] CPU Hours: Total,[TACC STAMPEDE] CPU Hours: Total
2010-02-01,,,,1302.3177,0.0,93212.7823,132497.5237,1190.2405,36040.0711,,,8906.1577,0.0,,2289543.7102,,58.38,,26577.917,,,,,14343.58,27203.0098,71685.9888,,0.0,,,,,22773.4158,41.9111,,1208842.4407,163.2888,
2010-02-02,,,,769.3032,10113.8266,81218.9864,156563.6265,1173.6189,36946.6195,,,11984.8201,0.0,,2240890.3131,,92.5988,,32579.0622,,,,,14667.3442,61471.3444,59463.208,,0.0,,,,,38241.3069,59.1222,,1200186.174,199.5822,
2010-02-03,,,,1964.8865,76852.0528,78106.8443,130262.04,1035.6453,34714.6679,,,8975.0356,0.0,,1526402.4301,,74.6849,,93025.6892,,,,,15197.6758,36870.511,56725.5521,,0.0,,,,,46467.5102,0.0,,1119349.133,667.6043,
2010-02-04,,,,1868.9388,74426.0683,83389.6178,137229.4759,1061.2005,35219.754,,,11325.5889,0.0,,2292243.8865,,51.3727,,89222.3841,,,,,16788.9444,49191.0989,61049.1513,,0.0,,,,,32673.6809,2.9377,,1188537.0264,225.7911,
2010-02-05,,,,2303.9689,66441.7602,41973.4045,144238.4551,1261.2027,34831.0449,,,9129.9378,0.0,,2299760.5867,,45.0011,,71920.4281,,,,,16810.0766,38937.0829,62111.6417,,0.0,,,,,47146.7766,89.72,,1229546.6894,207.1644,
2010-02-06,,,,1985.2244,60025.3554,63277.8666,141142.5204,1408.859,37283.3644,,,14840.0357,0.0,,2026518.807,,0.145,,17824.5489,,,,,15975.3956,30173.6758,33627.3569,,0.0,,,,,54404.947,0.0,,1219461.7427,23.7422,
2010-02-07,,,,1842.1178,55910.2645,34302.2222,142286.4667,1431.3835,38673.7416,,,13318.1977,0.0,,2152847.6036,,0.1105,,77266.0976,,,,,15662.0623,26421.3137,25878.1449,,0.0,,,,,30798.9922,0.0,,1070081.4935,0.0,
2010-02-08,,,,2747.3499,59306.1419,46696.6932,130175.8225,1739.3514,37853.6219,,,9898.6088,0.0,,2114848.1597,,68.1233,,86298.5334,,,,,16086.1955,21526.4288,31303.7739,,0.0,,,,,13702.6528,97.6645,,1165105.7339,11.9422,
2010-02-09,,,,2416.4145,62930.4374,41687.7869,121005.5395,1471.5095,37367.4724,,,10477.8955,0.0,,1622764.6364,,47.9038,,84384.4389,,,,,17027.0368,17700.9185,37854.6856,,0.0,,,,,22454.6281,27.3044,,1081556.1275,152.4133,
2010-02-10,,,,1380.6467,74477.6998,57989.4046,134790.7132,1459.3286,36133.2621,,,10977.7356,0.0,,1753771.4869,,43.695,,92906.109,,,,,15110.2064,16801.8991,61587.9248,,0.0,,,,,55402.3328,24.2777,,1146522.7322,151.2267,
2010-02-11,,,,1426.0043,79329.591,63733.6356,147198.1602,1469.765,35472.6519,,,16580.8512,0.0,,2047031.9996,,73.1473,,60840.0307,,,,,16197.0066,16275.8723,72011.3159,,0.0,,,,,43240.1288,188.2867,,1158830.3728,64.7067,
2010-02-12,,,,1660.4388,74842.2086,50153.4224,136204.4847,1354.8237,36639.4578,,,11976.6955,0.0,,2172053.1595,,47.5383,,97626.816,,,,,16234.5998,15180.2325,84748.4378,,0.0,,,,,36584.5119,172.5001,,1280038.6927,45.1778,
2010-02-13,,,,1397.9333,59918.7646,23666.4712,173998.8551,1937.7172,36515.6795,,,12382.44,0.0,,1817747.4894,,0.2389,,85110.9676,,,,,16857.5867,11489.297,90346.5878,,0.0,,,,,51907.3202,0.0,,1196932.0226,165.2089,
2010-02-14,,,,2111.87,46504.6713,3067.4844,139818.7777,1952.4749,38525.8104,,,14913.0911,0.0,,2045625.6934,,0.2467,,41610.4607,,,,,16832.3413,11024.4272,81967.5536,,0.0,,,,,44386.4566,0.0,,1190224.4799,175.7422,
2010-02-15,,,,2908.8299,72780.6821,47533.1377,147990.3313,1404.4962,37306.1022,,,15164.7667,0.0,,1981210.6397,,45.6133,,29358.1689,,,,,16844.0211,11457.7648,71648.944,,0.0,,,,,34034.6506,14.1333,,988758.3243,72.56,
2010-02-16,,,,2345.1112,61261.2355,40035.5377,148965.9286,1713.9732,37922.5055,,,22474.0998,0.0,,734014.3406,,46.4823,,46110.1196,,,,,18231.7937,10943.9683,76972.4713,,0.0,,,,,37017.0401,7686.3133,,962036.9102,141.0489,
2010-02-17,,,,1503.2399,3223.5201,44577.689,153825.3493,1522.1122,29021.0399,,,13927.6159,0.0,,1711512.767,,51.0178,,84515.1156,,,,,19025.7342,19575.742,69241.3139,,0.0,,,,,35368.3904,16693.7909,,1231983.2574,54.1156,
2010-02-18,,,,1734.1977,0.0,102480.7999,134700.9378,1523.5627,31913.9785,,,23221.5864,0.0,,1909733.7359,,75.4766,,88125.4253,,,,,19396.0932,29342.5838,80398.9118,,0.0,,,,,39200.1742,11629.2667,,1238952.3369,128.0578,
2010-02-19,,,,2169.8955,0.0,54068.3021,154202.3047,1534.3425,35776.7532,,,28583.9997,0.0,,2272428.6272,,34.32,,90791.8483,,,,,19787.6919,26859.8501,78815.0578,,0.0,,,,,40651.9713,419.4778,,1257780.1961,7.9689,
2010-02-20,,,,1150.7722,0.0,82021.3511,128345.8449,1620.1431,38280.1919,,,27664.8378,0.0,,2346733.78,,0.2433,,85382.5098,,,,,19465.5643,25685.0762,74230.7441,,0.0,,,,,34627.2173,0.0,,1259363.7648,0.0,
2010-02-21,,,,1294.1778,0.0044,43908.8534,158475.9597,1480.9298,29662.397,,,23724.2243,0.0,,2303495.0862,,0.2467,,73980.6952,,,,,18762.5411,24902.9187,70337.0502,,0.0,,,,,37551.4155,0.0,,1276901.2627,111.4444,
2010-02-22,,,,1183.1368,4858.4155,42052.9421,147245.6506,866.0139,31865.312,,,19632.48,0.0,,2190876.2431,,169.7083,,90854.4413,,,,,19329.4433,22469.1377,68919.1935,,0.0,,,,,46191.006,828.8112,,1320062.9154,157.5066,
2010-02-23,,,,1620.5499,45415.529,87761.7778,149967.4774,1590.1125,38113.4792,,,16974.7799,0.0,,2093798.7805,,46.3389,,88146.4206,,,,,19650.7455,19569.1963,64403.02,,0.0,,,,,53554.4975,91.929,,1173253.3825,164.3866,
2010-02-24,,,,1605.9668,64441.1825,78363.1822,127095.4931,1941.9493,36899.2623,,,21117.7158,0.0,,1795960.9968,,44.8527,,96738.1626,,,,,19459.9613,20809.2794,53880.2461,,0.0,,,,,50106.1209,376.2999,,1270171.0749,60.8267,
