,[CCT LSU SUPERMIC] Number of Jobs Ended,[GATECH KEENELAND] Number of Jobs Ended,[GATECH KIDS] Number of Jobs Ended,[IU BIGRED*] Number of Jobs Ended,[LONI QUEENBEE] Number of Jobs Ended,[NCAR FROST] Number of Jobs Ended,[NCSA ABE] Number of Jobs Ended,[NCSA COBALT] Number of Jobs Ended,[NCSA DTF] Number of Jobs Ended,[NCSA EMBER*] Number of Jobs Ended,[NCSA FORGE] Number of Jobs Ended,[NCSA LINCOLN] Number of Jobs Ended,[NICS ATHENA] Number of Jobs Ended,[NICS DARTER] Number of Jobs Ended,[NICS KRAKEN] Number of Jobs Ended,[NICS NAUTILUS] Number of Jobs Ended,[ORNL NSTG] Number of Jobs Ended,[OSG] Number of Jobs Ended,[PSC BIGBEN] Number of Jobs Ended,[PSC BLACKLIGHT] Number of Jobs Ended,[PSC BRIDGES LARGE] Number of Jobs Ended,[PSC BRIDGES] Number of Jobs Ended,[PSC GREENFIELD] Number of Jobs Ended,[PSC POPLE] Number of Jobs Ended,[PURDUE CONDOR] Number of Jobs Ended,[PURDUE STEELE] Number of Jobs Ended,[SDSC COMET] Number of Jobs Ended,[SDSC DASH] Number of Jobs Ended,[SDSC GORDON] Number of Jobs Ended,[SDSC TRESTLES] Number of Jobs Ended,[Stanford XSTREAM] Number of Jobs Ended,[TACC LONESTAR4] Number of Jobs Ended,[TACC LONESTAR] Number of Jobs Ended,[TACC LONGHORN] Number of Jobs Ended,[TACC MAVERICK2] Number of Jobs Ended,[TACC RANGER] Number of Jobs Ended,[TACC SPUR] Number of Jobs Ended,[TACC STAMPEDE] Number of Jobs Ended
2010-02-01,,,,26.0,0.0,21.0,2400.0,151.0,221.0,,,29.0,0.0,,830.0,,64.0,,111.0,,,,,50.0,3183.0,3343.0,,0.0,,,,,190.0,2.0,,625.0,4.0,
2010-02-02,,,,27.0,7.0,19.0,2306.0,298.0,515.0,,,28.0,0.0,,1328.0,,69.0,,25.0,,,,,76.0,2462.0,6997.0,,0.0,,,,,204.0,5.0,,872.0,5.0,
2010-02-03,,,,50.0,205.0,70.0,1464.0,197.0,660.0,,,117.0,0.0,,46.0,,58.0,,51.0,,,,,66.0,4780.0,2760.0,,0.0,,,,,273.0,0.0,,1034.0,14.0,
2010-02-04,,,,17.0,706.0,47.0,1511.0,119.0,491.0,,,418.0,0.0,,718.0,,58.0,,144.0,,,,,82.0,5040.0,1947.0,,0.0,,,,,243.0,2.0,,982.0,7.0,
2010-02-05,,,,29.0,206.0,10.0,1816.0,139.0,210.0,,,61.0,0.0,,959.0,,60.0,,153.0,,,,,92.0,4283.0,5598.0,,0.0,,,,,175.0,3.0,,708.0,4.0,
2010-02-06,,,,42.0,233.0,39.0,2241.0,75.0,244.0,,,327.0,0.0,,628.0,,29.0,,14.0,,,,,1.0,151.0,385.0,,0.0,,,,,119.0,0.0,,568.0,2.0,
2010-02-07,,,,26.0,181.0,13.0,1960.0,111.0,142.0,,,178.0,0.0,,1130.0,,16.0,,79.0,,,,,6.0,586.0,221.0,,0.0,,,,,146.0,0.0,,490.0,0.0,
2010-02-08,,,,25.0,407.0,16.0,2770.0,170.0,539.0,,,28.0,0.0,,1570.0,,22.0,,72.0,,,,,9.0,655.0,323.0,,0.0,,,,,600.0,7.0,,645.0,4.0,
2010-02-09,,,,71.0,218.0,23.0,2922.0,148.0,624.0,,,98.0,0.0,,1930.0,,23.0,,196.0,,,,,149.0,42.0,797.0,,0.0,,,,,222.0,6.0,,635.0,4.0,
2010-02-10,,,,41.0,429.0,229.0,4543.0,189.0,532.0,,,38.0,0.0,,36.0,,25.0,,67.0,,,,,76.0,89.0,4151.0,,0.0,,,,,264.0,7.0,,612.0,2.0,
2010-02-11,,,,98.0,285.0,268.0,3030.0,201.0,331.0,,,637.0,0.0,,901.0,,32.0,,119.0,,,,,107.0,115.0,10673.0,,0.0,,,,,161.0,19.0,,563.0,3.0,
2010-02-12,,,,48.0,221.0,22.0,1749.0,105.0,410.0,,,20.0,0.0,,1391.0,,39.0,,36.0,,,,,77.0,3721.0,9605.0,,0.0,,,,,228.0,9.0,,424.0,3.0,
2010-02-13,,,,21.0,117.0,21.0,941.0,147.0,361.0,,,10.0,0.0,,1196.0,,55.0,,95.0,,,,,98.0,23.0,10947.0,,0.0,,,,,169.0,0.0,,439.0,3.0,
2010-02-14,,,,22.0,197.0,4.0,1256.0,58.0,203.0,,,17.0,0.0,,1187.0,,54.0,,42.0,,,,,86.0,23.0,2414.0,,0.0,,,,,121.0,0.0,,418.0,5.0,
2010-02-15,,,,40.0,225.0,28.0,2117.0,214.0,388.0,,,60.0,0.0,,1741.0,,56.0,,116.0,,,,,104.0,5.0,8847.0,,0.0,,,,,306.0,2.0,,536.0,2.0,
2010-02-16,,,,49.0,252.0,37.0,838.0,196.0,597.0,,,131.0,0.0,,957.0,,59.0,,148.0,,,,,88.0,62.0,7504.0,,0.0,,,,,289.0,13.0,,462.0,2.0,
2010-02-17,,,,21.0,14.0,61.0,1779.0,151.0,538.0,,,82.0,0.0,,918.0,,76.0,,545.0,,,,,119.0,3671.0,4544.0,,0.0,,,,,314.0,46.0,,547.0,2.0,
2010-02-18,,,,23.0,0.0,343.0,2839.0,247.0,485.0,,,65.0,0.0,,1336.0,,63.0,,744.0,,,,,96.0,3931.0,4695.0,,0.0,,,,,296.0,23.0,,633.0,1.0,
2010-02-19,,,,34.0,0.0,135.0,1036.0,190.0,298.0,,,84.0,0.0,,1331.0,,58.0,,773.0,,,,,108.0,5266.0,8196.0,,0.0,,,,,540.0,3.0,,577.0,2.0,
2010-02-20,,,,13.0,0.0,43.0,929.0,167.0,309.0,,,62.0,0.0,,1060.0,,56.0,,529.0,,,,,86.0,8016.0,3254.0,,0.0,,,,,223.0,0.0,,514.0,0.0,
2010-02-21,,,,10.0,1.0,23.0,1416.0,130.0,776.0,,,79.0,0.0,,1283.0,,58.0,,809.0,,,,,62.0,4030.0,4580.0,,0.0,,,,,173.0,0.0,,448.0,0.0,
2010-02-22,,,,22.0,13.0,70.0,2784.0,135.0,587.0,,,129.0,0.0,,1641.0,,70.0,,585.0,,,,,151.0,2788.0,1174.0,,0.0,,,,,401.0,7.0,,648.0,4.0,
2010-02-23,,,,83.0,232.0,57.0,1364.0,210.0,546.0,,,80.0,0.0,,1456.0,,70.0,,770.0,,,,,97.0,2646.0,1151.0,,0.0,,,,,270.0,7.0,,590.0,5.0,
2010-02-24,,,,67.0,223.0,34.0,1028.0,213.0,898.0,,,412.0,0.0,,358.0,,60.0,,98.0,,,,,97.0,2938.0,932.0,,0.0,,,,,259.0,6.0,,482.0,3.0,
2010-02-25,,,,102.0,231.0,34.0,1044.0,272.0,1068.0,,,298.0,0.0,,65.0,,73.0,,128.0,,,,,137.0,2537.0,2574.0,,0.0,,,,,517.0,41.0,,556.0,1.0,
2010-02-26,,,,156.0,414.0,83.0,869.0,176.0,1793.0,,,25.0,0.0,,1571.0,,62.0,,395.0,,,,,107.0,1203.0,3388.0,,0.0,,,,,293.0,27.0,,789.0,0.0,
2010-02-27,,,,107.0,592.0,15.0,301.0,131.0,1174.0,,,20.0,0.0,,1236.0,,59.0,,1031.0,,,,,113.0,1441.0,1072.0,,0.0,,,,,230.0,3.0,,590.0,4.0,
2010-02-28,,,,117.0,139.0,52.0,473.0,116.0,784.0,,,15.0,0.0,,643.0,,56.0,,521.0,,,,,231.0,2256.0,3004.0,,0.0,,,,,263.0,13.0,,603.0,3.0,
