,[CCT LSU SUPERMIC] Number of Jobs Running,[GATECH KEENELAND] Number of Jobs Running,[GATECH KIDS] Number of Jobs Running,[IU BIGRED*] Number of Jobs Running,[LONI QUEENBEE] Number of Jobs Running,[NCAR FROST] Number of Jobs Running,[NCSA ABE] Number of Jobs Running,[NCSA COBALT] Number of Jobs Running,[NCSA DTF] Number of Jobs Running,[NCSA EMBER*] Number of Jobs Running,[NCSA FORGE] Number of Jobs Running,[NCSA LINCOLN] Number of Jobs Running,[NICS ATHENA] Number of Jobs Running,[NICS DARTER] Number of Jobs Running,[NICS KRAKEN] Number of Jobs Running,[NICS NAUTILUS] Number of Jobs Running,[ORNL NSTG] Number of Jobs Running,[OSG] Number of Jobs Running,[PSC BIGBEN] Number of Jobs Running,[PSC BLACKLIGHT] Number of Jobs Running,[PSC BRIDGES LARGE] Number of Jobs Running,[PSC BRIDGES] Number of Jobs Running,[PSC GREENFIELD] Number of Jobs Running,[PSC POPLE] Number of Jobs Running,[PURDUE CONDOR] Number of Jobs Running,[PURDUE STEELE] Number of Jobs Running,[SDSC COMET] Number of Jobs Running,[SDSC DASH] Number of Jobs Running,[SDSC GORDON] Number of Jobs Running,[SDSC TRESTLES] Number of Jobs Running,[Stanford XSTREAM] Number of Jobs Running,[TACC LONESTAR4] Number of Jobs Running,[TACC LONESTAR] Number of Jobs Running,[TACC LONGHORN] Number of Jobs Running,[TACC MAVERICK2] Number of Jobs Running,[TACC RANGER] Number of Jobs Running,[TACC SPUR] Number of Jobs Running,[TACC STAMPEDE] Number of Jobs Running
2010-02-01,,,,44.0,0.0,27.0,2598.0,202.0,292.0,,,36.0,0.0,,1005.0,,64.0,,113.0,,,,,84.0,4686.0,3517.0,,0.0,,,,,206.0,2.0,,813.0,4.0,
2010-02-02,,,,47.0,74.0,28.0,2578.0,346.0,666.0,,,34.0,0.0,,1361.0,,69.0,,30.0,,,,,105.0,4297.0,7167.0,,0.0,,,,,236.0,5.0,,1163.0,5.0,
2010-02-03,,,,69.0,294.0,80.0,1594.0,235.0,807.0,,,144.0,0.0,,47.0,,58.0,,62.0,,,,,94.0,6670.0,2954.0,,0.0,,,,,298.0,0.0,,1435.0,14.0,
2010-02-04,,,,38.0,798.0,51.0,2017.0,170.0,631.0,,,424.0,0.0,,900.0,,58.0,,165.0,,,,,111.0,7366.0,2117.0,,0.0,,,,,270.0,2.0,,1183.0,7.0,
2010-02-05,,,,54.0,311.0,19.0,1981.0,195.0,334.0,,,73.0,0.0,,1153.0,,60.0,,153.0,,,,,132.0,5554.0,5678.0,,0.0,,,,,196.0,3.0,,944.0,4.0,
2010-02-06,,,,57.0,306.0,46.0,2581.0,132.0,364.0,,,425.0,0.0,,780.0,,29.0,,28.0,,,,,40.0,1313.0,518.0,,0.0,,,,,148.0,0.0,,788.0,2.0,
2010-02-07,,,,51.0,236.0,17.0,2234.0,175.0,272.0,,,185.0,0.0,,1265.0,,16.0,,100.0,,,,,46.0,1668.0,391.0,,0.0,,,,,176.0,0.0,,672.0,0.0,
2010-02-08,,,,64.0,492.0,19.0,3193.0,246.0,711.0,,,33.0,0.0,,1719.0,,22.0,,91.0,,,,,49.0,1375.0,504.0,,0.0,,,,,611.0,7.0,,812.0,4.0,
2010-02-09,,,,94.0,324.0,27.0,3268.0,217.0,815.0,,,111.0,0.0,,1966.0,,23.0,,221.0,,,,,187.0,769.0,1114.0,,0.0,,,,,260.0,6.0,,773.0,4.0,
2010-02-10,,,,54.0,513.0,239.0,4880.0,252.0,689.0,,,44.0,0.0,,37.0,,25.0,,75.0,,,,,109.0,777.0,7052.0,,0.0,,,,,292.0,7.0,,768.0,3.0,
