,[10] Number of Jobs Started,[11] Number of Jobs Started,[12] Number of Jobs Started,[13] Number of Jobs Started,[14] Number of Jobs Started,[15] Number of Jobs Started,[16] Number of Jobs Started,[17] Number of Jobs Started,[18] Number of Jobs Started,[19] Number of Jobs Started,[1] Number of Jobs Started,[20] Number of Jobs Started,[21] Number of Jobs Started,[22] Number of Jobs Started,[23] Number of Jobs Started,[24] Number of Jobs Started,[25] Number of Jobs Started,[26] Number of Jobs Started,[27] Number of Jobs Started,[28] Number of Jobs Started,[29] Number of Jobs Started,[2] Number of Jobs Started,[30] Number of Jobs Started,[31] Number of Jobs Started,[32] Number of Jobs Started,[33] Number of Jobs Started,[34] Number of Jobs Started,[35] Number of Jobs Started,[36] Number of Jobs Started,[37] Number of Jobs Started,[38] Number of Jobs Started,[39] Number of Jobs Started,[3] Number of Jobs Started,[40] Number of Jobs Started,[41] Number of Jobs Started,[42] Number of Jobs Started,[43] Number of Jobs Started,[44] Number of Jobs Started,[45] Number of Jobs Started,[46] Number of Jobs Started,[47] Number of Jobs Started,[48] Number of Jobs Started,[49] Number of Jobs Started,[4] Number of Jobs Started,[50] Number of Jobs Started,[51] Number of Jobs Started,[52] Number of Jobs Started,[53] Number of Jobs Started,[54] Number of Jobs Started,[55] Number of Jobs Started,[56] Number of Jobs Started,[57] Number of Jobs Started,[58] Number of Jobs Started,[59] Number of Jobs Started,[5] Number of Jobs Started,[60] Number of Jobs Started,[61] Number of Jobs Started,[62] Number of Jobs Started,[63] Number of Jobs Started,[64] Number of Jobs Started,[65] Number of Jobs Started,[66] Number of Jobs Started,[67] Number of Jobs Started,[68] Number of Jobs Started,[6] Number of Jobs Started,[70] Number of Jobs Started,[71] Number of Jobs Started,[72] Number of Jobs Started,[7] Number of Jobs Started,[8] Number of Jobs Started,[9] Number of Jobs Started
2015-08-01,18.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1044.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,3.0,0.0,43.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,1.0,0.0,15.0,0.0
2015-08-02,17.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,567.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,42.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,13.0,0.0
2015-08-03,51.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,704.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,245.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,65.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,,4.0,0.0,108.0,0.0,0.0,6.0,,0.0,0.0,5.0,0.0,0.0,,3.0,3.0,,,0.0,4.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,7.0,1.0,90.0,3.0
2015-08-04,88.0,1.0,17.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,472.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.0,0.0,72.0,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,0.0,,12.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,35.0,4.0
2015-08-05,80.0,0.0,15.0,0.0,0.0,2.0,43.0,0.0,1.0,0.0,696.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,44.0,0.0,0.0,0.0,,0.0,0.0,11.0,0.0,0.0,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,45.0,0.0
2015-08-06,41.0,1.0,11.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,681.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.0,0.0,58.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,2.0,0.0,29.0,0.0
2015-08-07,48.0,0.0,3.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,681.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,41.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,27.0,1.0
2015-08-08,3.0,0.0,12.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,447.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,58.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,19.0,0.0
2015-08-09,14.0,0.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1152.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,118.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,61.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,16.0,0.0
2015-08-10,12.0,0.0,11.0,0.0,0.0,0.0,9.0,0.0,14.0,0.0,1652.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,106.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,0.0,34.0,3.0
