,[CCT LSU SUPERMIC] Wait Hours: Per Job,[GATECH KEENELAND] Wait Hours: Per Job,[GATECH KIDS] Wait Hours: Per Job,[IU BIGRED*] Wait Hours: Per Job,[LONI QUEENBEE] Wait Hours: Per Job,[NCAR FROST] Wait Hours: Per Job,[NCSA ABE] Wait Hours: Per Job,[NCSA COBALT] Wait Hours: Per Job,[NCSA DTF] Wait Hours: Per Job,[NCSA EMBER*] Wait Hours: Per Job,[NCSA FORGE] Wait Hours: Per Job,[NCSA LINCOLN] Wait Hours: Per Job,[NICS ATHENA] Wait Hours: Per Job,[NICS DARTER] Wait Hours: Per Job,[NICS KRAKEN] Wait Hours: Per Job,[NICS NAUTILUS] Wait Hours: Per Job,[ORNL NSTG] Wait Hours: Per Job,[OSG] Wait Hours: Per Job,[PSC BIGBEN] Wait Hours: Per Job,[PSC BLACKLIGHT] Wait Hours: Per Job,[PSC BRIDGES LARGE] Wait Hours: Per Job,[PSC BRIDGES] Wait Hours: Per Job,[PSC GREENFIELD] Wait Hours: Per Job,[PSC POPLE] Wait Hours: Per Job,[PURDUE CONDOR] Wait Hours: Per Job,[PURDUE STEELE] Wait Hours: Per Job,[SDSC COMET] Wait Hours: Per Job,[SDSC DASH] Wait Hours: Per Job,[SDSC GORDON] Wait Hours: Per Job,[SDSC TRESTLES] Wait Hours: Per Job,[Stanford XSTREAM] Wait Hours: Per Job,[TACC LONESTAR4] Wait Hours: Per Job,[TACC LONESTAR] Wait Hours: Per Job,[TACC LONGHORN] Wait Hours: Per Job,[TACC MAVERICK2] Wait Hours: Per Job,[TACC RANGER] Wait Hours: Per Job,[TACC SPUR] Wait Hours: Per Job,[TACC STAMPEDE] Wait Hours: Per Job
2010-02-01,,,,0.03228621,0.0,0.0023,6.65075159,18.85125783,14.35155848,,,2.27403929,0.0,,7.64096489,,0.01513594,,1.022407,,,,,20.99839091,0.00218265,3.33678922,,0.0,,,,,1.62834286,0.0003,,19.60629494,0.0264,
2010-02-02,,,,66.35022759,183.8593,0.00247273,7.57484185,4.59163898,27.98574168,,,2.83174444,0.0,,3.6913957,,0.02024638,,24.95913571,,,,,7.68519014,0.00108926,4.28923076,,0.0,,,,,7.65752318,0.00194,,20.17231662,0.03248,
2010-02-03,,,,10.70369592,0.26833348,0.10139014,6.97513222,4.83409198,25.92210579,,,3.01750797,0.0,,17.28420714,,0.01661897,,33.10228772,,,,,10.68819846,0.00077485,9.50531272,,0.0,,,,,3.46545188,0.0,,19.70626643,0.02355,
2010-02-04,,,,22.82053684,0.5504567,0.2509,18.73973015,37.44363788,11.52905227,,,12.47507254,0.0,,15.00037086,,0.01634655,,22.98917792,,,,,11.08736386,0.00239943,0.99092917,,0.0,,,,,4.12060939,0.004,,9.53694335,0.06322857,
2010-02-05,,,,25.28949394,2.84560868,4.61363333,8.67191322,30.31917292,5.04426753,,,4.39953881,0.0,,7.58807889,,0.015265,,0.15370985,,,,,18.85751165,0.00052203,3.02898328,,0.0,,,,,6.24926331,0.00056667,,15.12717887,0.032225,
2010-02-06,,,,18.79681875,5.24425423,0.00282973,13.56070464,48.79856184,15.30425375,,,25.10235763,0.0,,5.2290029,,4.138e-05,,9.40436071,,,,,0.0,0.08007381,6.00425731,,0.0,,,,,14.20122913,0.0,,20.45311993,0.025,
2010-02-07,,,,4.55163056,10.37324417,4.64986,3.7614038,16.99681271,19.10187961,,,27.11961839,0.0,,2.70776676,,5.625e-05,,0.00545698,,,,,0.00035714,0.02208696,0.99497209,,0.0,,,,,18.39648639,0.0,,30.61854071,0.0,
2010-02-08,,,,15.0221359,0.62033341,0.08998667,2.58667619,2.8049489,26.2205401,,,0.94333846,0.0,,1.77496742,,0.04291818,,1.34309714,,,,,0.15626667,0.1004942,2.38150389,,0.0,,,,,1.41942978,0.00192857,,13.97940016,0.039725,
2010-02-09,,,,8.62004364,4.08772218,0.0018125,0.63517459,39.44780142,22.65639207,,,2.82981509,0.0,,0.95129351,,0.04106522,,2.67704653,,,,,86.12643946,0.16386327,46.2830955,,0.0,,,,,19.23343052,0.0026,,15.29614274,0.030975,
2010-02-10,,,,2.26818065,2.40871474,0.02032,1.48613935,5.61404208,20.84359478,,,6.76994194,0.0,,116.8667,,0.035336,,4.455598,,,,,7.41290704,0.228816,4.85693066,,0.0,,,,,7.35300039,0.0017,,24.6883419,0.0372,
2010-02-11,,,,13.70389118,4.28700117,0.01379498,3.6078898,18.34215482,18.99627826,,,26.12566729,0.0,,12.43776844,,0.02936875,,6.62829664,,,,,14.30785565,0.37481591,0.62971167,,0.0,,,,,27.63117688,0.00233333,,24.06951621,0.0303,
2010-02-12,,,,13.00429111,12.8136784,0.63864242,5.5136208,9.75498942,20.55779921,,,2.84978889,0.0,,3.83099209,,0.02433846,,15.1871425,,,,,7.67703125,0.01005245,1.03663367,,0.0,,,,,12.7328393,0.00451429,,29.00860482,0.0361,
2010-02-13,,,,39.15262,9.36060412,0.00164,14.14570385,17.47502874,56.78740236,,,0.55261333,0.0,,2.88448701,,5.273e-05,,14.94006327,,,,,14.64880202,0.38862,1.12883254,,0.0,,,,,5.78686744,0.0,,35.01776847,0.03286667,
2010-02-14,,,,30.98856486,0.13620207,0.00195,9.91818183,1.03877742,62.4529278,,,6.0073619,0.0,,1.75807537,,5.185e-05,,0.73457353,,,,,7.62065402,7.06931667,6.74920415,,0.0,,,,,23.43176304,0.0,,39.92349138,0.02796,
2010-02-15,,,,34.93981463,0.83678009,2.18868378,5.12732193,2.7956315,65.9572514,,,0.0219931,0.0,,2.07042011,,0.01693571,,10.37627895,,,,,8.46921712,1.79871852,0.97347632,,0.0,,,,,7.29724824,0.00795,,24.6217497,0.04195,
2010-02-16,,,,10.19138387,1.70636131,0.50077778,13.66355834,0.26802893,71.10356997,,,0.08078527,0.0,,1.39536603,,0.01593729,,3.27812532,,,,,6.60716771,0.94776486,0.76104866,,0.0,,,,,17.246085,0.0078,,16.29877506,0.0207,
2010-02-17,,,,64.573655,0.0,2.78204118,15.71361892,2.22603464,71.18194867,,,3.75457381,0.0,,6.35963491,,0.01232895,,1.98802542,,,,,4.91193964,0.50945811,1.33362201,,0.0,,,,,7.31807564,0.0779375,,21.37355009,0.0453,
2010-02-18,,,,32.11189286,0.0,0.02717156,4.51938415,3.3588958,27.10989682,,,8.18341622,0.0,,5.29565162,,0.01492698,,0.73167947,,,,,5.3383819,0.0008826,2.28916619,,0.0,,,,,20.70687047,0.51203182,,21.28100281,0.01,
2010-02-19,,,,23.91684828,0.0,0.48006933,9.95167394,4.34229957,31.6377101,,,8.5589506,0.0,,4.67669992,,7.241e-05,,0.84831925,,,,,15.32531574,0.00038072,2.05954712,,0.0,,,,,3.11286842,0.0014,,22.1406815,0.02765,
2010-02-20,,,,99.46876667,0.0,0.03458293,16.78562804,4.46335161,47.91469751,,,29.21674493,0.0,,5.00965111,,3.929e-05,,0.05827864,,,,,26.62106829,0.00036357,3.95054803,,0.0,,,,,2.99553057,0.0,,33.75456223,0.0,
2010-02-21,,,,54.85646667,101.7811,6.12759545,20.63881733,7.73537913,30.86451397,,,4.34996061,0.0,,2.85776837,,6.897e-05,,0.00623622,,,,,24.23787455,0.00080759,8.75673267,,0.0,,,,,15.993899,0.0,,28.80416374,0.0172,
2010-02-22,,,,66.1787619,163.07901364,0.19132286,5.67650067,14.36711901,21.98760682,,,0.0738744,0.0,,2.10023341,,0.22545857,,0.01659024,,,,,15.05830491,0.00076338,23.09892985,,0.0,,,,,5.34155041,0.00678571,,16.50656294,0.03526667,
2010-02-23,,,,7.87217294,0.20366889,0.00597368,9.84273429,11.29734722,65.7822541,,,0.03412716,0.0,,3.12428606,,0.01294571,,0.0431292,,,,,19.33965158,0.00092888,24.00228378,,0.0,,,,,4.28587579,0.00578571,,14.04713542,0.02482,
2010-02-24,,,,7.11946538,0.9093181,0.02164242,14.68939036,16.8550991,50.14104691,,,2.2537044,0.0,,3.1741847,,0.01536667,,2.40057872,,,,,54.97501522,0.0008439,29.56332288,,0.0,,,,,2.484272,0.00486667,,20.78472437,0.20196667,
2010-02-25,,,,4.243525,1.07892655,0.1782125,19.14585024,15.86951031,7.8848727,,,2.93101966,0.0,,66.69998503,,0.01297945,,5.00734141,,,,,16.32397174,0.00066253,10.67193474,,0.0,,,,,2.11723672,0.00562439,,14.38171288,0.0106,
2010-02-26,,,,3.11553306,1.61430487,0.69207176,32.4803303,9.58165702,6.76834822,,,0.03017917,0.0,,13.09293139,,0.01453065,,1.47643033,,,,,76.05517674,0.0030251,9.75101255,,0.0,,,,,5.17774393,0.00825185,,22.66041981,0.0,
2010-02-27,,,,8.14968796,3.33357316,0.03013571,80.88148807,24.37368712,14.14602213,,,0.032815,0.0,,10.0786281,,5.763e-05,,0.08429148,,,,,14.91246404,0.00881568,41.60267782,,0.0,,,,,12.8428311,0.0103,,13.71399273,0.02285,
