,[CCT LSU SUPERMIC] XSEDE Utilization (%),[GATECH KEENELAND] XSEDE Utilization (%),[GATECH KIDS] XSEDE Utilization (%),[IU BIGRED*] XSEDE Utilization (%),[LONI QUEENBEE] XSEDE Utilization (%),[NCAR FROST] XSEDE Utilization (%),[NCSA ABE] XSEDE Utilization (%),[NCSA COBALT] XSEDE Utilization (%),[NCSA DTF] XSEDE Utilization (%),[NCSA EMBER*] XSEDE Utilization (%),[NCSA FORGE] XSEDE Utilization (%),[NCSA LINCOLN] XSEDE Utilization (%),[NICS ATHENA] XSEDE Utilization (%),[NICS DARTER] XSEDE Utilization (%),[NICS KRAKEN] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%),[ORNL NSTG] XSEDE Utilization (%),[OSG] XSEDE Utilization (%),[PSC BIGBEN] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[PSC BRIDGES LARGE] XSEDE Utilization (%),[PSC BRIDGES] XSEDE Utilization (%),[PSC GREENFIELD] XSEDE Utilization (%),[PSC POPLE] XSEDE Utilization (%),[PURDUE CONDOR] XSEDE Utilization (%),[PURDUE STEELE] XSEDE Utilization (%),[SDSC COMET] XSEDE Utilization (%),[SDSC DASH] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[SDSC TRESTLES] XSEDE Utilization (%),[Stanford XSTREAM] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%),[TACC LONESTAR] XSEDE Utilization (%),[TACC LONGHORN] XSEDE Utilization (%),[TACC MAVERICK2] XSEDE Utilization (%),[TACC RANGER] XSEDE Utilization (%),[TACC SPUR] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%)
2010-02-01,,,,1.7663814290000002,0.0,47.410472768000005,57.507605773,4.843100993,74.193163496,,,24.159498969,0.0,,84.50047352600001,,4.34375,,26.493138955,,,,,77.81890191,8.096133868999999,41.810137178000005,,0.0,,,,,16.24815625,0.08526835099999999,,79.980365582,5.315390625,
2010-02-02,,,,1.043434245,7.88565572,41.310112712,67.952962891,4.775467529,76.059411026,,,32.510905219,0.0,,82.704816568,,6.889791667000001,,32.475141746,,,,,79.575435113,18.295042975999998,34.681322322,,0.0,,,,,27.284037456999997,0.120284424,,79.407642991,6.496816406000001,
2010-02-03,,,,2.665047879,59.92082460100001,39.727195384,56.53734375,4.214051513999999,71.464649004,,,24.346342230999998,0.0,,56.335123702,,5.556912202,,92.728956539,,,,,82.452668186,10.973366369,33.084611854,,0.0,,,,,33.153189355,0.0,,74.059240359,21.731910807,
2010-02-04,,,,2.534910482,58.029307245,42.414152934,59.56140447,4.318035889,72.504434289,,,30.722626139000003,0.0,,84.600129267,,3.822373512,,88.93778319399999,,,,,91.085852865,14.640208005999998,35.606307916,,0.0,,,,,23.311701555,0.005976766,,78.636903106,7.349970702999999,
2010-02-05,,,,3.124957818,51.804017122,21.348777517000002,62.603496137,5.1318469239999995,71.70422616100001,,,24.766541341,0.0,,84.877549053,,3.348296131,,71.69101684600001,,,,,91.20050238700001,11.58841753,36.225994832,,0.0,,,,,33.637825770999996,0.182535807,,81.35021604800001,6.743632813,
2010-02-06,,,,2.6926329210000004,46.801206493,32.184787291999996,61.259774478999994,5.732661947,76.752644104,,,40.256173231,0.0,,74.792980819,,0.01078869,,17.767692285,,,,,86.672068142,8.980260655,19.61282014,,0.0,,,,,38.816314926,0.0,,80.682968029,0.772858073,
2010-02-07,,,,2.498532172,43.592708723,17.447012430999997,61.75627895,5.824314372000001,79.61491600800001,,,36.127923448000004,0.0,,79.455413375,,0.008221726,,77.01963476899999,,,,,84.972126194,7.86348622,15.093169618,,0.0,,,,,21.974166809,0.0,,70.799556809,0.0,
2010-02-08,,,,3.726331787,46.240442474,23.751166381999997,56.49992296,7.077438965,77.92659317399999,,,26.851694878000004,0.0,,78.052963188,,5.068697917,,86.023258971,,,,,87.273196072,6.406675237999999,18.257613557,,0.0,,,,,9.776436073,0.198698934,,77.08662386600001,0.38874349,
2010-02-09,,,,3.277471924,49.066271675,21.203504892999998,52.519765408000005,5.987587484,76.92579133699999,,,28.423110623000003,0.0,,59.891575595,,3.564270833,,84.115270036,,,,,92.37758680600001,5.268130506,22.078367395,,0.0,,,,,16.020710688,0.055550944000000005,,71.55875039,4.961370443,
2010-02-10,,,,1.872621935,58.069563841000004,29.494936422,58.502913715,5.938023275,74.38500926399999,,,29.779013671999998,0.0,,64.726661666,,3.251116071,,92.609757775,,,,,81.978116319,5.000565208,35.92054218,,0.0,,,,,39.527920091,0.049393107,,75.85712098,4.922744141,
2010-02-11,,,,1.934142117,61.852537893000004,32.416603394,63.888090365,5.980489095,73.025057436,,,44.9784375,0.0,,75.550063761,,5.44250744,,60.645963616,,,,,87.874384766,4.844009613,41.999880961,,0.0,,,,,30.850548516,0.38307027200000004,,76.671428587,2.106337891,
2010-02-12,,,,2.252114258,58.353767933,25.509349771999997,59.116529818000004,5.512791748,75.42707880399999,,,32.488865831,0.0,,80.164235207,,3.537075893,,97.315406699,,,,,88.07834092899999,4.517926339,49.428680128,,0.0,,,,,26.101963399000002,0.350952352,,84.6909069,1.47063151,
2010-02-13,,,,1.896068387,46.718098646,12.03738973,75.520336415,7.884591471,75.17226511,,,33.589518229,0.0,,67.087831921,,0.017775298000000002,,84.83948126,,,,,91.45826117600001,3.4194336310000004,52.693745217,,0.0,,,,,37.034332334,0.0,,79.19233931699999,5.37789388,
2010-02-14,,,,2.86440701,36.259255941,1.5602032469999998,60.685233376999996,7.944640706,79.310380435,,,40.454348687,0.0,,75.498161043,,0.018355655,,41.477731958,,,,,91.321296115,3.281079524,47.806757186000006,,0.0,,,,,31.668419378000003,0.0,,78.748549705,5.72077474,
2010-02-15,,,,3.945353054,56.746415061,24.176604055,64.231914627,5.714909668,76.799452816,,,41.137062446,0.0,,73.120786672,,3.393846726,,29.264522428000003,,,,,91.384663086,3.4100490480000003,41.788531168,,0.0,,,,,24.282713041999997,0.028754272,,65.418990588,2.361979167,
2010-02-16,,,,3.180760634,47.764810613,20.363127492,64.655350955,6.974174805,78.068399004,,,60.96489746100001,0.0,,27.090358257,,3.458504464,,45.963037879,,,,,98.913811306,3.257133423,44.89342531,,0.0,,,,,26.410559432,15.637844442,,63.65102778600001,4.591435547,
2010-02-17,,,,2.038899604,2.513348381,22.673385110999998,66.764474523,6.193490397000001,59.743576868999995,,,37.781076118,0.0,,63.167013852,,3.795967262,,84.245529904,,,,,103.221214193,5.82611369,40.384304953000004,,0.0,,,,,25.234296804,33.963604533,,81.511426139,1.761575521,
2010-02-18,,,,2.352156169,0.0,52.124430288,58.463948698,6.199392497000001,65.699066411,,,62.992584635,0.0,,70.48277972300001,,5.615818452,,87.844323465,,,,,105.230540365,8.732911845,46.89186251899999,,0.0,,,,,27.968160815999997,23.65980367,,81.97251975,4.168548177,
2010-02-19,,,,2.9431091310000004,0.0,27.500560556999996,66.928083637,6.243255615,73.651089427,,,77.53906168600001,0.0,,83.868805036,,2.5535714290000002,,90.502241128,,,,,107.35509928399999,7.994003006,45.968095488,,0.0,,,,,29.003974956999997,0.853429769,,83.21822308600001,0.259404297,
2010-02-20,,,,1.56083469,0.0,41.718216502,55.705661848999995,6.59237915,78.804742877,,,75.045675456,0.0,,86.611194521,,0.018102679,,85.110157297,,,,,105.607445204,7.644367917,43.294340297,,0.0,,,,,24.705491795,0.0,,83.32299638,0.0,
2010-02-21,,,,1.7553409830000002,3.4310000000000003e-06,22.333197734000002,68.78296862,6.025918783,61.063893692,,,64.356077203,0.0,,85.015378689,,0.018355655,,73.744712121,,,,,101.79330023899999,7.411582946,41.023382209,,0.0,,,,,26.79182042,0.0,,84.483325837,3.627747396,
