,[CCT LSU SUPERMIC] Wall Hours: Per Job,[NICS DARTER] Wall Hours: Per Job,[OSG] Wall Hours: Per Job,[PSC BLACKLIGHT] Wall Hours: Per Job,[PSC BRIDGES LARGE] Wall Hours: Per Job,[PSC BRIDGES] Wall Hours: Per Job,[PSC GREENFIELD] Wall Hours: Per Job,[SDSC COMET] Wall Hours: Per Job,[SDSC GORDON] Wall Hours: Per Job,[Stanford XSTREAM] Wall Hours: Per Job,[TACC LONESTAR4] Wall Hours: Per Job,[TACC MAVERICK2] Wall Hours: Per Job,[TACC STAMPEDE] Wall Hours: Per Job
2015-08-01,5.12687209,6.2080557,4.57495216,13.19715,,,0.0,13.95682062,9.27442445,,0.0,3.04302113,5.94373879
2015-08-02,3.505,6.86709608,2.30834446,4.53461486,,,0.0,12.98177513,9.58989454,,0.0,2.75817955,5.01889686
2015-08-03,2.60340514,4.22269979,2.99223319,5.1011629,,,0.0,5.63049572,5.94072028,,0.0,2.53168995,4.18842125
2015-08-04,2.95434581,6.99717905,3.50407322,6.86824576,,,0.0,6.06410191,5.34690976,,0.0,2.3450701,4.80852825
2015-08-05,4.96224019,3.91369483,2.86025868,3.99576853,,,0.0,4.93263889,5.7707249,,0.0,3.2075,4.12424786
2015-08-06,2.69105729,5.24597983,0.80851777,6.57215313,,,0.0,5.9814863,6.50637918,,0.0,3.01799701,4.65262658
2015-08-07,2.63342735,3.35791002,3.89819279,3.89505455,,,0.0,6.04548107,7.79798401,,0.0,2.77170038,4.51592611
2015-08-08,2.09683471,6.42357956,3.71604082,9.84148824,,,0.0,7.49180531,7.16673606,,0.0,2.8853625,4.69906994
2015-08-09,8.10179279,7.24023484,4.3828117,14.56181538,,,0.0,5.32274543,7.40280705,,0.0,2.27839558,4.77042457
2015-08-10,2.65466092,5.07203692,4.99433184,3.52356224,,,0.0,3.35893211,5.50430035,,0.0,2.09651982,3.82807339
2015-08-11,2.63245953,5.38159747,0.92734599,4.20428788,,,0.0,3.45432768,3.8749938,,0.0,2.40142105,4.70770842
2015-08-12,2.25036618,6.70534461,0.55927702,4.264643,,,0.0,0.56569709,8.23536654,,0.0,1.92672642,4.78248187
2015-08-13,6.04559163,6.88770887,1.10992894,3.37598462,,,0.0,1.11032016,8.91497452,,0.0,2.06461007,4.46735412
2015-08-14,4.97713597,4.16875298,2.97561178,2.54628077,,,0.0,3.80362819,7.22523718,,0.0,2.92139766,4.46894202
2015-08-15,6.39992695,7.60279275,5.69222092,6.70164545,,,0.0,6.66625733,14.13070281,,0.0,2.64802078,4.17700567
2015-08-16,2.84336881,6.18534589,4.47646148,0.0,,,0.0,7.32146485,11.02460031,,0.0,0.67220435,11.21282992
2015-08-17,4.89870803,5.48413209,4.8153434,0.0,,,0.0,4.6303848,6.31718729,,0.0,3.16442075,3.26816409
2015-08-18,3.68768243,7.86646294,4.1717229,0.0,,,0.0,4.46133578,6.77735803,,0.0,4.02938644,1.49181871
2015-08-19,5.90143775,5.39169663,4.97684488,0.0,,,0.0,2.40695129,5.18370531,,0.0,3.006925,4.22965178
2015-08-20,6.45646883,6.17184777,4.18219198,0.0,,,0.0,7.95949841,5.88908806,,0.0,3.26876604,4.49274293
2015-08-21,6.84437929,6.54520028,3.12763895,0.0,,,0.0,9.20111043,7.49032945,,0.0,5.01004516,4.68452824
2015-08-22,5.26765732,4.19640084,3.28938338,0.0,,,0.0,12.13365586,6.79542177,,0.0,3.9986,5.64964074
2015-08-23,6.01360074,1.58666712,2.30496014,0.0,,,0.0,12.60373016,9.17608907,,0.0,0.24203333,5.77907641
2015-08-24,5.84634304,4.04039845,3.50297532,0.0,,,0.0,6.59717597,6.65784541,,0.0,0.82530915,3.87624571
2015-08-25,8.61111193,3.51357262,4.97012047,0.0,,,0.0,9.06022931,6.62786695,,0.0,4.41985676,4.0911588
2015-08-26,5.82662606,2.56913594,4.04138844,0.0,,,0.0,7.87327488,6.87318076,,0.0,1.56756338,4.19927021
2015-08-27,3.96497157,3.05930922,3.08120413,0.0,,,0.0,3.16192626,8.19089592,,0.0,2.73713261,4.09106933
2015-08-28,3.80918161,2.47324486,5.70211091,0.0,,,0.0,10.40039896,8.73510539,,0.1478,6.11672439,4.18958012
2015-08-29,4.41070889,1.82984579,5.86353597,0.0,,,0.0,1.46265326,6.94966862,,0.0,3.9209,4.45582547
2015-08-30,2.417104,1.92766906,8.33584197,0.0,,,0.0,5.43216162,5.86709623,,0.0,3.98117879,3.32729506
2015-08-31,3.89599429,5.12555305,3.0278558,0.0,,,0.0,2.9143136,4.38760486,,0.0,3.73319565,2.54642828
2015-09-01,2.19466056,4.38803503,3.09367494,0.0,,,0.0,1.17603386,5.24866529,,0.0,1.26529811,3.7246252
2015-09-02,4.12444667,5.07416735,3.36883973,0.0,,,0.0,1.89639312,5.23913841,,0.0,2.35467931,2.75300316
2015-09-03,1.77916857,7.72870588,2.93114082,0.0,,,0.0,2.7758493,5.38692127,,0.0,8.47053846,8.36003544
2015-09-04,4.29526951,3.74846197,2.57735655,0.0,,,0.0,1.20849026,6.72049159,,0.0,5.69642286,3.570548
2015-09-05,5.69795517,6.31473824,2.19545579,0.0,,,0.0,1.30663685,8.50554452,,0.0,3.84954348,3.82607039
2015-09-06,7.11735699,5.07228571,2.32248831,0.0,,,0.0,2.23239283,4.07189602,,0.0,4.11715,3.58741985
2015-09-07,6.64020576,10.91639259,2.21628729,0.0,,,0.0,1.29177677,4.59545994,,0.0,3.68093636,4.87299157
2015-09-08,7.830675,4.80470536,2.00727647,0.0,,,0.0,0.47473939,4.00682276,,0.5,2.23508382,3.08033947
2015-09-09,8.59809431,5.32132773,2.85931097,0.0,,,0.0,5.40876163,5.79017897,,0.0,3.27901351,4.15491318
2015-09-10,9.2575113,3.16531167,3.39015538,0.0,,,22.5119,8.47669925,4.29942031,,0.0,3.4013,3.24016386
2015-09-11,3.77511122,4.58067003,2.61422585,0.0,,,24.0,2.73004597,7.74174072,,0.0,2.87219211,2.63698429
2015-09-12,4.046545,7.13261571,1.51954381,0.0,,,24.0,6.85908788,7.8594998,,0.0,2.93498947,4.28065402
2015-09-13,0.76142541,4.39736359,1.72733015,0.0,,,24.0,2.10288288,10.02109261,,0.0,2.7531,2.76755982
2015-09-14,4.46536,4.11452406,1.80288026,0.0,,,6.5834,0.95724145,4.61809327,,0.0,6.2637,3.08378065
2015-09-15,2.22622424,3.15241994,1.60993146,0.0,,,2.30491176,1.36573884,5.84253881,,0.0,3.19903896,4.09363105
2015-09-16,3.5935186,2.70353819,1.7702723,0.0,,,0.95375625,1.56181043,5.90189632,,0.0,2.72332775,2.7687928
2015-09-17,3.09045476,3.08151852,1.55395315,0.0,,,1.06645429,1.89361235,9.2897585,,0.0,1.8397321,2.53458106
2015-09-18,7.88023731,2.45288065,1.40639447,0.0,,,1.67887667,3.2701721,9.6997973,,0.0,3.13753,2.70844977
2015-09-19,7.27233684,3.23610522,1.67368262,0.0,,,2.64354167,6.3559351,7.39462974,,0.0,2.61218095,5.66304024
