,[100] Wall Hours: Per Job,[101] Wall Hours: Per Job,[102] Wall Hours: Per Job,[103] Wall Hours: Per Job,[104] Wall Hours: Per Job,[105] Wall Hours: Per Job,[106] Wall Hours: Per Job,[107] Wall Hours: Per Job,[108] Wall Hours: Per Job,[109] Wall Hours: Per Job,[10] Wall Hours: Per Job,[110] Wall Hours: Per Job,[111] Wall Hours: Per Job,[112] Wall Hours: Per Job,[113] Wall Hours: Per Job,[114] Wall Hours: Per Job,[115] Wall Hours: Per Job,[116] Wall Hours: Per Job,[118] Wall Hours: Per Job,[119] Wall Hours: Per Job,[11] Wall Hours: Per Job,[120] Wall Hours: Per Job,[122] Wall Hours: Per Job,[123] Wall Hours: Per Job,[124] Wall Hours: Per Job,[125] Wall Hours: Per Job,[126] Wall Hours: Per Job,[127] Wall Hours: Per Job,[128] Wall Hours: Per Job,[129] Wall Hours: Per Job,[12] Wall Hours: Per Job,[130] Wall Hours: Per Job,[131] Wall Hours: Per Job,[132] Wall Hours: Per Job,[133] Wall Hours: Per Job,[134] Wall Hours: Per Job,[135] Wall Hours: Per Job,[136] Wall Hours: Per Job,[137] Wall Hours: Per Job,[138] Wall Hours: Per Job,[13] Wall Hours: Per Job,[140] Wall Hours: Per Job,[141] Wall Hours: Per Job,[142] Wall Hours: Per Job,[143] Wall Hours: Per Job,[144] Wall Hours: Per Job,[145] Wall Hours: Per Job,[148] Wall Hours: Per Job,[149] Wall Hours: Per Job,[14] Wall Hours: Per Job,[150] Wall Hours: Per Job,[151] Wall Hours: Per Job,[152] Wall Hours: Per Job,[153] Wall Hours: Per Job,[155] Wall Hours: Per Job,[156] Wall Hours: Per Job,[157] Wall Hours: Per Job,[158] Wall Hours: Per Job,[15] Wall Hours: Per Job,[160] Wall Hours: Per Job,[161] Wall Hours: Per Job,[162] Wall Hours: Per Job,[163] Wall Hours: Per Job,[165] Wall Hours: Per Job,[166] Wall Hours: Per Job,[167] Wall Hours: Per Job,[168] Wall Hours: Per Job,[16] Wall Hours: Per Job,[170] Wall Hours: Per Job,[172] Wall Hours: Per Job,[173] Wall Hours: Per Job,[175] Wall Hours: Per Job,[176] Wall Hours: Per Job,[178] Wall Hours: Per Job,[179] Wall Hours: Per Job,[17] Wall Hours: Per Job,[180] Wall Hours: Per Job,[181] Wall Hours: Per Job,[182] Wall Hours: Per Job,[183] Wall Hours: Per Job,[185] Wall Hours: Per Job,[186] Wall Hours: Per Job,[188] Wall Hours: Per Job,[189] Wall Hours: Per Job,[18] Wall Hours: Per Job,[190] Wall Hours: Per Job,[192] Wall Hours: Per Job,[193] Wall Hours: Per Job,[195] Wall Hours: Per Job,[196] Wall Hours: Per Job,[199] Wall Hours: Per Job,[19] Wall Hours: Per Job,[1] Wall Hours: Per Job,[200] Wall Hours: Per Job,[201] Wall Hours: Per Job,[203] Wall Hours: Per Job,[204] Wall Hours: Per Job,[205] Wall Hours: Per Job,[206] Wall Hours: Per Job,[207] Wall Hours: Per Job,[208] Wall Hours: Per Job,[209] Wall Hours: Per Job,[20] Wall Hours: Per Job,[210] Wall Hours: Per Job,[211] Wall Hours: Per Job,[212] Wall Hours: Per Job,[213] Wall Hours: Per Job,[214] Wall Hours: Per Job,[215] Wall Hours: Per Job,[216] Wall Hours: Per Job,[217] Wall Hours: Per Job,[218] Wall Hours: Per Job,[219] Wall Hours: Per Job,[21] Wall Hours: Per Job,[220] Wall Hours: Per Job,[221] Wall Hours: Per Job,[222] Wall Hours: Per Job,[223] Wall Hours: Per Job,[224] Wall Hours: Per Job,[225] Wall Hours: Per Job,[226] Wall Hours: Per Job,[227] Wall Hours: Per Job,[22] Wall Hours: Per Job,[230] Wall Hours: Per Job,[232] Wall Hours: Per Job,[233] Wall Hours: Per Job,[235] Wall Hours: Per Job,[236] Wall Hours: Per Job,[238] Wall Hours: Per Job,[239] Wall Hours: Per Job,[23] Wall Hours: Per Job,[240] Wall Hours: Per Job,[241] Wall Hours: Per Job,[243] Wall Hours: Per Job,[244] Wall Hours: Per Job,[245] Wall Hours: Per Job,[247] Wall Hours: Per Job,[248] Wall Hours: Per Job,[249] Wall Hours: Per Job,[24] Wall Hours: Per Job,[250] Wall Hours: Per Job,[251] Wall Hours: Per Job,[252] Wall Hours: Per Job,[253] Wall Hours: Per Job,[254] Wall Hours: Per Job,[255] Wall Hours: Per Job,[256] Wall Hours: Per Job,[25] Wall Hours: Per Job,[26] Wall Hours: Per Job,[27] Wall Hours: Per Job,[288] Wall Hours: Per Job,[28] Wall Hours: Per Job,[29] Wall Hours: Per Job,[2] Wall Hours: Per Job,[30] Wall Hours: Per Job,[31] Wall Hours: Per Job,[32] Wall Hours: Per Job,[33] Wall Hours: Per Job,[34] Wall Hours: Per Job,[35] Wall Hours: Per Job,[36] Wall Hours: Per Job,[37] Wall Hours: Per Job,[38] Wall Hours: Per Job,[390] Wall Hours: Per Job,[39] Wall Hours: Per Job,[3] Wall Hours: Per Job,[40] Wall Hours: Per Job,[41] Wall Hours: Per Job,[42] Wall Hours: Per Job,[43] Wall Hours: Per Job,[44] Wall Hours: Per Job,[45] Wall Hours: Per Job,[46] Wall Hours: Per Job,[47] Wall Hours: Per Job,[48] Wall Hours: Per Job,[49] Wall Hours: Per Job,[4] Wall Hours: Per Job,[50] Wall Hours: Per Job,[51] Wall Hours: Per Job,[52] Wall Hours: Per Job,[53] Wall Hours: Per Job,[54] Wall Hours: Per Job,[55] Wall Hours: Per Job,[56] Wall Hours: Per Job,[57] Wall Hours: Per Job,[58] Wall Hours: Per Job,[59] Wall Hours: Per Job,[5] Wall Hours: Per Job,[60] Wall Hours: Per Job,[61] Wall Hours: Per Job,[62] Wall Hours: Per Job,[63] Wall Hours: Per Job,[64] Wall Hours: Per Job,[65] Wall Hours: Per Job,[66] Wall Hours: Per Job,[67] Wall Hours: Per Job,[68] Wall Hours: Per Job,[69] Wall Hours: Per Job,[6] Wall Hours: Per Job,[70] Wall Hours: Per Job,[71] Wall Hours: Per Job,[72] Wall Hours: Per Job,[73] Wall Hours: Per Job,[74] Wall Hours: Per Job,[75] Wall Hours: Per Job,[76] Wall Hours: Per Job,[77] Wall Hours: Per Job,[78] Wall Hours: Per Job,[79] Wall Hours: Per Job,[7] Wall Hours: Per Job,[80] Wall Hours: Per Job,[81] Wall Hours: Per Job,[82] Wall Hours: Per Job,[83] Wall Hours: Per Job,[84] Wall Hours: Per Job,[85] Wall Hours: Per Job,[86] Wall Hours: Per Job,[87] Wall Hours: Per Job,[88] Wall Hours: Per Job,[89] Wall Hours: Per Job,[8] Wall Hours: Per Job,[90] Wall Hours: Per Job,[91] Wall Hours: Per Job,[92] Wall Hours: Per Job,[93] Wall Hours: Per Job,[94] Wall Hours: Per Job,[95] Wall Hours: Per Job,[96] Wall Hours: Per Job,[97] Wall Hours: Per Job,[98] Wall Hours: Per Job,[99] Wall Hours: Per Job,[9] Wall Hours: Per Job
2015-08-01,8.1336,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,8.26785175,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6978,4.46576923,0.0,7.92575714,0.0,0.0,17.8158,0.0,0.0,0.0,0.81717273,0.0,0.0,3.83576667,0.0,0.0,,,0.0,,,,14.8247,0.0,0.0,0.0,0.0,,0.0,,0.0,6.22041667,0.0,0.0,0.0,1.45046667,0.0,0.0,,0.0,7.796038,,0.0,0.0,0.0,,0.0,0.0,6.47769219,0.0,0.0,0.0,,0.0,0.0,0.0,,12.84888889,0.0,0.0,,0.0,0.0,0.0,7.6217,5.35190472,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,6.79428889,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.2531,0.0,,1.5367,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,7.85125,0.0,0.0,0.0,0.0,,0.0,0.05715,4.62655,16.08405,0.0,,9.20345,0.0,10.97099081,12.27024444,0.0,9.77544651,0.0,9.9847,0.0,24.0,0.0,12.0039,,0.0,4.95629636,5.39553333,0.0,0.0,1.8225,0.0,17.93,0.0,0.0,2.60602727,0.0,5.53807861,4.4537,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,14.81458919,0.0,0.0,0.0,0.0,11.44771364,0.0,0.0,0.0,0.0,,4.60018955,0.0,0.0,5.2956,0.0,0.0,3.2432,1.7775,0.0,0.0,0.0,0.0,0.89213333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1908,,7.34972246,0.7572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32020833
2015-08-02,0.0,0.0,0.0,0.04338,0.0,0.0,0.0,,0.0,0.0,11.03445672,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1419,4.72216957,0.0,6.44952222,0.0,0.0,24.0,0.0,0.0,0.7961,0.0,0.0,0.0,5.59728333,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,9.5025,0.0,0.0,0.0,1.52594,0.7583,0.0,,2.79585,10.43244455,,0.0,0.0,0.0,,0.0,0.0,1.54618095,0.0,0.0,0.0,,0.0,0.0,0.0,,16.281975,0.0,0.0,,0.0,0.0,0.0,16.3794,4.53658595,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,10.63542222,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,24.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1.1719,0.0,0.0,0.0,0.0,,0.0,2.29912,6.0861,14.9667,0.0,,18.23,0.0,4.99483743,15.83054,0.0,8.2548775,0.0,13.7886,0.0,10.2478,0.0,11.22483333,,0.0,5.08965758,12.33963333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4739,0.0,4.73297302,3.7275,0.0,0.0,0.0,0.0,0.0,11.8428,0.39723333,0.0,0.0,20.99965128,0.0,0.0,0.0,0.0,7.95641053,0.0,0.0,0.0,0.0,,7.59297794,0.0,0.0,24.0,0.0,0.0,2.4242,1.8526,0.0,0.0,0.0,9.07635,2.46394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.49905,8.6842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41356667
2015-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4.57665816,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5394,5.36546667,0.0,14.74135625,0.0,0.0,7.6446,0.0,0.0,0.0,0.9719,0.0,0.0,3.59034286,0.0,0.0,,,0.0,,,,2.8244,0.0,0.0,0.0,0.0,,0.0,,0.0,6.52222857,0.0,0.0,0.0,1.389525,0.0,0.0,,0.0,5.65172222,,0.0,0.0,0.0,,0.0,0.0,0.3703,0.0,0.0,0.0,,0.0,0.0,1.6883,,17.5319,0.0,0.74915,,0.0,0.0,0.0,0.0,2.86561091,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,12.38013684,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,20.7514,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.09678,0.0,0.0,0.0,0.0,,0.0,1.26762222,0.0,0.94655,0.0,,0.0,0.0,4.90163067,12.949925,0.0,10.14802619,0.0,2.0522,0.0,21.21,0.43656667,7.41358571,,0.0,5.19527909,2.95784286,0.0,0.0,0.0,0.0,3.0347,0.0,0.0,9.89628889,0.0,9.71823493,0.0,0.0,0.0,0.0,0.0,0.0,3.8028,1.53202857,0.0,0.0,9.07516944,0.0294,0.0,0.0,2.0044,7.20913,0.0,0.0,0.0,0.0,,8.21207447,0.0,0.0,18.7069,0.0,0.0,2.56735,3.8833,0.0,0.0,0.0,2.07557143,4.146875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.94749172,6.3233,0.0,0.0,0.0,0.0,0.0,7.5336,0.0,0.0,0.0,1.32615385
2015-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.79553673,0.0,,0.0,0.0,0.0,0.0,0.0,4.9547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335,0.9297,8.499375,0.0,9.561945,0.0,0.0,24.0,0.0,0.0,1.8353,0.0,0.0,0.0,20.0022,0.0,0.0,,,0.0,,,,7.24015,0.0,0.0,0.0,0.0,,0.0,,0.0,9.830625,0.0,0.0,0.0,0.969375,1.9011,0.0,,0.0,10.68822941,,0.0,0.0,0.0,,0.0,0.0,3.8911,0.0,0.0,0.0,,1.3756,0.0,0.3142,,13.72647143,0.0,0.0,,0.0,0.0,0.0,21.6231,4.75906512,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,12.43325714,,0.0,,0.0,0.0,,0.00146667,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.5028,0.0,,0.0,0.0,,,0.0,0.0,0.1466,0.0,0.0,0.0,0.0,,0.0,4.31625,18.9711,24.0,0.0,,0.0,0.0,5.62007606,9.6605,0.0,8.56569778,0.0,13.72572,0.0,19.9664,1.8094,12.03703333,,0.0,7.18351053,16.18916667,0.0,4.68305,17.0975,0.0,20.9711,0.0,0.0,6.18472727,0.0,8.54098083,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,19.56859474,0.1678,0.0,0.0,0.0786,11.291084,0.0,0.0,0.0,0.0,,8.49526774,0.0,0.0,0.0,0.0,0.0,1.6983,5.0086,0.0,0.0,0.0,2.3574,2.5803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.80097222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51376667
2015-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,7.60251379,0.0,,0.0,0.0,0.0,0.0,0.0,6.0346,0.0,2.9094,0.0,0.0,0.0,0.0,0.0,0.0,24.0,6.128075,0.0,7.03965769,0.0,0.0,14.9006,1.1283,0.0,0.0,0.0,0.0,0.0,3.62256,0.0,0.0,,,0.0,,,,4.385475,0.0,0.0,0.0,0.0,,0.0,,1.8461,4.36124,0.0,0.0,0.0,1.251175,0.0,0.0,,2.7958,7.2653193,,0.0,0.0,0.0,,0.0,0.0,3.0184875,0.0,0.0,0.0,,0.0,0.0,1.0039,,12.74778333,0.0,0.0,,0.0,0.0,0.0,2.3836,5.42460722,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,10.83115,,0.0,,0.0,0.0,,0.79935,0.0,0.0,0.0,4.0003,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.45,0.0,,,0.0,0.0,3.00245,0.0,0.0,0.0,0.0,,0.0,3.77596667,2.27795,23.05655,0.0,,12.7794,0.0,4.79263899,9.501,0.0,2.96196818,0.0,3.5322,0.0,3.298825,2.2936,7.33166667,,0.0,3.36296489,4.93421364,0.0,17.57515,0.0,0.0,0.0,0.0,0.0,4.06695,0.0,4.23705904,0.0,0.0,0.0,0.0,0.0,0.0,11.94305,12.7961,0.0,0.0,15.73890185,1.1394,0.0,0.0,3.02463333,5.12838333,0.0,0.0,0.0,0.0,,3.97999231,5.4753,0.0,0.0,0.0,0.0,2.1744,5.0042,0.0,0.0,0.0,0.0,4.84826667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7542,,5.15947094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25383056
2015-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.63251304,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5975,0.0,0.0,0.0,0.0,0.0,0.0,11.4133,5.86210833,0.0,13.82304167,0.0,0.0,2.2947,0.0,0.0,0.7822,0.0,0.0,0.0,4.28214286,0.0,0.0,,,0.0,,,,11.77526667,0.0,0.0,0.0,0.0,,0.0,,0.0,6.83765556,0.0,0.0,0.0,1.17943333,1.5071,0.0,,0.0,7.82745455,,0.0,0.0,0.0,,0.0,0.0,8.14204375,0.0,0.0,0.0,,0.0,0.0,0.0,,11.04661667,0.0,0.0,,0.0,0.0,0.0,20.4236,5.10689221,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,12.43415294,,0.0,,0.0,0.0,,0.36265,0.0,0.0,0.0,1.3003,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.00515,0.0,,0.0,0.0,,,0.0,0.0,12.34696667,0.0,0.0,0.0,0.0,,0.0,2.20612778,0.00485,0.0,0.0,,24.0,0.0,7.94014473,0.27345714,0.0,7.25237419,0.0,10.2433,0.0,17.3116,0.0,24.0,,0.0,3.07657188,7.38663333,0.0,9.0972,0.0,0.0,0.0,0.0,0.0,9.52018333,0.0,6.4279134,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,11.2053,0.0,0.0,4.21338222,0.0,0.0,0.0,2.7964,6.734425,0.0,0.0,0.0,0.0,,3.651325,0.0,0.0,0.0,0.0,0.0,0.0,3.59305,0.0,1.1375,0.0,0.0,3.45908571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2461,,5.02835563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64671
2015-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0069,0.0,4.32930175,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4833,0.0,0.0,0.0,0.0,0.0,0.0,1.2283,2.94913056,0.0,2.42171111,0.0,0.0,19.6203,0.0,0.0,0.0,0.0,0.0,0.0,0.8894,0.0,0.0,,,0.0,,,,14.974,0.0,0.0,0.0,0.0,,0.0,,0.0,6.96212,0.0,0.0,0.0,0.0,1.8547,0.0,,0.0,6.69824659,,0.0,0.0,0.0,,0.0,0.0,3.75024368,0.0,0.0,0.0,,0.0,0.0,2.32015,,20.36472,0.0,0.0,,0.0,0.0,0.0,3.5831,3.59084934,4.4386,0.0,0.0,,0.0,0.0,,0.0,0.0,13.75488333,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,2.017,1.3631,0.0,0.0,0.0,,2.0072,13.17735,0.0244,0.0,0.0,,11.2247,0.0,4.40479283,0.93994444,0.0,6.42094054,0.0,0.0,0.0,21.7564,2.23235,15.1378,,0.0,2.05814685,7.48565,0.0,5.235825,0.0,0.0,0.0,0.0,0.0,6.4582375,0.0,11.33062705,0.0025,0.0,0.0,0.0,0.0,0.0,0.8894,0.0,0.0,0.0,2.23180417,0.0,0.0,0.0,0.5881,5.81678824,0.0,0.0,0.0,0.0,,4.67305606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1719,3.1687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.97312222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.20722245
2015-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4.4498038,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3224,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.6346,0.0,8.6941,0.0,0.0,24.0,0.0,0.0,1.6906,0.0,0.0,0.0,23.1189,0.0,0.0,,,0.0,,,,0.7792,0.0,0.0,0.0,0.0,,0.0,,0.0,11.0214,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7.40669722,,0.0,0.0,0.0,,0.0,0.0,3.04797419,0.0,0.0,0.0,,0.0,0.0,2.0061,,16.94494,0.0,0.0,,0.0,0.0,0.0,1.3489,5.43726955,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,8.02958182,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0964,0.0,,0.0,0.0,,,0.0,0.0,0.0,3.5806,0.0,0.0,0.0,,0.0,9.82024286,1.024,22.285,0.0,,17.4972,0.0,5.6474914,0.55055,0.0,9.29215769,0.0,0.0,0.0,1.3303,0.0,1.6465,,0.0,2.98881638,1.3481625,0.0,11.78625,0.0,0.0,0.0,0.0,0.0,7.021825,0.0,8.96898631,0.9431,0.0,0.0,0.0,0.0,0.0,23.08875,0.0,0.0,0.0,12.68026667,0.0,0.0,0.0,0.0,18.37473333,0.0,0.0,0.0,0.0,,5.65061974,0.0,0.0,0.0,0.0,0.0,0.0,0.00931667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.37538333,0.0,0.0,0.0,0.0,6.565,0.0,0.1178,0.0,0.0,0.0,2.52338772
2015-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.8617,0.0,6.36521149,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7022,0.3533,0.0,0.0,0.0,0.0,0.0,11.4339,13.00036667,0.0,9.48772593,0.0,0.0,4.3819,0.0,0.0,0.8819,0.0,0.0,15.2892,23.2642,0.0,0.0,,,0.0,,,,13.4522,0.0,0.0,0.0,0.0,,0.0,,0.0,2.46778333,0.0,0.0,0.0,0.0,0.9183,0.0,,0.0,9.29091165,,0.0,0.0,0.0,,0.0,0.0,4.77758529,0.0,0.0,0.0,,0.0,0.0,0.0,,14.21574,0.0,0.0,,0.0,0.0,0.0,22.6522,6.37471223,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,11.01718333,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.6575,0.0,,0.0,0.0,,,0.0,0.0,3.7032,0.0,0.0,0.0,0.0,,0.0,3.21083636,0.0,7.1917,0.0,,10.02243333,0.0,5.23942991,6.94264167,0.0,3.38021714,0.0,0.0,0.0,6.73545,0.4242,24.0,,0.0,4.89599259,4.36349231,0.0,0.4334,0.0,0.0,0.0,0.0,0.0,15.52979474,0.0,5.33022188,0.0,0.0,0.0,0.0,0.0,0.0,23.12415,0.0,0.0,0.0,9.26808667,7.465,0.0,0.0,4.59345,6.13903529,0.0,0.0,0.0,0.0,,11.49713617,0.0,0.0,0.0,0.0,0.0,0.0,3.66448333,0.0,0.0,0.0,4.0961,2.6157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.59974335,0.0,0.0,0.0,0.0,18.4428,0.0,1.9817,0.0,0.0,0.0,5.02568824
2015-08-10,0.05345,0.0,0.0,0.6617,0.2181,0.0,0.0,,0.0,0.0,7.67153649,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7083,0.3044,0.0,0.0,0.0,0.0,0.0,20.2108,19.85186667,0.0,9.11173667,0.0,0.0,0.0,0.0,0.0,0.7294,0.0,0.0,5.3358,24.0,0.0,0.0,,,0.0,,,,11.56066667,0.0,0.0,0.9631,0.0,,0.0,,1.29045,8.8504,0.0,0.0,0.0,0.0,1.2322,0.0,,0.0,6.05709178,,0.0,0.0,0.0,,0.0,0.0,6.3551175,0.0,0.0,0.0,,0.0,0.0,0.0,,14.90104444,0.0,8.7153,,0.0,0.0,0.0,0.0,4.77741782,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,12.32464,,0.0,,0.0,0.0,,0.0,6.34795,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.78515,0.0,,0.0,0.0,,,0.0,0.0,5.48002,0.0,0.0,0.0,0.0,,0.0,5.34064444,0.0,0.0,0.7047,,4.61353333,0.0,1.85548526,24.0,0.0,3.79376216,1.0,0.0,0.0,24.0,0.0,10.3657,,0.0,4.0942119,2.50871333,0.63445,0.127225,0.0,0.0,0.0,0.0,0.0,9.73449375,0.0,6.2361548,0.0,0.0,0.0,0.0,0.5919,0.0,7.12165,0.0,0.0,0.0,3.32135517,5.25888,0.0,0.0308,0.0,9.7531,0.0,0.0,0.0,0.0,,4.60220098,0.0,0.0,0.0,0.0,0.0,0.0,1.87372,0.0,0.0,0.0,0.0,2.64676667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.55304157,0.0,0.0,0.0,0.0,0.0,0.0,2.9839,0.0,0.0,0.0,3.58087692
