title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[10] Number of Jobs Ended","[8] Number of Jobs Ended","[12] Number of Jobs Ended","[3] Number of Jobs Ended","[6] Number of Jobs Ended","[16] Number of Jobs Ended","[20] Number of Jobs Ended","[5] Number of Jobs Ended","[32] Number of Jobs Ended","[13] Number of Jobs Ended","[30] Number of Jobs Ended","[72] Number of Jobs Ended","[24] Number of Jobs Ended","[40] Number of Jobs Ended","[64] Number of Jobs Ended","[60] Number of Jobs Ended","[7] Number of Jobs Ended","[25] Number of Jobs Ended","[9] Number of Jobs Ended","[43] Number of Jobs Ended","[50] Number of Jobs Ended","[70] Number of Jobs Ended","[45] Number of Jobs Ended","[22] Number of Jobs Ended","[28] Number of Jobs Ended","[15] Number of Jobs Ended","[33] Number of Jobs Ended","[48] Number of Jobs Ended","[62] Number of Jobs Ended","[36] Number of Jobs Ended","[14] Number of Jobs Ended","[58] Number of Jobs Ended","[11] Number of Jobs Ended","[34] Number of Jobs Ended","[53] Number of Jobs Ended","[21] Number of Jobs Ended","[29] Number of Jobs Ended","[23] Number of Jobs Ended","[41] Number of Jobs Ended","[57] Number of Jobs Ended","[61] Number of Jobs Ended","[65] Number of Jobs Ended","[49] Number of Jobs Ended","[69] Number of Jobs Ended","[37] Number of Jobs Ended","[31] Number of Jobs Ended","[17] Number of Jobs Ended","[54] Number of Jobs Ended","[59] Number of Jobs Ended","[27] Number of Jobs Ended","[56] Number of Jobs Ended","[18] Number of Jobs Ended","[52] Number of Jobs Ended","[55] Number of Jobs Ended","[68] Number of Jobs Ended","[67] Number of Jobs Ended","[19] Number of Jobs Ended","[42] Number of Jobs Ended","[44] Number of Jobs Ended","[39] Number of Jobs Ended","[35] Number of Jobs Ended","[63] Number of Jobs Ended","[47] Number of Jobs Ended","[66] Number of Jobs Ended","[26] Number of Jobs Ended","[46] Number of Jobs Ended","[51] Number of Jobs Ended","[71] Number of Jobs Ended","[38] Number of Jobs Ended"
2015-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-14,364,228,43,4,2,0,12,9,41,6,3,1,0,1,0,0,0,1,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-15,797,404,142,20,18,3,17,4,45,17,14,11,0,7,0,5,2,0,4,0,2,0,1,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-16,603,106,67,13,18,1,32,30,21,3,12,3,0,2,9,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-17,507,181,81,20,38,2,25,17,12,16,1,0,0,2,1,0,0,0,5,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-18,718,314,154,41,35,1,44,19,9,36,11,1,0,0,9,0,0,0,5,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-19,1146,344,37,26,25,3,43,13,13,13,16,0,0,0,1,2,0,0,4,0,1,0,8,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-20,1746,374,93,18,18,3,34,5,3,12,5,0,0,1,9,2,0,0,2,0,0,0,1,16,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-21,484,305,93,16,17,12,26,6,18,10,3,0,0,4,0,3,3,1,13,0,0,0,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-22,564,272,58,14,24,3,15,1,32,5,0,0,0,2,0,5,4,0,6,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-23,301,83,58,33,30,9,34,3,6,0,2,0,0,5,0,6,1,1,6,1,0,0,1,6,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-24,218,89,33,76,51,9,20,0,2,0,3,0,0,3,0,3,1,0,7,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-25,376,205,37,42,40,13,22,0,1,0,1,0,0,11,0,3,0,0,12,0,0,0,1,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-26,338,224,65,52,15,16,38,0,1,10,4,0,0,7,1,2,8,0,12,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-27,567,188,67,48,7,1,53,1,44,17,5,0,0,12,17,4,1,2,5,0,2,0,1,0,1,0,1,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-28,652,348,44,32,7,2,55,2,8,11,4,0,0,6,46,1,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-29,640,264,63,31,25,4,38,3,7,2,3,1,0,4,10,1,0,0,4,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-30,373,189,40,12,8,6,20,0,2,0,2,0,0,4,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-31,548,142,24,35,20,13,12,1,3,1,4,4,0,3,16,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015-06-01,733,231,81,15,21,13,29,0,4,7,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
