title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2016-02-01,2016-07-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[10] Number of Jobs Ended","[4] Number of Jobs Ended","[8] Number of Jobs Ended","[3] Number of Jobs Ended","[6] Number of Jobs Ended","[12] Number of Jobs Ended","[16] Number of Jobs Ended","[5] Number of Jobs Ended","[22] Number of Jobs Ended","[64] Number of Jobs Ended","[24] Number of Jobs Ended","[20] Number of Jobs Ended","[32] Number of Jobs Ended","[9] Number of Jobs Ended","[60] Number of Jobs Ended","[25] Number of Jobs Ended","[15] Number of Jobs Ended","[7] Number of Jobs Ended","[18] Number of Jobs Ended","[72] Number of Jobs Ended","[30] Number of Jobs Ended","[11] Number of Jobs Ended","[40] Number of Jobs Ended","[48] Number of Jobs Ended","[36] Number of Jobs Ended","[50] Number of Jobs Ended","[43] Number of Jobs Ended","[14] Number of Jobs Ended","[13] Number of Jobs Ended","[17] Number of Jobs Ended","[42] Number of Jobs Ended","[70] Number of Jobs Ended","[21] Number of Jobs Ended","[62] Number of Jobs Ended","[34] Number of Jobs Ended","[35] Number of Jobs Ended","[45] Number of Jobs Ended","[26] Number of Jobs Ended","[54] Number of Jobs Ended","[28] Number of Jobs Ended","[38] Number of Jobs Ended","[56] Number of Jobs Ended","[46] Number of Jobs Ended","[33] Number of Jobs Ended","[27] Number of Jobs Ended","[19] Number of Jobs Ended","[31] Number of Jobs Ended","[65] Number of Jobs Ended","[23] Number of Jobs Ended","[41] Number of Jobs Ended","[44] Number of Jobs Ended","[52] Number of Jobs Ended","[53] Number of Jobs Ended","[55] Number of Jobs Ended","[49] Number of Jobs Ended","[63] Number of Jobs Ended","[37] Number of Jobs Ended","[39] Number of Jobs Ended","[61] Number of Jobs Ended","[29] Number of Jobs Ended","[47] Number of Jobs Ended","[67] Number of Jobs Ended","[68] Number of Jobs Ended","[66] Number of Jobs Ended","[57] Number of Jobs Ended","[58] Number of Jobs Ended","[59] Number of Jobs Ended"
2016-02-01,1185,352,11,114,125,5,19,24,22,2,0,0,4,14,0,2,0,8,1,0,1,11,0,2,9,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-02,2157,265,14,37,55,12,6,21,19,3,4,1,4,6,1,4,0,20,1,0,0,2,0,0,5,0,0,0,0,1,0,0,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2016-02-03,2186,938,62,75,21,24,9,10,20,8,1,0,2,6,0,22,0,6,2,3,2,7,1,1,4,0,1,3,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-04,6698,750,71,40,55,10,20,72,17,23,0,2,2,6,0,36,0,0,10,1,0,2,0,0,9,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-05,1832,1280,76,59,33,24,19,20,10,14,8,0,3,4,1,7,0,0,28,14,1,12,0,1,9,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-06,1836,118,21,29,23,12,14,10,3,8,12,0,0,4,0,11,0,0,9,15,1,5,0,0,0,0,0,3,18,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-07,520,147,13,45,7,9,22,14,5,1,2,0,2,24,0,1,0,0,11,6,0,7,0,1,4,2,0,1,8,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-08,195,133,16,78,13,4,10,1,2,1,0,0,0,3,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-09,241,59,2,34,2,4,3,7,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-10,1277,310,12,28,37,18,9,13,3,25,8,0,1,5,2,1,0,25,1,3,4,13,4,10,11,1,2,2,10,2,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
