title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2012-08-01,2013-01-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[3] Number of Jobs Ended","[16] Number of Jobs Ended","[32] Number of Jobs Ended","[64] Number of Jobs Ended","[8] Number of Jobs Ended","[10] Number of Jobs Ended","[6] Number of Jobs Ended","[12] Number of Jobs Ended","[25] Number of Jobs Ended","[9] Number of Jobs Ended","[20] Number of Jobs Ended","[38] Number of Jobs Ended","[5] Number of Jobs Ended","[35] Number of Jobs Ended","[36] Number of Jobs Ended","[24] Number of Jobs Ended","[28] Number of Jobs Ended","[15] Number of Jobs Ended","[128] Number of Jobs Ended","[18] Number of Jobs Ended","[34] Number of Jobs Ended","[50] Number of Jobs Ended","[7] Number of Jobs Ended","[13] Number of Jobs Ended","[45] Number of Jobs Ended","[40] Number of Jobs Ended","[14] Number of Jobs Ended","[42] Number of Jobs Ended","[52] Number of Jobs Ended","[11] Number of Jobs Ended","[30] Number of Jobs Ended","[29] Number of Jobs Ended","[55] Number of Jobs Ended","[17] Number of Jobs Ended","[48] Number of Jobs Ended","[21] Number of Jobs Ended","[100] Number of Jobs Ended","[27] Number of Jobs Ended","[54] Number of Jobs Ended","[60] Number of Jobs Ended","[63] Number of Jobs Ended","[80] Number of Jobs Ended","[22] Number of Jobs Ended","[39] Number of Jobs Ended","[43] Number of Jobs Ended","[68] Number of Jobs Ended","[19] Number of Jobs Ended","[23] Number of Jobs Ended","[26] Number of Jobs Ended","[31] Number of Jobs Ended","[33] Number of Jobs Ended","[37] Number of Jobs Ended","[41] Number of Jobs Ended","[44] Number of Jobs Ended","[46] Number of Jobs Ended","[47] Number of Jobs Ended","[49] Number of Jobs Ended","[51] Number of Jobs Ended","[53] Number of Jobs Ended","[56] Number of Jobs Ended","[57] Number of Jobs Ended","[58] Number of Jobs Ended","[59] Number of Jobs Ended","[61] Number of Jobs Ended","[62] Number of Jobs Ended"
2012-08-01,1102,18,9,52,7,2,1,4,2,0,1,1,0,1,1,0,1,1,3,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2012-08-02,368,34,13,379,6,3,0,7,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-03,369,26,14,88,17,3,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-04,300,8,7,4,9,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-05,274,23,0,2,5,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-06,273,7,4,5,3,12,0,5,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-07,507,50,11,26,5,1,0,2,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-08,1690,55,12,27,12,2,1,11,0,0,0,0,3,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-09,1612,38,30,43,8,1,2,3,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-10,1251,54,5,21,7,0,4,2,3,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
