title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2013-02-01,2013-07-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[5] Number of Jobs Ended","[64] Number of Jobs Ended","[16] Number of Jobs Ended","[8] Number of Jobs Ended","[3] Number of Jobs Ended","[32] Number of Jobs Ended","[9] Number of Jobs Ended","[12] Number of Jobs Ended","[6] Number of Jobs Ended","[25] Number of Jobs Ended","[10] Number of Jobs Ended","[11] Number of Jobs Ended","[35] Number of Jobs Ended","[20] Number of Jobs Ended","[40] Number of Jobs Ended","[18] Number of Jobs Ended","[128] Number of Jobs Ended","[15] Number of Jobs Ended","[96] Number of Jobs Ended","[24] Number of Jobs Ended","[48] Number of Jobs Ended","[19] Number of Jobs Ended","[21] Number of Jobs Ended","[23] Number of Jobs Ended","[36] Number of Jobs Ended","[41] Number of Jobs Ended","[14] Number of Jobs Ended","[98] Number of Jobs Ended","[7] Number of Jobs Ended","[30] Number of Jobs Ended","[31] Number of Jobs Ended","[38] Number of Jobs Ended","[45] Number of Jobs Ended","[60] Number of Jobs Ended","[100] Number of Jobs Ended","[91] Number of Jobs Ended","[33] Number of Jobs Ended","[22] Number of Jobs Ended","[106] Number of Jobs Ended","[108] Number of Jobs Ended","[13] Number of Jobs Ended","[69] Number of Jobs Ended","[93] Number of Jobs Ended","[44] Number of Jobs Ended","[28] Number of Jobs Ended","[57] Number of Jobs Ended","[62] Number of Jobs Ended","[110] Number of Jobs Ended","[112] Number of Jobs Ended","[26] Number of Jobs Ended","[43] Number of Jobs Ended","[72] Number of Jobs Ended","[104] Number of Jobs Ended"
2013-02-01,367,19,9,0,9,1,2,3,20,2,1,3,15,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-02,318,8,5,0,2,2,2,1,6,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-03,261,0,10,0,14,4,0,2,14,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,665,21,2,10,22,2,0,4,10,3,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-05,947,39,13,0,18,4,0,8,3,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-06,909,44,62,1,10,2,2,13,3,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-07,499,51,68,0,13,3,1,2,5,5,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-02-08,459,37,24,0,21,5,7,2,9,4,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-02-09,335,14,7,3,20,6,1,8,1,1,2,5,0,3,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-10,191,0,20,0,26,4,0,0,6,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
