title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2014-02-01,2014-07-31
---------
Day,"[1] Number of Jobs Ended","[4] Number of Jobs Ended","[2] Number of Jobs Ended","[8] Number of Jobs Ended","[16] Number of Jobs Ended","[3] Number of Jobs Ended","[32] Number of Jobs Ended","[6] Number of Jobs Ended","[5] Number of Jobs Ended","[64] Number of Jobs Ended","[20] Number of Jobs Ended","[12] Number of Jobs Ended","[10] Number of Jobs Ended","[9] Number of Jobs Ended","[60] Number of Jobs Ended","[24] Number of Jobs Ended","[38] Number of Jobs Ended","[18] Number of Jobs Ended","[19] Number of Jobs Ended","[15] Number of Jobs Ended","[43] Number of Jobs Ended","[75] Number of Jobs Ended","[7] Number of Jobs Ended","[30] Number of Jobs Ended","[128] Number of Jobs Ended","[80] Number of Jobs Ended","[14] Number of Jobs Ended","[17] Number of Jobs Ended","[28] Number of Jobs Ended","[26] Number of Jobs Ended","[63] Number of Jobs Ended","[48] Number of Jobs Ended","[37] Number of Jobs Ended","[40] Number of Jobs Ended","[50] Number of Jobs Ended","[96] Number of Jobs Ended","[11] Number of Jobs Ended","[22] Number of Jobs Ended","[25] Number of Jobs Ended","[45] Number of Jobs Ended","[35] Number of Jobs Ended","[102] Number of Jobs Ended","[23] Number of Jobs Ended","[81] Number of Jobs Ended","[13] Number of Jobs Ended","[21] Number of Jobs Ended","[74] Number of Jobs Ended","[78] Number of Jobs Ended","[33] Number of Jobs Ended","[49] Number of Jobs Ended","[72] Number of Jobs Ended","[120] Number of Jobs Ended","[36] Number of Jobs Ended","[56] Number of Jobs Ended","[100] Number of Jobs Ended","[52] Number of Jobs Ended","[73] Number of Jobs Ended","[90] Number of Jobs Ended","[27] Number of Jobs Ended","[31] Number of Jobs Ended","[42] Number of Jobs Ended","[44] Number of Jobs Ended","[58] Number of Jobs Ended","[61] Number of Jobs Ended","[71] Number of Jobs Ended","[84] Number of Jobs Ended"
2014-02-01,377,57,9,21,0,2,2,0,0,2,0,1,2,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,494,18,62,0,1,1,1,1,0,3,2,5,2,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,754,47,32,11,6,5,1,2,0,4,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-04,1036,60,38,12,6,10,2,0,0,6,2,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,1705,104,64,18,2,8,0,3,0,6,1,3,5,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-06,2069,44,32,9,9,2,4,0,0,13,2,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-07,2454,47,91,65,3,4,10,2,0,9,1,1,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,451,66,50,9,8,7,19,1,0,5,0,5,2,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,569,140,21,12,6,10,0,0,3,1,2,5,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-10,515,20,49,13,1,2,3,0,0,1,0,6,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-11,1417,16,33,25,9,0,6,0,0,8,1,6,2,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-12,755,43,57,43,4,0,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
