title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2014-08-01,2015-01-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[8] Number of Jobs Ended","[3] Number of Jobs Ended","[32] Number of Jobs Ended","[16] Number of Jobs Ended","[5] Number of Jobs Ended","[6] Number of Jobs Ended","[17] Number of Jobs Ended","[64] Number of Jobs Ended","[12] Number of Jobs Ended","[7] Number of Jobs Ended","[30] Number of Jobs Ended","[28] Number of Jobs Ended","[10] Number of Jobs Ended","[20] Number of Jobs Ended","[9] Number of Jobs Ended","[40] Number of Jobs Ended","[128] Number of Jobs Ended","[14] Number of Jobs Ended","[19] Number of Jobs Ended","[60] Number of Jobs Ended","[25] Number of Jobs Ended","[22] Number of Jobs Ended","[24] Number of Jobs Ended","[13] Number of Jobs Ended","[11] Number of Jobs Ended","[43] Number of Jobs Ended","[96] Number of Jobs Ended","[42] Number of Jobs Ended","[26] Number of Jobs Ended","[50] Number of Jobs Ended","[18] Number of Jobs Ended","[36] Number of Jobs Ended","[38] Number of Jobs Ended","[48] Number of Jobs Ended","[44] Number of Jobs Ended","[33] Number of Jobs Ended","[15] Number of Jobs Ended","[49] Number of Jobs Ended","[52] Number of Jobs Ended","[94] Number of Jobs Ended","[256] Number of Jobs Ended","[27] Number of Jobs Ended","[31] Number of Jobs Ended","[34] Number of Jobs Ended","[74] Number of Jobs Ended","[126] Number of Jobs Ended","[41] Number of Jobs Ended","[46] Number of Jobs Ended","[100] Number of Jobs Ended","[39] Number of Jobs Ended","[54] Number of Jobs Ended","[55] Number of Jobs Ended","[86] Number of Jobs Ended","[93] Number of Jobs Ended","[29] Number of Jobs Ended","[35] Number of Jobs Ended","[51] Number of Jobs Ended","[53] Number of Jobs Ended","[56] Number of Jobs Ended","[65] Number of Jobs Ended","[68] Number of Jobs Ended","[76] Number of Jobs Ended","[103] Number of Jobs Ended","[112] Number of Jobs Ended"
2014-08-01,1626,30,31,64,4,0,7,4,6,3,3,2,0,0,0,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-02,421,40,42,34,1,0,1,16,0,0,2,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-03,429,40,38,25,9,0,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-04,652,78,43,65,7,0,4,11,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-05,1252,68,54,21,34,0,3,3,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-06,1332,89,57,75,4,0,0,10,3,0,0,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-07,1663,56,56,110,5,1,9,2,5,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-08,1021,75,52,36,23,2,4,0,4,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-09,597,56,60,36,1,0,13,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-10,328,76,59,60,10,0,10,0,3,8,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
