title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[3] Number of Jobs Ended","[8] Number of Jobs Ended","[16] Number of Jobs Ended","[6] Number of Jobs Ended","[64] Number of Jobs Ended","[19] Number of Jobs Ended","[32] Number of Jobs Ended","[5] Number of Jobs Ended","[20] Number of Jobs Ended","[10] Number of Jobs Ended","[25] Number of Jobs Ended","[18] Number of Jobs Ended","[7] Number of Jobs Ended","[12] Number of Jobs Ended","[40] Number of Jobs Ended","[9] Number of Jobs Ended","[11] Number of Jobs Ended","[17] Number of Jobs Ended","[13] Number of Jobs Ended","[50] Number of Jobs Ended","[30] Number of Jobs Ended","[60] Number of Jobs Ended","[35] Number of Jobs Ended","[45] Number of Jobs Ended","[24] Number of Jobs Ended","[21] Number of Jobs Ended","[28] Number of Jobs Ended","[15] Number of Jobs Ended","[100] Number of Jobs Ended","[48] Number of Jobs Ended","[128] Number of Jobs Ended","[14] Number of Jobs Ended","[34] Number of Jobs Ended","[33] Number of Jobs Ended","[22] Number of Jobs Ended","[63] Number of Jobs Ended","[53] Number of Jobs Ended","[36] Number of Jobs Ended","[42] Number of Jobs Ended","[43] Number of Jobs Ended","[93] Number of Jobs Ended","[54] Number of Jobs Ended","[55] Number of Jobs Ended","[96] Number of Jobs Ended","[113] Number of Jobs Ended","[23] Number of Jobs Ended","[26] Number of Jobs Ended","[31] Number of Jobs Ended","[41] Number of Jobs Ended","[68] Number of Jobs Ended","[27] Number of Jobs Ended","[37] Number of Jobs Ended","[44] Number of Jobs Ended","[29] Number of Jobs Ended","[69] Number of Jobs Ended","[88] Number of Jobs Ended","[38] Number of Jobs Ended","[46] Number of Jobs Ended","[51] Number of Jobs Ended","[52] Number of Jobs Ended","[59] Number of Jobs Ended","[61] Number of Jobs Ended","[65] Number of Jobs Ended","[70] Number of Jobs Ended","[74] Number of Jobs Ended","[79] Number of Jobs Ended","[80] Number of Jobs Ended","[81] Number of Jobs Ended","[85] Number of Jobs Ended","[87] Number of Jobs Ended","[90] Number of Jobs Ended","[118] Number of Jobs Ended"
2015-02-01,1628,38,50,12,39,7,8,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,1759,31,52,4,44,5,0,8,0,12,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03,846,39,65,7,45,7,9,1,0,1,10,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04,844,24,49,5,41,11,3,8,0,0,3,0,2,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015-02-05,1061,47,46,0,51,7,2,2,0,1,6,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06,958,34,30,11,55,7,3,1,0,1,10,0,1,0,1,0,0,0,0,1,0,0,3,0,0,0,1,0,0,2,0,0,1,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2015-02-07,1276,17,35,13,42,13,1,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-08,780,38,32,3,27,11,12,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2015-02-09,1537,41,65,17,32,6,19,3,0,3,3,0,2,0,3,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2015-02-10,2608,65,58,8,15,4,1,1,0,2,6,11,9,0,3,0,4,0,0,1,0,0,0,0,0,1,1,0,0,0,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-11,1239,92,77,8,23,8,15,4,0,4,5,3,6,0,3,0,1,10,0,0,0,0,3,10,0,0,6,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-12,1266,80,83,7,25,28,10,5,0,13,5,5,3,0,2,0,1,3,0,0,0,0,10,0,0,1,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-13,989,124,66,7,25,4,6,4,0,7,5,4,2,2,2,0,0,0,0,0,0,0,8,2,0,3,0,0,0,0,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-14,538,36,54,1,22,17,1,8,0,0,1,6,0,2,1,1,0,3,0,0,0,0,3,3,3,8,3,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-15,956,40,60,2,18,14,6,6,1,7,1,14,1,10,0,0,0,6,0,0,0,0,7,7,4,7,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-16,1285,102,73,4,23,13,6,8,2,0,0,8,4,7,6,0,0,6,0,0,0,0,7,6,7,6,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-17,1133,147,132,5,14,6,11,0,0,2,6,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-18,1550,244,116,3,29,7,3,4,111,4,6,0,0,0,1,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-19,1313,379,106,12,39,33,11,3,0,3,2,25,2,24,2,0,0,25,1,0,0,0,24,27,26,25,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-20,755,318,73,5,19,16,8,4,0,4,4,9,0,11,0,0,0,6,0,0,0,0,7,7,7,5,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-21,612,147,70,2,14,17,7,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-22,770,329,105,0,10,5,5,3,0,4,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-02-23,1039,67,80,2,21,22,14,19,0,16,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-24,1225,59,58,3,15,5,11,1,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-25,1245,55,30,1,14,5,14,0,0,2,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-26,1705,46,20,4,33,8,10,5,0,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
