title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2015-08-01,2016-01-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[8] Number of Jobs Ended","[3] Number of Jobs Ended","[16] Number of Jobs Ended","[6] Number of Jobs Ended","[10] Number of Jobs Ended","[32] Number of Jobs Ended","[64] Number of Jobs Ended","[5] Number of Jobs Ended","[12] Number of Jobs Ended","[9] Number of Jobs Ended","[17] Number of Jobs Ended","[15] Number of Jobs Ended","[20] Number of Jobs Ended","[18] Number of Jobs Ended","[21] Number of Jobs Ended","[100] Number of Jobs Ended","[128] Number of Jobs Ended","[19] Number of Jobs Ended","[33] Number of Jobs Ended","[24] Number of Jobs Ended","[40] Number of Jobs Ended","[48] Number of Jobs Ended","[60] Number of Jobs Ended","[96] Number of Jobs Ended","[28] Number of Jobs Ended","[56] Number of Jobs Ended","[7] Number of Jobs Ended","[30] Number of Jobs Ended","[59] Number of Jobs Ended","[11] Number of Jobs Ended","[26] Number of Jobs Ended","[43] Number of Jobs Ended","[22] Number of Jobs Ended","[36] Number of Jobs Ended","[25] Number of Jobs Ended","[50] Number of Jobs Ended","[52] Number of Jobs Ended","[29] Number of Jobs Ended","[38] Number of Jobs Ended","[45] Number of Jobs Ended","[57] Number of Jobs Ended","[34] Number of Jobs Ended","[13] Number of Jobs Ended","[47] Number of Jobs Ended","[14] Number of Jobs Ended","[27] Number of Jobs Ended","[126] Number of Jobs Ended","[23] Number of Jobs Ended","[35] Number of Jobs Ended","[55] Number of Jobs Ended","[62] Number of Jobs Ended","[63] Number of Jobs Ended","[65] Number of Jobs Ended","[99] Number of Jobs Ended","[114] Number of Jobs Ended","[120] Number of Jobs Ended"
2015-08-01,437,16,16,0,2,0,6,0,5,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,376,18,4,3,10,7,3,1,11,6,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,652,30,21,22,19,13,1,0,3,5,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,617,58,64,17,6,5,2,0,1,6,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,668,22,30,8,6,2,0,0,4,6,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,522,10,33,10,10,2,4,0,17,8,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,366,7,22,0,14,2,1,0,5,5,2,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-08-08,268,37,54,16,35,10,1,1,10,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,344,74,80,11,64,6,0,1,4,6,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,674,34,96,12,82,4,0,0,1,3,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,1050,55,96,8,61,3,0,0,7,2,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-12,938,63,98,13,41,4,0,1,2,3,9,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
