title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2014-02-01,2014-07-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[16] Number of Jobs Ended","[4] Number of Jobs Ended","[5] Number of Jobs Ended","[8] Number of Jobs Ended","[64] Number of Jobs Ended","[3] Number of Jobs Ended","[9] Number of Jobs Ended","[6] Number of Jobs Ended","[32] Number of Jobs Ended","[7] Number of Jobs Ended","[10] Number of Jobs Ended","[24] Number of Jobs Ended","[48] Number of Jobs Ended","[18] Number of Jobs Ended","[30] Number of Jobs Ended","[12] Number of Jobs Ended","[17] Number of Jobs Ended","[37] Number of Jobs Ended","[256] Number of Jobs Ended","[128] Number of Jobs Ended","[100] Number of Jobs Ended","[13] Number of Jobs Ended","[20] Number of Jobs Ended","[25] Number of Jobs Ended","[15] Number of Jobs Ended","[40] Number of Jobs Ended","[74] Number of Jobs Ended","[80] Number of Jobs Ended","[11] Number of Jobs Ended","[14] Number of Jobs Ended","[36] Number of Jobs Ended","[82] Number of Jobs Ended","[27] Number of Jobs Ended","[50] Number of Jobs Ended","[181] Number of Jobs Ended","[244] Number of Jobs Ended","[60] Number of Jobs Ended","[157] Number of Jobs Ended","[1024] Number of Jobs Ended","[192] Number of Jobs Ended","[512] Number of Jobs Ended","[240] Number of Jobs Ended","[19] Number of Jobs Ended","[21] Number of Jobs Ended","[125] Number of Jobs Ended","[216] Number of Jobs Ended","[28] Number of Jobs Ended","[62] Number of Jobs Ended","[45] Number of Jobs Ended","[63] Number of Jobs Ended","[250] Number of Jobs Ended","[31] Number of Jobs Ended","[34] Number of Jobs Ended","[33] Number of Jobs Ended","[144] Number of Jobs Ended","[57] Number of Jobs Ended","[38] Number of Jobs Ended","[26] Number of Jobs Ended","[72] Number of Jobs Ended","[96] Number of Jobs Ended","[22] Number of Jobs Ended","[23] Number of Jobs Ended","[135] Number of Jobs Ended","[81] Number of Jobs Ended","[120] Number of Jobs Ended","[122] Number of Jobs Ended","[127] Number of Jobs Ended","[109] Number of Jobs Ended","[252] Number of Jobs Ended","[160] Number of Jobs Ended","[77] Number of Jobs Ended","[108] Number of Jobs Ended","[148] Number of Jobs Ended","[29] Number of Jobs Ended","[75] Number of Jobs Ended","[35] Number of Jobs Ended","[43] Number of Jobs Ended","[180] Number of Jobs Ended","[68] Number of Jobs Ended","[92] Number of Jobs Ended","[200] Number of Jobs Ended","[183] Number of Jobs Ended","[46] Number of Jobs Ended","[61] Number of Jobs Ended","[84] Number of Jobs Ended","[54] Number of Jobs Ended","[56] Number of Jobs Ended","[90] Number of Jobs Ended","[65] Number of Jobs Ended","[44] Number of Jobs Ended","[42] Number of Jobs Ended","[110] Number of Jobs Ended","[119] Number of Jobs Ended","[121] Number of Jobs Ended","[150] Number of Jobs Ended","[140] Number of Jobs Ended","[220] Number of Jobs Ended","[241] Number of Jobs Ended","[49] Number of Jobs Ended","[70] Number of Jobs Ended","[196] Number of Jobs Ended","[41] Number of Jobs Ended","[85] Number of Jobs Ended","[98] Number of Jobs Ended","[500] Number of Jobs Ended","[47] Number of Jobs Ended","[162] Number of Jobs Ended","[224] Number of Jobs Ended","[52] Number of Jobs Ended","[168] Number of Jobs Ended","[768] Number of Jobs Ended","[102] Number of Jobs Ended","[219] Number of Jobs Ended","[225] Number of Jobs Ended","[2048] Number of Jobs Ended","[55] Number of Jobs Ended","[66] Number of Jobs Ended","[111] Number of Jobs Ended","[129] Number of Jobs Ended","[182] Number of Jobs Ended","[576] Number of Jobs Ended","[39] Number of Jobs Ended","[132] Number of Jobs Ended","[185] Number of Jobs Ended","[361] Number of Jobs Ended","[625] Number of Jobs Ended","[864] Number of Jobs Ended","[138] Number of Jobs Ended","[217] Number of Jobs Ended","[729] Number of Jobs Ended","[95] Number of Jobs Ended","[480] Number of Jobs Ended","[485] Number of Jobs Ended","[126] Number of Jobs Ended","[130] Number of Jobs Ended","[169] Number of Jobs Ended","[1000] Number of Jobs Ended","[76] Number of Jobs Ended","[78] Number of Jobs Ended","[101] Number of Jobs Ended","[165] Number of Jobs Ended","[172] Number of Jobs Ended","[282] Number of Jobs Ended","[430] Number of Jobs Ended","[124] Number of Jobs Ended","[226] Number of Jobs Ended","[450] Number of Jobs Ended","[107] Number of Jobs Ended","[112] Number of Jobs Ended","[190] Number of Jobs Ended","[210] Number of Jobs Ended","[237] Number of Jobs Ended","[242] Number of Jobs Ended","[420] Number of Jobs Ended","[506] Number of Jobs Ended","[640] Number of Jobs Ended","[51] Number of Jobs Ended","[73] Number of Jobs Ended","[104] Number of Jobs Ended","[147] Number of Jobs Ended","[161] Number of Jobs Ended","[187] Number of Jobs Ended","[641] Number of Jobs Ended","[86] Number of Jobs Ended","[123] Number of Jobs Ended","[136] Number of Jobs Ended","[146] Number of Jobs Ended","[170] Number of Jobs Ended","[218] Number of Jobs Ended","[330] Number of Jobs Ended","[638] Number of Jobs Ended","[53] Number of Jobs Ended","[59] Number of Jobs Ended","[115] Number of Jobs Ended","[156] Number of Jobs Ended","[164] Number of Jobs Ended","[176] Number of Jobs Ended","[248] Number of Jobs Ended","[255] Number of Jobs Ended","[280] Number of Jobs Ended","[300] Number of Jobs Ended","[350] Number of Jobs Ended","[375] Number of Jobs Ended","[384] Number of Jobs Ended","[422] Number of Jobs Ended","[470] Number of Jobs Ended","[827] Number of Jobs Ended","[83] Number of Jobs Ended","[105] Number of Jobs Ended","[113] Number of Jobs Ended","[114] Number of Jobs Ended","[133] Number of Jobs Ended","[154] Number of Jobs Ended","[155] Number of Jobs Ended","[166] Number of Jobs Ended","[194] Number of Jobs Ended","[201] Number of Jobs Ended","[208] Number of Jobs Ended","[211] Number of Jobs Ended","[232] Number of Jobs Ended","[245] Number of Jobs Ended","[288] Number of Jobs Ended","[310] Number of Jobs Ended","[340] Number of Jobs Ended","[400] Number of Jobs Ended","[407] Number of Jobs Ended","[410] Number of Jobs Ended","[435] Number of Jobs Ended","[484] Number of Jobs Ended","[490] Number of Jobs Ended","[67] Number of Jobs Ended","[88] Number of Jobs Ended","[99] Number of Jobs Ended","[143] Number of Jobs Ended","[151] Number of Jobs Ended","[167] Number of Jobs Ended","[188] Number of Jobs Ended","[212] Number of Jobs Ended","[222] Number of Jobs Ended","[243] Number of Jobs Ended","[249] Number of Jobs Ended","[251] Number of Jobs Ended","[259] Number of Jobs Ended","[290] Number of Jobs Ended","[320] Number of Jobs Ended","[321] Number of Jobs Ended","[345] Number of Jobs Ended","[360] Number of Jobs Ended","[370] Number of Jobs Ended","[386] Number of Jobs Ended","[391] Number of Jobs Ended","[437] Number of Jobs Ended","[440] Number of Jobs Ended","[460] Number of Jobs Ended","[481] Number of Jobs Ended","[513] Number of Jobs Ended","[519] Number of Jobs Ended","[900] Number of Jobs Ended","[1001] Number of Jobs Ended"
2014-02-01,8515,250,306,127,69,119,33,66,6,66,49,439,34,4,3,8,2,9,0,0,9,29,16,2,6,14,2,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,9249,455,99,183,28,142,76,48,6,97,29,79,38,11,0,3,3,16,1,0,4,13,15,11,7,19,2,5,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,3318,377,601,234,9,117,43,58,5,67,41,34,58,4,1,8,4,8,3,0,19,14,14,9,4,12,4,2,0,0,4,0,0,0,0,5,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-04,2239,326,761,186,19,171,26,94,10,12,29,76,76,6,1,5,2,5,0,0,18,12,13,24,11,6,5,4,0,1,8,0,0,0,2,4,0,0,2,0,0,1,0,0,1,1,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,1,0,5,0,0,0,0,1,0,3,0,0,0,1,0,2,0,0,0,0,11,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,4793,538,392,160,22,228,37,101,8,16,43,8,47,2,2,10,5,58,0,1,17,4,14,4,12,9,3,4,0,5,5,0,0,5,0,5,0,0,2,0,0,7,0,0,1,8,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-06,5059,585,115,174,27,252,22,78,7,39,33,6,15,3,4,4,0,38,1,0,17,7,14,9,16,13,7,2,0,2,2,1,0,0,0,4,0,0,2,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,6,0,2,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-07,2548,550,134,364,97,412,33,208,11,53,23,23,98,3,1,13,2,32,2,0,10,7,15,2,9,23,23,6,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,7575,475,87,228,63,117,52,40,10,46,23,4,340,0,3,2,0,74,0,0,4,2,15,2,13,14,67,1,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,10447,493,209,183,47,197,31,27,11,20,36,6,630,2,0,7,3,77,0,0,6,1,18,4,13,29,2,0,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-10,4466,532,705,409,48,154,28,45,8,58,49,12,16,1,2,7,1,20,0,0,6,4,13,4,6,9,3,17,0,0,1,8,1,0,0,4,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
