title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[6] Number of Jobs Ended","[4] Number of Jobs Ended","[16] Number of Jobs Ended","[8] Number of Jobs Ended","[3] Number of Jobs Ended","[32] Number of Jobs Ended","[5] Number of Jobs Ended","[9] Number of Jobs Ended","[10] Number of Jobs Ended","[64] Number of Jobs Ended","[12] Number of Jobs Ended","[7] Number of Jobs Ended","[256] Number of Jobs Ended","[128] Number of Jobs Ended","[17] Number of Jobs Ended","[20] Number of Jobs Ended","[24] Number of Jobs Ended","[15] Number of Jobs Ended","[48] Number of Jobs Ended","[40] Number of Jobs Ended","[42] Number of Jobs Ended","[14] Number of Jobs Ended","[13] Number of Jobs Ended","[11] Number of Jobs Ended","[1024] Number of Jobs Ended","[36] Number of Jobs Ended","[18] Number of Jobs Ended","[30] Number of Jobs Ended","[121] Number of Jobs Ended","[80] Number of Jobs Ended","[28] Number of Jobs Ended","[100] Number of Jobs Ended","[512] Number of Jobs Ended","[96] Number of Jobs Ended","[50] Number of Jobs Ended","[25] Number of Jobs Ended","[120] Number of Jobs Ended","[217] Number of Jobs Ended","[38] Number of Jobs Ended","[200] Number of Jobs Ended","[72] Number of Jobs Ended","[23] Number of Jobs Ended","[22] Number of Jobs Ended","[34] Number of Jobs Ended","[125] Number of Jobs Ended","[33] Number of Jobs Ended","[126] Number of Jobs Ended","[60] Number of Jobs Ended","[63] Number of Jobs Ended","[160] Number of Jobs Ended","[56] Number of Jobs Ended","[224] Number of Jobs Ended","[26] Number of Jobs Ended","[65] Number of Jobs Ended","[240] Number of Jobs Ended","[142] Number of Jobs Ended","[45] Number of Jobs Ended","[144] Number of Jobs Ended","[216] Number of Jobs Ended","[188] Number of Jobs Ended","[181] Number of Jobs Ended","[19] Number of Jobs Ended","[127] Number of Jobs Ended","[75] Number of Jobs Ended","[70] Number of Jobs Ended","[90] Number of Jobs Ended","[163] Number of Jobs Ended","[35] Number of Jobs Ended","[57] Number of Jobs Ended","[27] Number of Jobs Ended","[66] Number of Jobs Ended","[250] Number of Jobs Ended","[450] Number of Jobs Ended","[21] Number of Jobs Ended","[150] Number of Jobs Ended","[192] Number of Jobs Ended","[102] Number of Jobs Ended","[54] Number of Jobs Ended","[61] Number of Jobs Ended","[179] Number of Jobs Ended","[68] Number of Jobs Ended","[39] Number of Jobs Ended","[58] Number of Jobs Ended","[46] Number of Jobs Ended","[176] Number of Jobs Ended","[62] Number of Jobs Ended","[76] Number of Jobs Ended","[132] Number of Jobs Ended","[213] Number of Jobs Ended","[44] Number of Jobs Ended","[116] Number of Jobs Ended","[52] Number of Jobs Ended","[185] Number of Jobs Ended","[165] Number of Jobs Ended","[29] Number of Jobs Ended","[157] Number of Jobs Ended","[158] Number of Jobs Ended","[480] Number of Jobs Ended","[135] Number of Jobs Ended","[252] Number of Jobs Ended","[31] Number of Jobs Ended","[112] Number of Jobs Ended","[136] Number of Jobs Ended","[37] Number of Jobs Ended","[43] Number of Jobs Ended","[108] Number of Jobs Ended","[238] Number of Jobs Ended","[81] Number of Jobs Ended","[119] Number of Jobs Ended","[49] Number of Jobs Ended","[55] Number of Jobs Ended","[69] Number of Jobs Ended","[77] Number of Jobs Ended","[225] Number of Jobs Ended","[41] Number of Jobs Ended","[140] Number of Jobs Ended","[168] Number of Jobs Ended","[640] Number of Jobs Ended","[53] Number of Jobs Ended","[244] Number of Jobs Ended","[82] Number of Jobs Ended","[98] Number of Jobs Ended","[151] Number of Jobs Ended","[197] Number of Jobs Ended","[864] Number of Jobs Ended","[59] Number of Jobs Ended","[92] Number of Jobs Ended","[99] Number of Jobs Ended","[137] Number of Jobs Ended","[500] Number of Jobs Ended","[800] Number of Jobs Ended","[71] Number of Jobs Ended","[88] Number of Jobs Ended","[175] Number of Jobs Ended","[187] Number of Jobs Ended","[255] Number of Jobs Ended","[300] Number of Jobs Ended","[118] Number of Jobs Ended","[94] Number of Jobs Ended","[122] Number of Jobs Ended","[400] Number of Jobs Ended","[2000] Number of Jobs Ended","[103] Number of Jobs Ended","[152] Number of Jobs Ended","[242] Number of Jobs Ended","[960] Number of Jobs Ended","[74] Number of Jobs Ended","[78] Number of Jobs Ended","[109] Number of Jobs Ended","[196] Number of Jobs Ended","[208] Number of Jobs Ended","[234] Number of Jobs Ended","[1728] Number of Jobs Ended","[51] Number of Jobs Ended","[97] Number of Jobs Ended","[110] Number of Jobs Ended","[149] Number of Jobs Ended","[222] Number of Jobs Ended","[600] Number of Jobs Ended","[648] Number of Jobs Ended","[963] Number of Jobs Ended","[1000] Number of Jobs Ended","[130] Number of Jobs Ended","[138] Number of Jobs Ended","[198] Number of Jobs Ended","[219] Number of Jobs Ended","[47] Number of Jobs Ended","[95] Number of Jobs Ended","[123] Number of Jobs Ended","[172] Number of Jobs Ended","[203] Number of Jobs Ended","[204] Number of Jobs Ended","[220] Number of Jobs Ended","[230] Number of Jobs Ended","[235] Number of Jobs Ended","[251] Number of Jobs Ended","[325] Number of Jobs Ended","[67] Number of Jobs Ended","[73] Number of Jobs Ended","[84] Number of Jobs Ended","[124] Number of Jobs Ended","[133] Number of Jobs Ended","[148] Number of Jobs Ended","[169] Number of Jobs Ended","[183] Number of Jobs Ended","[211] Number of Jobs Ended","[226] Number of Jobs Ended","[384] Number of Jobs Ended","[464] Number of Jobs Ended","[481] Number of Jobs Ended","[544] Number of Jobs Ended","[547] Number of Jobs Ended","[570] Number of Jobs Ended","[576] Number of Jobs Ended","[813] Number of Jobs Ended","[850] Number of Jobs Ended","[1856] Number of Jobs Ended","[4000] Number of Jobs Ended","[79] Number of Jobs Ended","[83] Number of Jobs Ended","[85] Number of Jobs Ended","[87] Number of Jobs Ended","[105] Number of Jobs Ended","[107] Number of Jobs Ended","[117] Number of Jobs Ended","[129] Number of Jobs Ended","[139] Number of Jobs Ended","[141] Number of Jobs Ended","[153] Number of Jobs Ended","[154] Number of Jobs Ended","[177] Number of Jobs Ended","[210] Number of Jobs Ended","[229] Number of Jobs Ended","[232] Number of Jobs Ended","[274] Number of Jobs Ended","[321] Number of Jobs Ended","[350] Number of Jobs Ended","[455] Number of Jobs Ended","[475] Number of Jobs Ended","[520] Number of Jobs Ended","[550] Number of Jobs Ended","[768] Number of Jobs Ended","[827] Number of Jobs Ended","[875] Number of Jobs Ended","[896] Number of Jobs Ended","[900] Number of Jobs Ended","[928] Number of Jobs Ended","[2048] Number of Jobs Ended","[3712] Number of Jobs Ended"
2015-02-01,973,1241,14,372,445,124,190,45,41,196,4,26,26,140,13,7,0,9,16,8,17,1,0,10,16,86,6,0,4,15,0,82,0,0,2,7,1,9,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,1603,807,38,429,285,232,199,117,24,9,7,53,27,2,32,38,1,14,16,4,7,11,0,4,23,0,17,3,4,3,0,0,3,0,17,16,3,17,8,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03,1667,956,56,407,461,257,646,67,72,40,8,42,33,9,29,33,4,18,14,6,3,13,0,8,17,1,9,9,0,4,0,0,0,0,8,44,13,1,32,0,0,0,0,0,7,3,0,0,12,2,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,9,0,0,10,0,4,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04,1950,687,24,273,333,204,440,66,38,13,7,28,22,6,17,22,8,26,25,2,2,16,0,6,29,0,8,2,3,9,0,0,0,0,7,3,1,1,9,0,1,0,0,0,2,2,0,0,11,1,0,0,0,0,0,0,6,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-05,2192,576,48,293,321,166,95,100,59,2,63,19,16,3,62,15,71,15,8,8,4,32,0,2,1,2,19,7,1,6,0,1,0,0,20,2,3,2,0,0,0,0,0,0,0,1,0,0,1,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06,1377,514,30,391,246,178,104,56,30,13,161,24,7,11,20,18,96,3,5,0,14,8,0,10,4,1,11,5,6,4,0,0,0,0,11,2,7,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,5,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-07,939,564,55,218,256,144,61,41,24,50,151,14,6,1,58,2,136,11,11,1,2,7,0,2,2,0,3,5,2,2,0,0,4,0,1,6,3,0,0,0,0,1,0,1,3,1,0,0,0,1,0,3,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-08,1773,718,20,331,459,181,60,60,44,20,20,24,12,0,39,22,12,14,13,4,2,3,0,4,3,0,11,1,4,2,0,7,1,1,11,10,1,2,0,0,4,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-09,2456,703,56,423,340,180,83,81,38,14,176,56,14,29,42,34,2,44,6,7,5,13,0,11,3,3,26,17,0,6,0,0,3,1,23,4,3,1,5,0,0,0,1,4,5,7,0,2,28,3,0,0,0,0,4,0,0,0,5,0,0,1,0,5,0,0,0,1,0,1,2,0,4,0,0,0,0,0,0,1,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-10,495,283,6,61,94,50,11,35,2,5,22,16,0,2,6,3,1,0,7,5,1,0,0,6,0,0,3,0,0,0,0,1,1,1,3,1,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-11,1210,301,23,179,240,65,40,17,40,7,3,13,5,2,22,1,0,1,4,2,1,4,0,0,2,2,17,0,1,1,0,0,1,0,19,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-12,1552,330,27,251,175,88,104,34,29,6,27,23,10,3,46,15,19,2,13,2,3,10,0,3,0,1,9,5,9,4,2,0,1,0,7,2,0,24,1,0,0,1,0,0,0,2,0,9,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
