title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2015-08-01,2016-01-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[8] Number of Jobs Ended","[4] Number of Jobs Ended","[16] Number of Jobs Ended","[3] Number of Jobs Ended","[6] Number of Jobs Ended","[10] Number of Jobs Ended","[32] Number of Jobs Ended","[64] Number of Jobs Ended","[9] Number of Jobs Ended","[5] Number of Jobs Ended","[20] Number of Jobs Ended","[12] Number of Jobs Ended","[36] Number of Jobs Ended","[128] Number of Jobs Ended","[256] Number of Jobs Ended","[14] Number of Jobs Ended","[11] Number of Jobs Ended","[7] Number of Jobs Ended","[40] Number of Jobs Ended","[30] Number of Jobs Ended","[24] Number of Jobs Ended","[15] Number of Jobs Ended","[13] Number of Jobs Ended","[17] Number of Jobs Ended","[80] Number of Jobs Ended","[217] Number of Jobs Ended","[48] Number of Jobs Ended","[60] Number of Jobs Ended","[18] Number of Jobs Ended","[163] Number of Jobs Ended","[384] Number of Jobs Ended","[100] Number of Jobs Ended","[25] Number of Jobs Ended","[34] Number of Jobs Ended","[50] Number of Jobs Ended","[96] Number of Jobs Ended","[91] Number of Jobs Ended","[63] Number of Jobs Ended","[45] Number of Jobs Ended","[35] Number of Jobs Ended","[181] Number of Jobs Ended","[1024] Number of Jobs Ended","[42] Number of Jobs Ended","[125] Number of Jobs Ended","[512] Number of Jobs Ended","[72] Number of Jobs Ended","[56] Number of Jobs Ended","[160] Number of Jobs Ended","[28] Number of Jobs Ended","[19] Number of Jobs Ended","[144] Number of Jobs Ended","[57] Number of Jobs Ended","[120] Number of Jobs Ended","[47] Number of Jobs Ended","[75] Number of Jobs Ended","[23] Number of Jobs Ended","[127] Number of Jobs Ended","[21] Number of Jobs Ended","[255] Number of Jobs Ended","[26] Number of Jobs Ended","[200] Number of Jobs Ended","[250] Number of Jobs Ended","[33] Number of Jobs Ended","[216] Number of Jobs Ended","[27] Number of Jobs Ended","[65] Number of Jobs Ended","[108] Number of Jobs Ended","[55] Number of Jobs Ended","[29] Number of Jobs Ended","[44] Number of Jobs Ended","[38] Number of Jobs Ended","[66] Number of Jobs Ended","[62] Number of Jobs Ended","[53] Number of Jobs Ended","[179] Number of Jobs Ended","[70] Number of Jobs Ended","[126] Number of Jobs Ended","[68] Number of Jobs Ended","[192] Number of Jobs Ended","[150] Number of Jobs Ended","[138] Number of Jobs Ended","[73] Number of Jobs Ended","[103] Number of Jobs Ended","[224] Number of Jobs Ended","[79] Number of Jobs Ended","[90] Number of Jobs Ended","[225] Number of Jobs Ended","[165] Number of Jobs Ended","[84] Number of Jobs Ended","[43] Number of Jobs Ended","[54] Number of Jobs Ended","[67] Number of Jobs Ended","[76] Number of Jobs Ended","[113] Number of Jobs Ended","[22] Number of Jobs Ended","[124] Number of Jobs Ended","[140] Number of Jobs Ended","[112] Number of Jobs Ended","[180] Number of Jobs Ended","[188] Number of Jobs Ended","[116] Number of Jobs Ended","[135] Number of Jobs Ended","[158] Number of Jobs Ended","[168] Number of Jobs Ended","[39] Number of Jobs Ended","[105] Number of Jobs Ended","[240] Number of Jobs Ended","[203] Number of Jobs Ended","[136] Number of Jobs Ended","[37] Number of Jobs Ended","[52] Number of Jobs Ended","[252] Number of Jobs Ended","[81] Number of Jobs Ended","[98] Number of Jobs Ended","[118] Number of Jobs Ended","[132] Number of Jobs Ended","[151] Number of Jobs Ended","[83] Number of Jobs Ended","[243] Number of Jobs Ended","[46] Number of Jobs Ended","[133] Number of Jobs Ended","[768] Number of Jobs Ended","[185] Number of Jobs Ended","[864] Number of Jobs Ended","[166] Number of Jobs Ended","[85] Number of Jobs Ended","[156] Number of Jobs Ended","[172] Number of Jobs Ended","[49] Number of Jobs Ended","[129] Number of Jobs Ended","[152] Number of Jobs Ended","[248] Number of Jobs Ended","[320] Number of Jobs Ended","[545] Number of Jobs Ended","[540] Number of Jobs Ended","[31] Number of Jobs Ended","[82] Number of Jobs Ended","[88] Number of Jobs Ended","[94] Number of Jobs Ended","[119] Number of Jobs Ended","[122] Number of Jobs Ended","[147] Number of Jobs Ended","[161] Number of Jobs Ended","[186] Number of Jobs Ended","[190] Number of Jobs Ended","[211] Number of Jobs Ended","[59] Number of Jobs Ended","[99] Number of Jobs Ended","[109] Number of Jobs Ended","[130] Number of Jobs Ended","[198] Number of Jobs Ended","[253] Number of Jobs Ended","[51] Number of Jobs Ended","[86] Number of Jobs Ended","[115] Number of Jobs Ended","[175] Number of Jobs Ended","[223] Number of Jobs Ended","[231] Number of Jobs Ended","[269] Number of Jobs Ended","[549] Number of Jobs Ended","[41] Number of Jobs Ended","[58] Number of Jobs Ended","[77] Number of Jobs Ended","[93] Number of Jobs Ended","[97] Number of Jobs Ended","[110] Number of Jobs Ended","[131] Number of Jobs Ended","[141] Number of Jobs Ended","[218] Number of Jobs Ended","[244] Number of Jobs Ended","[61] Number of Jobs Ended","[71] Number of Jobs Ended","[74] Number of Jobs Ended","[78] Number of Jobs Ended","[95] Number of Jobs Ended","[101] Number of Jobs Ended","[123] Number of Jobs Ended","[153] Number of Jobs Ended","[162] Number of Jobs Ended","[238] Number of Jobs Ended","[249] Number of Jobs Ended","[579] Number of Jobs Ended","[87] Number of Jobs Ended","[92] Number of Jobs Ended","[106] Number of Jobs Ended","[178] Number of Jobs Ended","[208] Number of Jobs Ended","[213] Number of Jobs Ended","[226] Number of Jobs Ended","[236] Number of Jobs Ended","[640] Number of Jobs Ended","[950] Number of Jobs Ended","[1000] Number of Jobs Ended","[102] Number of Jobs Ended","[104] Number of Jobs Ended","[114] Number of Jobs Ended","[134] Number of Jobs Ended","[137] Number of Jobs Ended","[145] Number of Jobs Ended","[146] Number of Jobs Ended","[148] Number of Jobs Ended","[164] Number of Jobs Ended","[170] Number of Jobs Ended","[173] Number of Jobs Ended","[182] Number of Jobs Ended","[195] Number of Jobs Ended","[196] Number of Jobs Ended","[199] Number of Jobs Ended","[201] Number of Jobs Ended","[205] Number of Jobs Ended","[206] Number of Jobs Ended","[209] Number of Jobs Ended","[214] Number of Jobs Ended","[219] Number of Jobs Ended","[220] Number of Jobs Ended","[232] Number of Jobs Ended","[233] Number of Jobs Ended","[235] Number of Jobs Ended","[239] Number of Jobs Ended","[251] Number of Jobs Ended","[262] Number of Jobs Ended","[264] Number of Jobs Ended","[360] Number of Jobs Ended","[433] Number of Jobs Ended","[524] Number of Jobs Ended","[546] Number of Jobs Ended","[649] Number of Jobs Ended","[865] Number of Jobs Ended","[998] Number of Jobs Ended","[1020] Number of Jobs Ended","[4320] Number of Jobs Ended"
2015-08-01,772,181,138,207,128,52,33,85,26,14,11,3,6,12,0,9,4,9,0,0,2,4,1,3,3,64,2,0,10,0,5,3,0,1,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,1113,405,168,232,113,82,54,45,25,15,5,8,5,4,2,18,5,13,0,1,2,3,1,4,4,20,5,0,4,0,4,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,1283,323,194,319,164,121,34,97,26,11,12,44,9,12,0,15,9,9,0,8,4,2,5,8,9,1,8,0,6,1,2,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,1064,251,189,248,137,43,25,177,26,12,19,6,8,6,1,11,1,8,3,6,1,2,4,1,1,1,1,0,9,1,3,3,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,1349,399,229,270,179,95,41,29,41,33,31,21,7,16,3,11,6,15,1,0,20,3,4,12,3,8,15,0,6,1,4,3,0,0,2,1,0,0,0,2,0,0,0,4,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,1375,383,213,179,159,64,51,55,20,18,18,48,8,9,1,12,20,13,0,0,4,5,2,6,7,9,7,0,4,0,2,3,0,0,2,1,1,0,0,1,0,0,0,4,1,0,2,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,1058,314,104,244,203,86,55,90,25,12,46,49,9,22,1,34,1,10,1,1,10,9,5,5,0,66,15,0,7,0,0,0,0,0,6,0,0,0,0,1,0,0,0,5,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-08,742,235,128,271,273,139,65,63,23,5,49,6,6,12,1,19,3,4,2,0,8,4,0,1,1,47,0,0,3,0,4,0,0,0,2,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,739,356,343,232,188,175,42,64,32,17,15,12,7,23,1,0,10,4,1,1,12,6,4,9,0,57,2,0,4,0,2,0,0,0,0,0,0,1,0,2,0,0,0,1,4,0,1,0,1,0,1,1,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,1222,812,264,350,269,149,82,63,28,4,8,28,6,51,0,1,8,8,3,0,14,1,7,3,0,32,3,2,16,2,4,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,1,0,1,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
