title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2010-08-01,2011-01-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[8] Number of Jobs Ended","[3] Number of Jobs Ended","[6] Number of Jobs Ended","[15] Number of Jobs Ended","[16] Number of Jobs Ended","[24] Number of Jobs Ended"
2011-01-05,0,0,0,0,0,0,0,0,0
2011-01-06,0,0,0,0,0,0,0,0,0
2011-01-07,0,0,0,0,0,0,0,0,0
2011-01-08,0,0,0,0,0,0,0,0,0
2011-01-09,0,0,0,0,0,0,0,0,0
2011-01-10,0,0,0,0,0,0,0,0,0
2011-01-11,0,0,0,0,0,0,0,0,0
2011-01-12,0,0,0,0,0,0,0,0,0
2011-01-13,7,5,0,0,0,0,0,0,0
2011-01-14,135,11,0,0,0,0,0,0,0
2011-01-15,0,2,0,0,0,0,0,0,0
2011-01-16,0,17,0,0,0,0,0,0,0
2011-01-17,1,11,0,0,0,0,0,0,0
2011-01-18,7,9,0,0,0,0,0,0,0
2011-01-19,0,28,0,0,0,0,0,0,0
2011-01-20,9,22,17,1,1,1,0,0,0
2011-01-21,9,5,9,0,0,0,0,0,0
2011-01-22,1,19,5,0,0,0,0,0,0
2011-01-23,0,4,6,0,0,0,0,0,0
2011-01-24,3,15,0,0,0,0,0,0,0
2011-01-25,1,10,2,1,0,0,1,0,0
2011-01-26,175,16,2,1,0,0,0,1,1
2011-01-27,30,2,0,0,0,0,0,0,0
2011-01-28,81,35,3,1,0,0,0,0,0
2011-01-29,4,3,1,2,0,0,0,0,0
2011-01-30,1,32,0,0,0,0,0,0,0
2011-01-31,6,40,1,1,0,0,0,0,0
---------
