title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2012-08-01,2013-01-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[8] Number of Jobs Ended","[16] Number of Jobs Ended","[32] Number of Jobs Ended","[3] Number of Jobs Ended","[6] Number of Jobs Ended","[12] Number of Jobs Ended","[18] Number of Jobs Ended","[10] Number of Jobs Ended","[5] Number of Jobs Ended","[9] Number of Jobs Ended","[14] Number of Jobs Ended","[24] Number of Jobs Ended","[28] Number of Jobs Ended","[17] Number of Jobs Ended","[13] Number of Jobs Ended","[7] Number of Jobs Ended","[15] Number of Jobs Ended","[20] Number of Jobs Ended","[22] Number of Jobs Ended","[19] Number of Jobs Ended","[30] Number of Jobs Ended","[21] Number of Jobs Ended","[26] Number of Jobs Ended","[11] Number of Jobs Ended","[25] Number of Jobs Ended"
2012-08-01,1676,103,26,4,3,27,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-02,422,145,12,8,6,0,1,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-03,580,82,7,5,3,12,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-04,459,19,6,5,12,8,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-05,545,62,3,2,5,5,0,0,2,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-06,572,41,7,2,3,5,2,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-07,322,72,8,3,8,3,4,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-08,271,50,5,1,4,3,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-08-09,443,252,8,8,3,4,6,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-10,457,202,18,3,3,6,6,11,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-08-11,141,80,5,2,2,3,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-12,110,123,2,1,3,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-13,339,203,13,3,9,0,3,2,4,0,1,0,0,1,0,0,0,1,0,0,0,4,1,0,0,0,0,0
2012-08-14,403,140,12,2,5,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0
2012-08-15,530,78,9,5,3,2,5,2,2,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2012-08-16,822,91,17,6,11,3,4,2,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-17,1005,109,6,8,3,1,3,0,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-18,892,35,16,2,4,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-19,405,51,36,1,9,5,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-20,434,110,15,8,1,7,9,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-21,453,99,30,2,4,2,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
