title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2014-02-01,2014-07-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[8] Number of Jobs Ended","[3] Number of Jobs Ended","[32] Number of Jobs Ended","[10] Number of Jobs Ended","[16] Number of Jobs Ended","[24] Number of Jobs Ended","[5] Number of Jobs Ended","[6] Number of Jobs Ended","[9] Number of Jobs Ended","[12] Number of Jobs Ended","[7] Number of Jobs Ended","[20] Number of Jobs Ended","[21] Number of Jobs Ended","[13] Number of Jobs Ended","[11] Number of Jobs Ended","[14] Number of Jobs Ended","[17] Number of Jobs Ended","[18] Number of Jobs Ended","[19] Number of Jobs Ended","[15] Number of Jobs Ended","[22] Number of Jobs Ended","[28] Number of Jobs Ended"
2014-02-01,515,138,10,14,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,2313,52,11,8,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,2536,91,17,17,10,0,0,3,0,1,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2014-02-04,1190,126,30,5,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,887,262,24,24,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-02-06,511,299,12,5,1,0,0,2,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0
2014-02-07,541,447,8,17,5,0,0,3,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-02-08,477,81,20,7,2,3,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-02-09,424,84,14,13,4,1,5,1,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0
2014-02-10,665,184,10,5,2,1,2,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-11,815,146,18,16,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-12,1518,241,26,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-13,1711,158,26,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-14,693,220,25,13,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-15,700,71,19,7,0,0,2,2,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-16,1012,54,15,3,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-17,1030,161,19,25,7,2,0,0,0,2,0,1,2,0,3,2,0,1,1,0,0,3,0,0,0
2014-02-18,1251,190,8,8,3,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-19,1503,173,14,7,2,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-20,1534,174,13,10,2,0,0,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2014-02-21,1162,124,20,3,0,0,2,2,0,0,2,1,4,0,0,0,0,0,0,0,1,0,0,0,0
2014-02-22,568,70,1,3,2,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2014-02-23,2217,68,6,4,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-24,4202,188,7,9,4,0,2,0,0,0,4,1,2,0,0,2,0,0,0,0,0,0,0,0,0
2014-02-25,1294,128,4,7,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-26,1649,173,7,16,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-27,1295,120,5,7,4,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
2014-02-28,849,168,4,5,10,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
2014-03-01,876,79,4,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-02,1788,72,3,2,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
2014-03-03,1383,143,6,7,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-04,1034,230,7,96,2,2,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-03-05,553,136,8,5,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-06,473,190,4,1,3,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-03-07,948,152,2,20,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-03-08,313,47,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-09,23,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-03-11,134,88,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-12,542,300,16,14,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-03-13,1230,183,8,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-14,1324,142,22,13,3,12,0,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-15,361,148,23,8,0,25,0,9,8,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-03-16,615,116,23,17,0,13,0,4,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-17,488,184,51,12,5,3,0,1,7,0,6,0,7,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-18,1078,192,8,14,5,70,0,12,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-19,1324,196,3,3,0,34,0,13,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-20,1305,191,16,14,2,9,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2014-03-21,1296,186,26,7,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-22,1588,75,22,6,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-23,852,95,15,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-24,1384,237,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-25,1369,216,3,8,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-03-26,3691,202,10,6,1,5,1,0,3,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0,0
2014-03-27,2346,305,8,8,0,6,0,1,9,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2014-03-28,1084,239,6,3,4,9,0,1,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-29,2673,143,14,4,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-30,491,144,10,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-31,796,178,71,15,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,1612,180,64,27,1,7,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
