title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[8] Number of Jobs Ended","[3] Number of Jobs Ended","[4] Number of Jobs Ended","[5] Number of Jobs Ended","[32] Number of Jobs Ended","[10] Number of Jobs Ended","[6] Number of Jobs Ended","[16] Number of Jobs Ended","[20] Number of Jobs Ended","[24] Number of Jobs Ended","[12] Number of Jobs Ended","[9] Number of Jobs Ended","[7] Number of Jobs Ended","[22] Number of Jobs Ended","[11] Number of Jobs Ended","[14] Number of Jobs Ended","[28] Number of Jobs Ended","[31] Number of Jobs Ended","[13] Number of Jobs Ended","[15] Number of Jobs Ended","[18] Number of Jobs Ended","[25] Number of Jobs Ended"
2015-02-01,1438,101,1,3,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,1478,194,4,3,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03,759,159,6,1,3,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2015-02-04,869,199,5,2,4,0,2,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
2015-02-05,1044,175,2,2,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2015-02-06,448,185,8,2,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-02-07,321,75,10,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-08,185,113,19,2,3,0,1,0,1,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-02-09,598,215,15,9,2,0,2,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
2015-02-10,2446,196,16,3,5,1,3,0,1,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0
2015-02-11,2223,196,6,6,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-02-12,1889,145,6,6,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-02-13,1253,176,8,3,6,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-14,1268,48,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-15,968,114,7,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015-02-16,2779,186,3,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015-02-17,1650,155,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-18,1938,198,12,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-02-19,2555,268,10,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-02-20,2556,121,1,2,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-21,171,77,1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2015-02-22,1964,103,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-23,3343,232,1,3,10,2,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2015-02-24,3090,250,2,2,8,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2015-02-25,1011,202,1,5,5,2,11,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2015-02-26,3601,232,0,4,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-02-27,1895,157,4,5,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2015-02-28,429,129,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,560,126,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-03-02,1328,190,3,1,1,2,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
2015-03-03,1266,268,187,5,8,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-04,338,196,8,9,7,2,2,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-05,195,179,12,6,3,0,1,13,1,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-06,616,178,2,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-07,207,82,0,3,20,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-08,43,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-09,288,195,9,1,5,4,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-03-10,384,177,12,6,5,6,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-11,351,159,9,2,3,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-12,388,162,1,4,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
