title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2011-02-01,2011-07-31
---------
Day,"[16] Number of Jobs Ended","[32] Number of Jobs Ended","[64] Number of Jobs Ended","[128] Number of Jobs Ended","[48] Number of Jobs Ended","[96] Number of Jobs Ended","[112] Number of Jobs Ended","[256] Number of Jobs Ended","[160] Number of Jobs Ended","[224] Number of Jobs Ended","[480] Number of Jobs Ended","[80] Number of Jobs Ended","[1024] Number of Jobs Ended","[144] Number of Jobs Ended","[208] Number of Jobs Ended","[400] Number of Jobs Ended","[512] Number of Jobs Ended","[240] Number of Jobs Ended","[288] Number of Jobs Ended","[1008] Number of Jobs Ended","[192] Number of Jobs Ended","[384] Number of Jobs Ended","[800] Number of Jobs Ended","[320] Number of Jobs Ended","[768] Number of Jobs Ended","[1440] Number of Jobs Ended"
2011-02-01,329,63,12,27,1,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-02,309,398,12,18,1,0,0,101,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-03,236,174,2,4,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-04,16,0,3,15,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011-02-05,55,56,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-06,103,34,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-07,17,10,0,4,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-08,149,24,1,5,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2011-02-09,52,21,0,3,0,1,0,5,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011-02-10,40,9,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-11,167,7,15,6,0,0,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-02-12,10,16,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-02-13,41,42,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-02-14,33,76,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-02-15,249,142,6,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2011-02-16,310,311,2,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-02-17,253,94,13,31,0,0,0,2,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0
2011-02-18,141,38,4,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-19,76,6,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-20,32,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-21,20,4,22,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2011-02-22,54,3,18,0,13,0,0,0,0,0,0,0,2,9,0,0,0,2,4,0,0,0,0,0,0,0
2011-02-23,19,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-24,37,0,33,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0
2011-02-25,19,8,7,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
2011-02-26,33,5,2,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-27,54,19,18,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-28,79,41,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,114,35,11,8,6,28,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-02,7,4,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-03,11,13,13,6,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-04,34,10,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2011-03-05,32,9,3,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-06,38,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-07,44,11,17,9,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-08,27,4,2,9,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-03-09,25,250,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-10,57,120,10,22,0,1,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-03-11,36,7,6,13,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-12,8,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-13,39,229,4,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-14,153,27,16,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-15,109,172,19,11,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-16,29,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-17,45,165,16,19,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-18,39,177,23,21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-19,39,10,5,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-20,17,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-21,32,186,12,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-22,19,294,25,13,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-23,10,25,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-24,17,51,8,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-25,36,29,9,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-26,24,285,11,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-27,36,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-28,64,209,46,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-29,41,272,43,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-30,42,82,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-31,54,63,10,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,33,5,7,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-02,21,0,7,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-03,10,7,4,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-04,16,2,5,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-05,18,6,4,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-06,10,4,3,9,0,0,0,3,0,0,0,0,0,1,0,38,0,0,0,0,0,0,0,0,0,0
2011-04-07,11,0,23,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-08,32,0,38,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
2011-04-09,6,1,10,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-10,18,0,1,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-11,39,0,4,6,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-12,99,62,15,19,2,0,6,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0
2011-04-13,51,46,11,4,5,0,9,1,17,0,0,10,1,0,0,0,0,1,0,0,0,0,1,0,0,0
2011-04-14,50,16,20,5,2,0,4,0,7,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-04-15,81,27,34,6,2,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-16,38,45,50,4,0,0,1,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
