title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2015-08-01,2016-01-31
---------
Day,"[16] Number of Jobs Ended","[64] Number of Jobs Ended","[32] Number of Jobs Ended","[384] Number of Jobs Ended","[768] Number of Jobs Ended","[128] Number of Jobs Ended","[96] Number of Jobs Ended","[48] Number of Jobs Ended","[192] Number of Jobs Ended","[256] Number of Jobs Ended","[512] Number of Jobs Ended","[112] Number of Jobs Ended","[1024] Number of Jobs Ended"
2015-08-01,4,5,1,0,0,0,0,0,0,0,0,0,0
2015-08-02,15,33,5,0,1,1,0,1,0,0,0,1,1
2015-08-03,21,25,1,0,3,1,0,0,0,0,0,0,0
2015-08-04,29,4,1,1,0,0,0,0,0,0,0,0,0
2015-08-05,105,8,1,0,1,0,0,0,0,0,1,0,0
2015-08-06,60,3,4,0,0,1,0,0,0,0,1,0,0
2015-08-07,97,2,7,0,0,2,1,0,0,0,0,0,0
2015-08-08,12,3,2,13,2,0,0,0,1,0,0,0,0
2015-08-09,7,3,2,0,0,0,0,0,0,0,0,0,0
2015-08-10,57,3,12,2,2,2,1,0,1,0,0,0,0
2015-08-11,69,1,0,5,0,0,1,0,0,2,0,0,0
2015-08-12,87,2,5,3,2,0,1,0,0,0,0,0,0
2015-08-13,42,3,2,6,0,0,2,3,0,0,0,0,0
2015-08-14,43,1,0,3,0,0,0,0,0,0,0,0,0
2015-08-15,11,0,0,0,0,0,0,0,0,0,0,0,0
---------
