title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2011-08-01,2012-01-31
---------
Day,"[16] Number of Jobs Running","[32] Number of Jobs Running","[64] Number of Jobs Running","[48] Number of Jobs Running","[128] Number of Jobs Running","[224] Number of Jobs Running","[320] Number of Jobs Running","[96] Number of Jobs Running","[112] Number of Jobs Running","[256] Number of Jobs Running","[160] Number of Jobs Running","[80] Number of Jobs Running","[240] Number of Jobs Running","[512] Number of Jobs Running","[144] Number of Jobs Running","[272] Number of Jobs Running","[192] Number of Jobs Running","[1024] Number of Jobs Running","[384] Number of Jobs Running","[8] Number of Jobs Running","[208] Number of Jobs Running","[176] Number of Jobs Running","[288] Number of Jobs Running","[528] Number of Jobs Running","[368] Number of Jobs Running","[496] Number of Jobs Running","[304] Number of Jobs Running","[448] Number of Jobs Running","[576] Number of Jobs Running","[624] Number of Jobs Running","[400] Number of Jobs Running","[640] Number of Jobs Running","[704] Number of Jobs Running","[720] Number of Jobs Running","[480] Number of Jobs Running","[992] Number of Jobs Running","[336] Number of Jobs Running","[672] Number of Jobs Running","[736] Number of Jobs Running","[768] Number of Jobs Running","[1440] Number of Jobs Running","[1728] Number of Jobs Running"
2011-08-01,89,89,25,1,2,0,0,10,53,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-02,111,67,14,1,0,0,0,10,10,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-03,15,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-04,82,35,37,2,2,0,0,5,0,0,0,0,0,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2011-08-05,92,81,37,0,3,0,0,6,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-06,102,71,26,1,4,0,0,4,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-07,116,75,20,3,4,1,0,6,0,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-08,235,92,38,1,2,16,0,9,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-09,424,94,57,2,0,25,0,11,13,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-10,837,61,31,1,1,0,0,5,3,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-11,257,24,31,2,1,0,0,4,50,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-12,1156,50,31,1,0,0,0,14,23,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-13,406,35,43,0,0,0,0,6,54,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-14,415,14,29,1,1,54,0,4,34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-15,240,14,22,3,4,0,0,5,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-16,1282,43,46,2,8,1,0,3,0,5,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-17,1557,54,51,8,3,73,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-18,719,37,31,8,3,14,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-19,365,20,26,2,5,34,0,6,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-20,454,6,32,2,10,35,0,6,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-21,454,10,17,2,2,6,0,5,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-22,730,38,133,7,2,11,0,9,0,2,4,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-08-23,946,30,113,8,9,21,0,11,0,2,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-24,701,32,67,21,7,22,0,12,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-25,967,28,22,13,9,24,0,8,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
