title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2013-02-01,2013-07-31
---------
Day,"[16] Number of Jobs Running","[32] Number of Jobs Running","[128] Number of Jobs Running","[64] Number of Jobs Running","[48] Number of Jobs Running","[256] Number of Jobs Running","[96] Number of Jobs Running","[512] Number of Jobs Running","[80] Number of Jobs Running","[160] Number of Jobs Running","[8] Number of Jobs Running","[144] Number of Jobs Running","[192] Number of Jobs Running","[112] Number of Jobs Running","[576] Number of Jobs Running","[1024] Number of Jobs Running","[208] Number of Jobs Running","[320] Number of Jobs Running","[384] Number of Jobs Running","[176] Number of Jobs Running","[272] Number of Jobs Running","[240] Number of Jobs Running","[416] Number of Jobs Running","[224] Number of Jobs Running","[432] Number of Jobs Running","[544] Number of Jobs Running","[288] Number of Jobs Running","[480] Number of Jobs Running","[304] Number of Jobs Running","[768] Number of Jobs Running","[368] Number of Jobs Running","[640] Number of Jobs Running","[704] Number of Jobs Running","[800] Number of Jobs Running","[1968] Number of Jobs Running","[464] Number of Jobs Running","[528] Number of Jobs Running","[896] Number of Jobs Running","[1008] Number of Jobs Running","[1440] Number of Jobs Running"
2013-02-01,80,28,11,35,15,0,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-02,54,20,13,14,13,1,2,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-03,47,16,14,11,9,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,104,53,29,16,5,3,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-05,82,60,18,20,8,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-06,74,61,26,26,10,2,1,2,8,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-07,55,35,21,17,4,4,1,0,2,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-08,65,81,17,8,5,2,4,1,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-02-09,53,47,17,10,1,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-10,49,77,36,19,1,1,5,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
