title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2014-08-01,2015-01-31
---------
Day,"[16] Number of Jobs Running","[32] Number of Jobs Running","[64] Number of Jobs Running","[48] Number of Jobs Running","[128] Number of Jobs Running","[96] Number of Jobs Running","[256] Number of Jobs Running","[192] Number of Jobs Running","[80] Number of Jobs Running","[320] Number of Jobs Running","[976] Number of Jobs Running","[1024] Number of Jobs Running","[112] Number of Jobs Running","[160] Number of Jobs Running","[512] Number of Jobs Running","[224] Number of Jobs Running","[144] Number of Jobs Running","[176] Number of Jobs Running","[384] Number of Jobs Running","[208] Number of Jobs Running","[768] Number of Jobs Running","[1104] Number of Jobs Running","[240] Number of Jobs Running","[368] Number of Jobs Running","[480] Number of Jobs Running","[752] Number of Jobs Running","[960] Number of Jobs Running","[800] Number of Jobs Running"
2014-08-01,9,0,0,3,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-02,0,0,0,1,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-03,1,0,0,1,2,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-04,650,21,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0
2014-08-05,116,31,10,5,6,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2014-08-06,32,3,5,2,6,1,2,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2014-08-07,25,20,4,4,4,9,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-08-08,57,21,7,4,6,1,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-09,19,6,2,2,3,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-10,680,30,10,7,7,6,11,1,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-08-11,840,41,7,4,53,4,16,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2014-08-12,274,22,5,3,8,3,13,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2014-08-13,513,36,8,2,18,3,16,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-08-14,810,34,21,3,13,9,11,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-08-15,240,26,16,10,6,27,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-08-16,787,26,20,6,8,2,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-08-17,204,26,17,17,5,3,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-08-18,85,15,10,24,2,6,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-08-19,74,21,5,11,2,2,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-20,67,18,7,4,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-21,47,16,5,3,2,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-22,64,17,16,1,2,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014-08-23,64,19,5,3,5,6,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014-08-24,36,17,17,4,5,4,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-25,69,45,20,3,3,4,5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-26,75,33,14,9,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
