title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2015-08-01,2016-01-31
---------
Day,"[16] Number of Jobs Running","[64] Number of Jobs Running","[32] Number of Jobs Running","[384] Number of Jobs Running","[768] Number of Jobs Running","[128] Number of Jobs Running","[96] Number of Jobs Running","[192] Number of Jobs Running","[48] Number of Jobs Running","[512] Number of Jobs Running","[256] Number of Jobs Running","[1024] Number of Jobs Running","[112] Number of Jobs Running"
2015-08-01,7,14,3,0,0,1,0,0,0,0,0,1,0
2015-08-02,20,43,5,0,2,1,0,0,1,0,0,1,1
2015-08-03,26,25,5,0,4,2,0,0,0,0,0,0,0
2015-08-04,42,9,5,1,1,1,0,0,0,0,0,0,0
2015-08-05,122,10,5,0,1,1,1,1,0,2,0,0,0
2015-08-06,76,5,9,0,1,1,1,2,0,1,0,0,0
2015-08-07,103,6,17,0,1,2,1,2,0,0,0,0,0
2015-08-08,15,6,10,15,3,0,0,2,0,0,0,0,0
2015-08-09,8,6,8,2,1,0,0,1,0,0,0,0,0
2015-08-10,67,4,13,6,3,2,2,1,0,0,0,0,0
2015-08-11,79,3,4,8,1,0,2,0,0,0,2,0,0
2015-08-12,87,2,5,3,2,0,1,0,0,0,0,0,0
2015-08-13,48,4,2,6,0,0,2,0,3,0,0,0,0
2015-08-14,48,1,0,3,0,0,0,0,0,0,0,0,0
2015-08-15,11,0,0,0,0,0,0,0,0,0,0,0,0
---------
