title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] Number of Jobs Running","[4] Number of Jobs Running","[2] Number of Jobs Running","[10] Number of Jobs Running","[8] Number of Jobs Running","[3] Number of Jobs Running","[6] Number of Jobs Running","[12] Number of Jobs Running","[16] Number of Jobs Running","[20] Number of Jobs Running","[5] Number of Jobs Running","[32] Number of Jobs Running","[30] Number of Jobs Running","[72] Number of Jobs Running","[40] Number of Jobs Running","[13] Number of Jobs Running","[24] Number of Jobs Running","[64] Number of Jobs Running","[60] Number of Jobs Running","[7] Number of Jobs Running","[25] Number of Jobs Running","[43] Number of Jobs Running","[28] Number of Jobs Running","[9] Number of Jobs Running","[70] Number of Jobs Running","[50] Number of Jobs Running","[22] Number of Jobs Running","[45] Number of Jobs Running","[15] Number of Jobs Running","[33] Number of Jobs Running","[48] Number of Jobs Running","[36] Number of Jobs Running","[11] Number of Jobs Running","[14] Number of Jobs Running","[62] Number of Jobs Running","[27] Number of Jobs Running","[58] Number of Jobs Running","[29] Number of Jobs Running","[34] Number of Jobs Running","[53] Number of Jobs Running","[23] Number of Jobs Running","[21] Number of Jobs Running","[65] Number of Jobs Running","[41] Number of Jobs Running","[54] Number of Jobs Running","[57] Number of Jobs Running","[61] Number of Jobs Running","[49] Number of Jobs Running","[69] Number of Jobs Running","[37] Number of Jobs Running","[18] Number of Jobs Running","[31] Number of Jobs Running","[17] Number of Jobs Running","[59] Number of Jobs Running","[56] Number of Jobs Running","[67] Number of Jobs Running","[52] Number of Jobs Running","[55] Number of Jobs Running","[68] Number of Jobs Running","[19] Number of Jobs Running","[42] Number of Jobs Running","[44] Number of Jobs Running","[35] Number of Jobs Running","[39] Number of Jobs Running","[63] Number of Jobs Running","[47] Number of Jobs Running","[66] Number of Jobs Running","[26] Number of Jobs Running","[46] Number of Jobs Running","[51] Number of Jobs Running","[71] Number of Jobs Running","[38] Number of Jobs Running"
2015-05-11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-13,97,20,10,4,3,1,0,0,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-14,655,69,329,15,5,13,9,0,46,12,7,2,2,1,0,0,1,1,3,0,1,1,0,0,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-15,1235,159,430,30,29,20,4,3,57,19,14,12,7,2,2,0,5,0,5,0,4,2,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-16,871,95,126,22,42,52,42,2,25,6,13,3,3,10,0,0,0,0,2,0,3,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-17,852,123,208,32,52,42,21,3,14,19,1,0,2,1,0,0,0,0,6,0,5,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-18,1083,183,351,54,63,62,27,2,11,39,11,1,0,10,0,0,1,0,7,0,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-19,1535,80,435,36,33,59,15,4,14,17,24,0,0,2,0,0,3,0,7,0,1,9,1,0,0,9,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-20,1961,152,440,29,27,53,9,3,10,16,8,0,2,9,0,0,5,1,4,0,0,2,1,0,1,18,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-21,617,126,374,24,26,49,7,14,32,12,3,0,6,0,6,0,9,2,16,0,0,2,1,0,2,12,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-22,795,105,308,27,51,28,2,4,36,5,2,0,4,0,5,0,9,1,9,0,0,2,1,0,1,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-23,510,91,118,46,56,59,3,12,7,0,4,0,6,0,1,0,11,1,9,1,0,1,1,0,1,6,0,0,2,0,0,1,0,1,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-24,377,61,123,88,79,37,0,11,3,0,4,0,5,0,2,0,7,0,8,2,0,6,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-25,479,79,229,55,48,40,0,15,1,0,4,0,14,1,1,0,4,0,14,1,0,2,0,0,0,5,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-26,585,110,256,64,20,62,0,19,6,13,7,0,9,1,8,0,2,0,14,1,1,2,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-27,839,105,229,60,13,67,1,4,47,21,7,0,14,17,1,0,6,2,7,0,3,1,1,0,1,0,1,0,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-28,847,85,376,45,12,63,2,6,9,12,6,0,7,46,0,0,2,1,8,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-29,843,97,308,41,31,50,4,5,7,3,5,1,5,10,0,0,1,0,5,0,1,3,4,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-30,554,71,214,22,12,33,1,6,3,1,2,0,5,1,0,0,2,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
