title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2015-08-01,2016-01-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[8] Number of Jobs Running","[3] Number of Jobs Running","[6] Number of Jobs Running","[12] Number of Jobs Running","[10] Number of Jobs Running","[16] Number of Jobs Running","[5] Number of Jobs Running","[20] Number of Jobs Running","[7] Number of Jobs Running","[40] Number of Jobs Running","[32] Number of Jobs Running","[24] Number of Jobs Running","[18] Number of Jobs Running","[72] Number of Jobs Running","[9] Number of Jobs Running","[15] Number of Jobs Running","[30] Number of Jobs Running","[64] Number of Jobs Running","[11] Number of Jobs Running","[25] Number of Jobs Running","[22] Number of Jobs Running","[42] Number of Jobs Running","[14] Number of Jobs Running","[21] Number of Jobs Running","[48] Number of Jobs Running","[17] Number of Jobs Running","[36] Number of Jobs Running","[50] Number of Jobs Running","[13] Number of Jobs Running","[60] Number of Jobs Running","[70] Number of Jobs Running","[26] Number of Jobs Running","[19] Number of Jobs Running","[54] Number of Jobs Running","[43] Number of Jobs Running","[71] Number of Jobs Running","[28] Number of Jobs Running","[33] Number of Jobs Running","[56] Number of Jobs Running","[55] Number of Jobs Running","[67] Number of Jobs Running","[29] Number of Jobs Running","[51] Number of Jobs Running","[27] Number of Jobs Running","[65] Number of Jobs Running","[35] Number of Jobs Running","[41] Number of Jobs Running","[52] Number of Jobs Running","[58] Number of Jobs Running","[44] Number of Jobs Running","[45] Number of Jobs Running","[49] Number of Jobs Running","[34] Number of Jobs Running","[68] Number of Jobs Running","[23] Number of Jobs Running","[31] Number of Jobs Running","[37] Number of Jobs Running","[38] Number of Jobs Running","[46] Number of Jobs Running","[39] Number of Jobs Running","[57] Number of Jobs Running","[63] Number of Jobs Running","[66] Number of Jobs Running"
2015-08-01,3266,102,101,26,6,32,14,29,9,0,2,0,9,4,0,0,3,1,0,7,0,1,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,2736,149,68,16,12,12,7,32,7,2,2,0,11,2,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,1740,269,134,93,69,15,11,60,10,4,8,1,6,5,2,0,7,3,0,3,4,1,0,0,0,0,0,4,0,2,0,0,3,0,0,0,0,2,0,2,0,5,0,0,0,0,0,0,0,0,6,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
2015-08-04,1132,254,95,45,54,12,23,101,5,12,12,3,1,2,0,0,8,4,1,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,1187,293,72,54,43,21,24,91,45,4,2,1,5,2,0,1,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,1144,268,77,36,21,38,17,57,33,0,10,0,6,1,0,0,3,0,0,3,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,1320,212,55,36,86,41,10,65,34,0,6,0,9,2,0,0,2,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-08,1261,120,77,31,43,25,14,11,23,1,11,0,8,3,0,0,2,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,1893,161,83,26,48,23,17,18,13,2,11,0,12,10,1,0,3,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,2429,379,125,38,62,18,13,21,15,3,14,0,11,6,0,14,6,3,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,1540,297,80,22,60,14,19,19,24,13,23,0,27,4,1,0,3,2,0,2,0,0,0,9,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-12,21556,265,40,22,52,16,8,21,43,11,9,2,4,2,2,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-13,7402,215,112,21,71,42,19,18,37,11,9,1,0,12,3,19,2,1,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-14,2267,124,101,34,80,20,10,50,20,11,9,2,0,7,1,2,2,0,2,6,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-15,1226,118,78,30,77,25,3,27,26,9,10,19,0,7,2,0,3,0,1,5,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-16,790,189,117,38,79,51,4,28,22,16,5,8,0,5,1,0,1,0,3,1,3,0,0,0,0,0,0,2,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-17,1496,476,234,55,131,75,8,30,30,37,1,2,13,2,4,0,11,0,2,1,0,1,1,0,0,0,1,0,4,0,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-18,3394,213,200,35,92,35,10,29,20,19,0,11,1,13,0,1,9,0,2,2,6,1,1,0,0,0,8,0,4,1,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-19,10057,468,213,44,81,103,18,28,25,25,8,1,5,4,0,3,7,1,8,2,0,2,0,0,0,0,5,8,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-20,3292,374,252,35,56,58,8,20,25,14,11,1,5,0,0,3,10,1,13,2,0,1,0,1,2,0,3,21,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-08-21,2413,326,247,50,49,62,9,9,21,4,13,2,2,0,1,0,5,5,2,3,0,1,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-22,1845,234,242,38,35,9,17,4,16,3,11,1,3,0,5,4,1,17,4,9,0,1,3,1,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-23,1933,221,218,20,19,37,20,0,15,6,6,1,3,0,1,4,0,0,2,2,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-24,2830,379,134,57,23,77,18,4,23,39,5,9,3,1,3,8,4,6,8,15,0,1,2,0,0,5,0,0,0,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-25,2553,893,120,36,24,17,30,1,7,20,3,15,5,3,7,2,9,0,1,8,0,0,2,3,0,2,0,0,7,2,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-26,4700,303,133,45,18,7,14,24,42,11,8,7,3,8,11,0,5,3,5,47,3,0,1,3,0,3,3,1,3,1,7,1,2,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-27,21072,268,122,77,23,69,23,8,28,35,34,2,9,11,9,0,5,4,0,2,0,1,2,1,0,6,0,1,0,1,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-28,5571,263,109,57,9,63,14,13,11,55,23,0,5,16,5,0,8,2,0,1,0,4,2,0,0,1,0,2,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-29,33905,197,71,60,45,10,12,44,18,25,15,7,1,21,7,0,6,1,1,3,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
