title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2016-02-01,2016-07-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[10] Number of Jobs Running","[8] Number of Jobs Running","[3] Number of Jobs Running","[6] Number of Jobs Running","[12] Number of Jobs Running","[5] Number of Jobs Running","[16] Number of Jobs Running","[22] Number of Jobs Running","[24] Number of Jobs Running","[20] Number of Jobs Running","[64] Number of Jobs Running","[32] Number of Jobs Running","[60] Number of Jobs Running","[15] Number of Jobs Running","[9] Number of Jobs Running","[25] Number of Jobs Running","[7] Number of Jobs Running","[18] Number of Jobs Running","[30] Number of Jobs Running","[40] Number of Jobs Running","[72] Number of Jobs Running","[11] Number of Jobs Running","[48] Number of Jobs Running","[36] Number of Jobs Running","[50] Number of Jobs Running","[43] Number of Jobs Running","[14] Number of Jobs Running","[13] Number of Jobs Running","[17] Number of Jobs Running","[42] Number of Jobs Running","[70] Number of Jobs Running","[21] Number of Jobs Running","[62] Number of Jobs Running","[35] Number of Jobs Running","[45] Number of Jobs Running","[34] Number of Jobs Running","[28] Number of Jobs Running","[26] Number of Jobs Running","[54] Number of Jobs Running","[46] Number of Jobs Running","[38] Number of Jobs Running","[56] Number of Jobs Running","[19] Number of Jobs Running","[27] Number of Jobs Running","[33] Number of Jobs Running","[65] Number of Jobs Running","[55] Number of Jobs Running","[23] Number of Jobs Running","[31] Number of Jobs Running","[41] Number of Jobs Running","[53] Number of Jobs Running","[44] Number of Jobs Running","[52] Number of Jobs Running","[63] Number of Jobs Running","[49] Number of Jobs Running","[37] Number of Jobs Running","[39] Number of Jobs Running","[61] Number of Jobs Running","[67] Number of Jobs Running","[29] Number of Jobs Running","[47] Number of Jobs Running","[68] Number of Jobs Running","[58] Number of Jobs Running","[66] Number of Jobs Running","[57] Number of Jobs Running","[59] Number of Jobs Running"
2016-02-01,1652,415,125,14,143,23,24,31,4,32,4,4,19,0,0,0,2,4,8,0,1,0,16,11,3,0,0,0,0,3,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-02,3009,325,54,24,59,36,25,33,6,26,5,4,9,1,1,0,1,5,20,0,0,0,10,3,1,0,0,1,0,2,0,0,4,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2016-02-03,2749,1068,88,71,27,43,35,14,9,22,5,4,7,0,0,0,6,24,6,14,2,1,8,7,1,0,1,3,0,1,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-04,8764,803,85,78,57,27,34,77,32,17,4,5,6,2,0,0,11,37,0,11,0,0,13,2,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-05,3378,1357,83,80,34,26,24,27,19,12,11,4,5,0,1,0,31,9,0,16,2,0,13,12,2,0,0,4,9,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-06,2011,186,55,27,26,18,26,20,10,5,14,1,4,0,0,0,10,12,0,18,1,0,4,6,1,0,0,4,18,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-07,588,154,86,18,7,12,32,14,2,5,2,2,24,0,0,0,11,2,0,6,0,0,4,8,2,2,0,1,8,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-08,195,134,78,16,13,5,10,1,1,2,0,0,3,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-09,511,91,45,3,3,8,9,15,1,0,2,0,2,0,0,0,0,0,0,2,0,0,3,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-10,2001,337,63,20,49,33,13,18,30,3,8,3,7,0,3,0,6,2,26,4,4,4,16,13,11,1,2,3,10,2,3,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
