title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2012-02-01,2012-07-31
---------
Day,"[1] Number of Jobs Running","[4] Number of Jobs Running","[2] Number of Jobs Running","[16] Number of Jobs Running","[32] Number of Jobs Running","[8] Number of Jobs Running","[3] Number of Jobs Running","[20] Number of Jobs Running","[10] Number of Jobs Running","[64] Number of Jobs Running","[6] Number of Jobs Running","[5] Number of Jobs Running","[24] Number of Jobs Running","[12] Number of Jobs Running","[40] Number of Jobs Running","[15] Number of Jobs Running","[51] Number of Jobs Running","[30] Number of Jobs Running","[50] Number of Jobs Running","[36] Number of Jobs Running","[9] Number of Jobs Running","[35] Number of Jobs Running","[25] Number of Jobs Running","[7] Number of Jobs Running","[11] Number of Jobs Running","[18] Number of Jobs Running","[13] Number of Jobs Running","[31] Number of Jobs Running","[14] Number of Jobs Running","[17] Number of Jobs Running","[26] Number of Jobs Running","[33] Number of Jobs Running","[60] Number of Jobs Running","[38] Number of Jobs Running","[21] Number of Jobs Running","[63] Number of Jobs Running","[48] Number of Jobs Running","[28] Number of Jobs Running","[29] Number of Jobs Running","[57] Number of Jobs Running"
2012-03-05,26,6,22,2,1,4,5,0,2,4,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0
2012-03-06,41,5,80,4,1,2,4,0,4,3,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
2012-03-07,34,3,33,1,0,0,0,0,1,7,0,0,8,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2012-03-08,28,1,51,14,8,9,0,0,0,9,0,0,5,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
2012-03-09,24,0,5,7,8,6,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-10,35,0,21,4,3,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-11,6,0,18,4,2,3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-12,27,0,22,8,7,17,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-13,445,0,24,6,2,6,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-14,45,10,9,4,13,4,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-15,56,1,6,9,4,3,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-16,71,0,11,12,4,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-17,51,0,9,9,5,6,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-18,36,5,7,17,4,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-19,52,9,8,8,6,8,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-20,39,1,15,6,6,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-21,437,1,15,2,2,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-22,345,16,42,3,5,4,0,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
