title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2012-08-01,2013-01-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[3] Number of Jobs Running","[16] Number of Jobs Running","[32] Number of Jobs Running","[64] Number of Jobs Running","[8] Number of Jobs Running","[10] Number of Jobs Running","[6] Number of Jobs Running","[12] Number of Jobs Running","[38] Number of Jobs Running","[20] Number of Jobs Running","[9] Number of Jobs Running","[25] Number of Jobs Running","[5] Number of Jobs Running","[35] Number of Jobs Running","[36] Number of Jobs Running","[28] Number of Jobs Running","[24] Number of Jobs Running","[15] Number of Jobs Running","[128] Number of Jobs Running","[45] Number of Jobs Running","[50] Number of Jobs Running","[13] Number of Jobs Running","[18] Number of Jobs Running","[34] Number of Jobs Running","[7] Number of Jobs Running","[14] Number of Jobs Running","[40] Number of Jobs Running","[30] Number of Jobs Running","[52] Number of Jobs Running","[11] Number of Jobs Running","[17] Number of Jobs Running","[42] Number of Jobs Running","[100] Number of Jobs Running","[29] Number of Jobs Running","[55] Number of Jobs Running","[48] Number of Jobs Running","[21] Number of Jobs Running","[54] Number of Jobs Running","[60] Number of Jobs Running","[27] Number of Jobs Running","[39] Number of Jobs Running","[63] Number of Jobs Running","[80] Number of Jobs Running","[22] Number of Jobs Running","[43] Number of Jobs Running","[68] Number of Jobs Running","[19] Number of Jobs Running","[23] Number of Jobs Running","[26] Number of Jobs Running","[31] Number of Jobs Running","[33] Number of Jobs Running","[37] Number of Jobs Running","[41] Number of Jobs Running","[44] Number of Jobs Running","[46] Number of Jobs Running","[47] Number of Jobs Running","[49] Number of Jobs Running","[51] Number of Jobs Running","[53] Number of Jobs Running","[56] Number of Jobs Running","[57] Number of Jobs Running","[58] Number of Jobs Running","[59] Number of Jobs Running","[61] Number of Jobs Running","[62] Number of Jobs Running"
2012-08-01,1283,26,19,114,12,2,1,5,5,0,1,1,1,1,1,0,1,1,1,4,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2012-08-02,634,41,18,469,12,3,0,7,3,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-03,635,38,17,94,20,3,0,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-04,445,28,8,6,15,0,0,5,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-05,548,29,3,6,8,0,0,2,2,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-06,476,12,5,19,10,12,0,5,2,3,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-07,593,54,13,43,11,1,0,2,6,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-08,1884,62,14,43,16,3,1,13,4,0,1,0,0,3,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-09,1832,51,35,56,12,1,3,6,4,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-10,1430,56,11,33,10,0,4,4,3,1,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
