title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2013-02-01,2013-07-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[5] Number of Jobs Running","[3] Number of Jobs Running","[64] Number of Jobs Running","[16] Number of Jobs Running","[8] Number of Jobs Running","[32] Number of Jobs Running","[9] Number of Jobs Running","[12] Number of Jobs Running","[6] Number of Jobs Running","[25] Number of Jobs Running","[10] Number of Jobs Running","[11] Number of Jobs Running","[40] Number of Jobs Running","[35] Number of Jobs Running","[20] Number of Jobs Running","[15] Number of Jobs Running","[18] Number of Jobs Running","[128] Number of Jobs Running","[48] Number of Jobs Running","[96] Number of Jobs Running","[24] Number of Jobs Running","[19] Number of Jobs Running","[41] Number of Jobs Running","[14] Number of Jobs Running","[30] Number of Jobs Running","[7] Number of Jobs Running","[21] Number of Jobs Running","[33] Number of Jobs Running","[36] Number of Jobs Running","[23] Number of Jobs Running","[38] Number of Jobs Running","[45] Number of Jobs Running","[98] Number of Jobs Running","[91] Number of Jobs Running","[31] Number of Jobs Running","[60] Number of Jobs Running","[100] Number of Jobs Running","[22] Number of Jobs Running","[106] Number of Jobs Running","[108] Number of Jobs Running","[13] Number of Jobs Running","[69] Number of Jobs Running","[93] Number of Jobs Running","[44] Number of Jobs Running","[62] Number of Jobs Running","[28] Number of Jobs Running","[57] Number of Jobs Running","[110] Number of Jobs Running","[112] Number of Jobs Running","[26] Number of Jobs Running","[43] Number of Jobs Running","[72] Number of Jobs Running","[104] Number of Jobs Running"
2013-02-01,488,26,14,0,4,9,6,3,23,2,2,4,15,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-02,390,8,6,0,2,9,5,2,6,0,1,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-03,351,2,13,0,3,18,8,0,19,3,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,963,25,4,11,5,25,7,1,12,4,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-05,1129,56,17,1,9,21,7,2,6,9,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-06,1127,79,64,1,13,13,4,4,6,13,3,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-07,563,52,81,0,2,17,6,3,6,8,4,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2013-02-08,598,42,29,0,2,26,9,7,10,4,3,3,0,3,5,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2013-02-09,403,15,29,3,8,23,8,1,2,8,2,5,0,3,4,0,0,1,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-10,202,2,23,0,0,26,6,0,6,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-11,345,15,125,0,0,15,9,3,6,16,0,1,0,0,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-12,357,14,77,0,0,18,4,2,5,9,0,0,0,0,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-13,1055,29,66,0,10,13,14,2,5,7,0,1,0,0,27,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-14,1309,58,60,0,0,20,4,1,2,6,0,0,0,5,7,0,0,0,3,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-15,368,26,54,0,5,41,5,1,6,9,0,5,0,5,17,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-16,359,38,41,0,1,22,10,1,4,7,0,0,0,0,14,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-17,395,208,55,0,1,21,10,3,9,3,6,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-18,472,137,34,0,0,10,18,3,5,8,4,1,0,1,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-19,459,123,18,0,5,10,18,7,10,4,3,11,0,15,16,0,0,0,2,11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-20,847,93,15,0,2,14,15,32,3,12,6,0,0,12,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-21,571,87,15,0,7,19,10,14,15,13,5,0,0,4,13,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-22,529,102,21,0,5,39,4,2,14,11,6,0,0,0,7,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-23,303,73,12,0,11,20,6,7,2,4,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
