title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2014-08-01,2015-01-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[8] Number of Jobs Running","[3] Number of Jobs Running","[32] Number of Jobs Running","[16] Number of Jobs Running","[5] Number of Jobs Running","[6] Number of Jobs Running","[12] Number of Jobs Running","[7] Number of Jobs Running","[17] Number of Jobs Running","[64] Number of Jobs Running","[10] Number of Jobs Running","[30] Number of Jobs Running","[28] Number of Jobs Running","[40] Number of Jobs Running","[20] Number of Jobs Running","[9] Number of Jobs Running","[60] Number of Jobs Running","[14] Number of Jobs Running","[128] Number of Jobs Running","[19] Number of Jobs Running","[25] Number of Jobs Running","[22] Number of Jobs Running","[42] Number of Jobs Running","[24] Number of Jobs Running","[26] Number of Jobs Running","[18] Number of Jobs Running","[96] Number of Jobs Running","[11] Number of Jobs Running","[13] Number of Jobs Running","[43] Number of Jobs Running","[50] Number of Jobs Running","[38] Number of Jobs Running","[36] Number of Jobs Running","[15] Number of Jobs Running","[33] Number of Jobs Running","[48] Number of Jobs Running","[44] Number of Jobs Running","[52] Number of Jobs Running","[49] Number of Jobs Running","[27] Number of Jobs Running","[31] Number of Jobs Running","[46] Number of Jobs Running","[94] Number of Jobs Running","[34] Number of Jobs Running","[256] Number of Jobs Running","[74] Number of Jobs Running","[126] Number of Jobs Running","[41] Number of Jobs Running","[93] Number of Jobs Running","[100] Number of Jobs Running","[112] Number of Jobs Running","[39] Number of Jobs Running","[54] Number of Jobs Running","[55] Number of Jobs Running","[56] Number of Jobs Running","[68] Number of Jobs Running","[76] Number of Jobs Running","[86] Number of Jobs Running","[29] Number of Jobs Running","[35] Number of Jobs Running","[51] Number of Jobs Running","[53] Number of Jobs Running","[65] Number of Jobs Running","[103] Number of Jobs Running"
2014-08-01,1877,53,57,73,5,0,8,19,6,2,0,3,4,5,0,0,0,5,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-02,723,66,76,44,6,0,2,22,0,1,0,0,2,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-03,693,75,67,47,12,0,3,16,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-04,1030,110,83,77,12,0,5,21,3,1,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-05,1645,97,85,37,38,0,3,12,3,1,1,2,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-06,1710,115,95,92,26,0,0,10,5,1,1,1,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-07,2009,89,93,120,26,2,11,2,7,0,0,12,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-08,1339,87,89,45,26,2,6,0,5,0,0,1,1,0,0,2,0,3,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-09,828,72,102,51,4,0,17,0,1,1,0,2,1,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-10,579,82,101,81,11,0,10,0,3,4,0,9,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-11,634,99,91,86,212,0,3,0,4,0,0,4,3,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-12,1042,90,102,90,22,0,6,0,6,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-13,1311,102,93,75,9,1,6,0,10,1,6,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-14,1257,61,79,129,8,7,9,1,6,2,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014-08-15,1696,42,100,174,33,7,6,1,5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-16,1387,23,151,77,13,0,7,1,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-17,1017,28,132,70,15,0,6,2,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
