title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[3] Number of Jobs Running","[8] Number of Jobs Running","[16] Number of Jobs Running","[6] Number of Jobs Running","[64] Number of Jobs Running","[5] Number of Jobs Running","[32] Number of Jobs Running","[19] Number of Jobs Running","[20] Number of Jobs Running","[10] Number of Jobs Running","[18] Number of Jobs Running","[25] Number of Jobs Running","[7] Number of Jobs Running","[12] Number of Jobs Running","[11] Number of Jobs Running","[9] Number of Jobs Running","[40] Number of Jobs Running","[21] Number of Jobs Running","[17] Number of Jobs Running","[28] Number of Jobs Running","[13] Number of Jobs Running","[24] Number of Jobs Running","[50] Number of Jobs Running","[30] Number of Jobs Running","[60] Number of Jobs Running","[35] Number of Jobs Running","[15] Number of Jobs Running","[45] Number of Jobs Running","[100] Number of Jobs Running","[128] Number of Jobs Running","[48] Number of Jobs Running","[14] Number of Jobs Running","[33] Number of Jobs Running","[63] Number of Jobs Running","[22] Number of Jobs Running","[34] Number of Jobs Running","[53] Number of Jobs Running","[93] Number of Jobs Running","[36] Number of Jobs Running","[42] Number of Jobs Running","[43] Number of Jobs Running","[54] Number of Jobs Running","[96] Number of Jobs Running","[55] Number of Jobs Running","[113] Number of Jobs Running","[26] Number of Jobs Running","[68] Number of Jobs Running","[23] Number of Jobs Running","[41] Number of Jobs Running","[27] Number of Jobs Running","[31] Number of Jobs Running","[37] Number of Jobs Running","[44] Number of Jobs Running","[69] Number of Jobs Running","[29] Number of Jobs Running","[59] Number of Jobs Running","[87] Number of Jobs Running","[88] Number of Jobs Running","[38] Number of Jobs Running","[46] Number of Jobs Running","[51] Number of Jobs Running","[52] Number of Jobs Running","[61] Number of Jobs Running","[65] Number of Jobs Running","[70] Number of Jobs Running","[74] Number of Jobs Running","[79] Number of Jobs Running","[80] Number of Jobs Running","[81] Number of Jobs Running","[85] Number of Jobs Running","[90] Number of Jobs Running","[118] Number of Jobs Running"
2015-02-01,1802,41,64,12,41,9,10,3,12,5,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,1982,34,74,11,50,5,2,10,13,13,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03,1107,45,68,7,50,9,9,5,12,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04,1098,34,56,7,46,11,5,9,19,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015-02-05,1313,55,50,2,58,7,4,3,18,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06,1264,38,41,13,63,8,3,2,18,1,0,0,1,2,0,0,1,1,0,0,0,0,2,0,0,4,1,0,0,0,1,0,3,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-02-07,1627,22,53,16,44,14,2,1,8,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-02-08,997,48,39,6,28,11,13,2,7,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2015-02-09,2114,54,82,19,35,6,21,3,8,4,0,0,2,6,0,1,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2015-02-10,3096,72,75,15,17,6,4,1,8,2,0,12,9,6,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,12,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
