title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2015-08-01,2016-01-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[8] Number of Jobs Running","[3] Number of Jobs Running","[16] Number of Jobs Running","[10] Number of Jobs Running","[6] Number of Jobs Running","[32] Number of Jobs Running","[64] Number of Jobs Running","[9] Number of Jobs Running","[5] Number of Jobs Running","[12] Number of Jobs Running","[15] Number of Jobs Running","[17] Number of Jobs Running","[20] Number of Jobs Running","[33] Number of Jobs Running","[18] Number of Jobs Running","[100] Number of Jobs Running","[21] Number of Jobs Running","[24] Number of Jobs Running","[19] Number of Jobs Running","[128] Number of Jobs Running","[40] Number of Jobs Running","[48] Number of Jobs Running","[96] Number of Jobs Running","[60] Number of Jobs Running","[28] Number of Jobs Running","[7] Number of Jobs Running","[30] Number of Jobs Running","[26] Number of Jobs Running","[56] Number of Jobs Running","[11] Number of Jobs Running","[59] Number of Jobs Running","[36] Number of Jobs Running","[43] Number of Jobs Running","[25] Number of Jobs Running","[38] Number of Jobs Running","[22] Number of Jobs Running","[34] Number of Jobs Running","[29] Number of Jobs Running","[45] Number of Jobs Running","[50] Number of Jobs Running","[52] Number of Jobs Running","[57] Number of Jobs Running","[13] Number of Jobs Running","[47] Number of Jobs Running","[14] Number of Jobs Running","[27] Number of Jobs Running","[120] Number of Jobs Running","[126] Number of Jobs Running","[23] Number of Jobs Running","[35] Number of Jobs Running","[55] Number of Jobs Running","[62] Number of Jobs Running","[63] Number of Jobs Running","[65] Number of Jobs Running","[99] Number of Jobs Running","[114] Number of Jobs Running"
2015-08-01,682,24,25,3,2,1,0,9,10,10,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,617,34,21,3,10,10,1,3,14,11,0,4,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,822,44,45,22,19,15,0,3,3,12,0,7,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,826,67,73,18,6,7,0,2,3,14,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,880,32,48,9,6,3,0,5,7,12,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,692,17,51,10,12,3,0,5,22,12,0,2,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,524,14,42,0,15,4,0,2,12,9,0,2,1,0,0,0,1,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015-08-08,429,49,81,17,39,12,2,1,14,10,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,530,80,129,12,68,8,1,0,4,10,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,846,44,126,13,86,6,0,0,7,5,0,2,1,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
