title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2012-08-01,2013-01-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[8] Number of Jobs Running","[16] Number of Jobs Running","[10] Number of Jobs Running","[256] Number of Jobs Running","[3] Number of Jobs Running","[12] Number of Jobs Running","[32] Number of Jobs Running","[6] Number of Jobs Running","[5] Number of Jobs Running","[20] Number of Jobs Running","[64] Number of Jobs Running","[128] Number of Jobs Running","[15] Number of Jobs Running","[7] Number of Jobs Running","[9] Number of Jobs Running","[14] Number of Jobs Running","[200] Number of Jobs Running","[30] Number of Jobs Running","[45] Number of Jobs Running","[1024] Number of Jobs Running","[36] Number of Jobs Running","[11] Number of Jobs Running","[100] Number of Jobs Running","[13] Number of Jobs Running","[106] Number of Jobs Running","[48] Number of Jobs Running","[50] Number of Jobs Running","[22] Number of Jobs Running","[25] Number of Jobs Running","[24] Number of Jobs Running","[35] Number of Jobs Running","[136] Number of Jobs Running","[23] Number of Jobs Running","[75] Number of Jobs Running","[192] Number of Jobs Running","[80] Number of Jobs Running","[160] Number of Jobs Running","[68] Number of Jobs Running","[17] Number of Jobs Running","[208] Number of Jobs Running","[28] Number of Jobs Running","[230] Number of Jobs Running","[34] Number of Jobs Running","[40] Number of Jobs Running","[181] Number of Jobs Running","[150] Number of Jobs Running","[132] Number of Jobs Running","[39] Number of Jobs Running","[46] Number of Jobs Running","[250] Number of Jobs Running","[18] Number of Jobs Running","[54] Number of Jobs Running","[70] Number of Jobs Running","[512] Number of Jobs Running","[21] Number of Jobs Running","[51] Number of Jobs Running","[232] Number of Jobs Running","[19] Number of Jobs Running","[66] Number of Jobs Running","[71] Number of Jobs Running","[152] Number of Jobs Running","[168] Number of Jobs Running","[216] Number of Jobs Running","[85] Number of Jobs Running","[120] Number of Jobs Running","[129] Number of Jobs Running","[86] Number of Jobs Running","[175] Number of Jobs Running","[213] Number of Jobs Running","[224] Number of Jobs Running","[31] Number of Jobs Running","[110] Number of Jobs Running","[49] Number of Jobs Running","[60] Number of Jobs Running","[113] Number of Jobs Running","[27] Number of Jobs Running","[63] Number of Jobs Running","[65] Number of Jobs Running","[67] Number of Jobs Running","[90] Number of Jobs Running","[165] Number of Jobs Running","[210] Number of Jobs Running","[72] Number of Jobs Running","[84] Number of Jobs Running","[96] Number of Jobs Running","[140] Number of Jobs Running","[183] Number of Jobs Running","[194] Number of Jobs Running","[225] Number of Jobs Running"
2013-01-07,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-08,598,32,26,6,1,0,4,5,5,13,2,0,0,1,8,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,5,0,0,6,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
2013-01-09,155,93,94,50,48,17,75,17,28,12,27,17,6,6,2,24,16,16,16,0,0,0,13,5,16,11,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,3,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-10,187,408,88,6,38,5,59,19,5,7,7,2,17,2,4,6,2,7,0,0,2,0,3,6,0,1,0,0,4,0,0,1,1,0,0,0,5,0,0,4,0,1,0,2,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-11,1017,325,123,26,27,41,12,7,4,28,38,3,21,6,3,1,2,4,1,0,0,15,0,3,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,8,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
2013-01-12,146,74,157,19,6,17,38,11,4,3,5,0,7,2,3,0,4,4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,17,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-01-13,1027,87,132,12,34,6,28,22,6,14,5,8,2,11,12,2,12,14,2,1,0,4,14,0,2,0,2,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-14,3247,163,81,18,10,3,3,8,2,2,4,0,2,2,3,0,2,2,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-15,1673,29,43,10,21,30,32,9,11,1,0,1,11,10,0,0,0,2,0,0,0,3,0,7,0,0,0,0,0,0,0,9,0,2,0,0,1,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-16,3364,247,200,84,86,64,32,16,20,66,10,0,14,4,1,0,11,4,1,0,0,3,0,10,0,0,0,0,0,2,0,15,0,12,1,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-17,3270,85,80,28,15,41,24,12,15,3,5,54,18,2,0,4,4,6,6,0,0,1,1,3,4,1,4,0,0,0,0,4,0,1,1,0,2,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-18,3020,139,91,29,33,9,24,23,21,1,9,54,26,4,1,4,5,5,11,0,0,1,3,3,4,1,4,0,0,0,4,0,4,2,0,4,1,0,0,0,1,4,0,0,0,1,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-19,1772,87,177,84,79,4,25,1,8,28,6,6,11,2,3,1,0,0,5,0,1,4,2,1,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-20,2139,71,109,126,41,10,5,9,17,9,7,1,0,0,1,0,6,4,8,0,3,2,5,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-21,1651,36,85,68,61,9,2,18,9,0,5,0,2,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
