title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2014-02-01,2014-07-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[16] Number of Jobs Running","[4] Number of Jobs Running","[8] Number of Jobs Running","[5] Number of Jobs Running","[3] Number of Jobs Running","[64] Number of Jobs Running","[9] Number of Jobs Running","[6] Number of Jobs Running","[32] Number of Jobs Running","[10] Number of Jobs Running","[7] Number of Jobs Running","[24] Number of Jobs Running","[48] Number of Jobs Running","[12] Number of Jobs Running","[18] Number of Jobs Running","[17] Number of Jobs Running","[30] Number of Jobs Running","[37] Number of Jobs Running","[256] Number of Jobs Running","[128] Number of Jobs Running","[20] Number of Jobs Running","[13] Number of Jobs Running","[25] Number of Jobs Running","[100] Number of Jobs Running","[15] Number of Jobs Running","[40] Number of Jobs Running","[14] Number of Jobs Running","[11] Number of Jobs Running","[80] Number of Jobs Running","[74] Number of Jobs Running","[36] Number of Jobs Running","[82] Number of Jobs Running","[27] Number of Jobs Running","[50] Number of Jobs Running","[60] Number of Jobs Running","[181] Number of Jobs Running","[157] Number of Jobs Running","[244] Number of Jobs Running","[1024] Number of Jobs Running","[192] Number of Jobs Running","[240] Number of Jobs Running","[512] Number of Jobs Running","[19] Number of Jobs Running","[45] Number of Jobs Running","[21] Number of Jobs Running","[28] Number of Jobs Running","[250] Number of Jobs Running","[125] Number of Jobs Running","[34] Number of Jobs Running","[62] Number of Jobs Running","[63] Number of Jobs Running","[216] Number of Jobs Running","[38] Number of Jobs Running","[26] Number of Jobs Running","[31] Number of Jobs Running","[144] Number of Jobs Running","[33] Number of Jobs Running","[135] Number of Jobs Running","[96] Number of Jobs Running","[57] Number of Jobs Running","[72] Number of Jobs Running","[22] Number of Jobs Running","[120] Number of Jobs Running","[23] Number of Jobs Running","[252] Number of Jobs Running","[127] Number of Jobs Running","[81] Number of Jobs Running","[160] Number of Jobs Running","[43] Number of Jobs Running","[35] Number of Jobs Running","[122] Number of Jobs Running","[108] Number of Jobs Running","[109] Number of Jobs Running","[77] Number of Jobs Running","[29] Number of Jobs Running","[75] Number of Jobs Running","[148] Number of Jobs Running","[180] Number of Jobs Running","[68] Number of Jobs Running","[200] Number of Jobs Running","[49] Number of Jobs Running","[92] Number of Jobs Running","[183] Number of Jobs Running","[220] Number of Jobs Running","[56] Number of Jobs Running","[84] Number of Jobs Running","[54] Number of Jobs Running","[61] Number of Jobs Running","[46] Number of Jobs Running","[140] Number of Jobs Running","[44] Number of Jobs Running","[90] Number of Jobs Running","[119] Number of Jobs Running","[42] Number of Jobs Running","[65] Number of Jobs Running","[47] Number of Jobs Running","[110] Number of Jobs Running","[121] Number of Jobs Running","[500] Number of Jobs Running","[150] Number of Jobs Running","[41] Number of Jobs Running","[241] Number of Jobs Running","[70] Number of Jobs Running","[168] Number of Jobs Running","[196] Number of Jobs Running","[85] Number of Jobs Running","[98] Number of Jobs Running","[225] Number of Jobs Running","[129] Number of Jobs Running","[162] Number of Jobs Running","[224] Number of Jobs Running","[52] Number of Jobs Running","[55] Number of Jobs Running","[102] Number of Jobs Running","[768] Number of Jobs Running","[2048] Number of Jobs Running","[39] Number of Jobs Running","[219] Number of Jobs Running","[625] Number of Jobs Running","[66] Number of Jobs Running","[111] Number of Jobs Running","[147] Number of Jobs Running","[182] Number of Jobs Running","[185] Number of Jobs Running","[576] Number of Jobs Running","[132] Number of Jobs Running","[187] Number of Jobs Running","[190] Number of Jobs Running","[361] Number of Jobs Running","[864] Number of Jobs Running","[95] Number of Jobs Running","[138] Number of Jobs Running","[217] Number of Jobs Running","[729] Number of Jobs Running","[126] Number of Jobs Running","[130] Number of Jobs Running","[226] Number of Jobs Running","[282] Number of Jobs Running","[480] Number of Jobs Running","[485] Number of Jobs Running","[165] Number of Jobs Running","[169] Number of Jobs Running","[1000] Number of Jobs Running","[76] Number of Jobs Running","[78] Number of Jobs Running","[101] Number of Jobs Running","[172] Number of Jobs Running","[430] Number of Jobs Running","[641] Number of Jobs Running","[104] Number of Jobs Running","[123] Number of Jobs Running","[124] Number of Jobs Running","[210] Number of Jobs Running","[450] Number of Jobs Running","[506] Number of Jobs Running","[638] Number of Jobs Running","[53] Number of Jobs Running","[86] Number of Jobs Running","[107] Number of Jobs Running","[112] Number of Jobs Running","[156] Number of Jobs Running","[237] Number of Jobs Running","[242] Number of Jobs Running","[420] Number of Jobs Running","[640] Number of Jobs Running","[51] Number of Jobs Running","[73] Number of Jobs Running","[161] Number of Jobs Running","[170] Number of Jobs Running","[136] Number of Jobs Running","[146] Number of Jobs Running","[194] Number of Jobs Running","[218] Number of Jobs Running","[280] Number of Jobs Running","[330] Number of Jobs Running","[375] Number of Jobs Running","[59] Number of Jobs Running","[115] Number of Jobs Running","[164] Number of Jobs Running","[176] Number of Jobs Running","[232] Number of Jobs Running","[248] Number of Jobs Running","[255] Number of Jobs Running","[300] Number of Jobs Running","[350] Number of Jobs Running","[384] Number of Jobs Running","[407] Number of Jobs Running","[422] Number of Jobs Running","[470] Number of Jobs Running","[827] Number of Jobs Running","[83] Number of Jobs Running","[105] Number of Jobs Running","[113] Number of Jobs Running","[114] Number of Jobs Running","[133] Number of Jobs Running","[154] Number of Jobs Running","[155] Number of Jobs Running","[166] Number of Jobs Running","[201] Number of Jobs Running","[208] Number of Jobs Running","[211] Number of Jobs Running","[245] Number of Jobs Running","[288] Number of Jobs Running","[310] Number of Jobs Running","[340] Number of Jobs Running","[400] Number of Jobs Running","[410] Number of Jobs Running","[435] Number of Jobs Running","[484] Number of Jobs Running","[490] Number of Jobs Running","[67] Number of Jobs Running","[88] Number of Jobs Running","[99] Number of Jobs Running","[143] Number of Jobs Running","[151] Number of Jobs Running","[167] Number of Jobs Running","[188] Number of Jobs Running","[212] Number of Jobs Running","[222] Number of Jobs Running","[243] Number of Jobs Running","[249] Number of Jobs Running","[251] Number of Jobs Running","[259] Number of Jobs Running","[290] Number of Jobs Running","[320] Number of Jobs Running","[321] Number of Jobs Running","[345] Number of Jobs Running","[360] Number of Jobs Running","[370] Number of Jobs Running","[386] Number of Jobs Running","[391] Number of Jobs Running","[437] Number of Jobs Running","[440] Number of Jobs Running","[460] Number of Jobs Running","[481] Number of Jobs Running","[513] Number of Jobs Running","[519] Number of Jobs Running","[900] Number of Jobs Running","[1001] Number of Jobs Running"
2014-02-01,8796,287,326,186,156,88,76,51,8,77,61,47,442,7,4,19,16,0,2,0,10,29,9,2,17,17,4,13,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,9414,539,131,208,177,32,56,101,9,102,38,65,82,13,1,23,13,2,4,0,5,18,9,11,25,16,4,6,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,3536,485,626,289,159,14,69,59,8,78,54,98,38,8,1,13,18,3,5,0,20,18,7,9,13,15,6,4,0,5,0,0,0,0,0,6,0,0,0,0,3,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,4,0,1,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-04,2493,406,806,198,227,25,117,48,15,21,40,83,79,8,2,7,12,0,3,0,19,12,14,25,7,14,6,8,0,8,1,0,0,0,2,5,2,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,2,2,0,0,0,3,1,5,0,0,2,5,0,0,0,0,1,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,5023,615,422,175,324,28,132,48,10,25,48,54,17,4,4,67,17,0,6,1,19,5,18,5,13,15,6,5,0,5,5,0,0,5,0,6,2,0,0,0,0,7,0,0,1,0,8,0,0,0,1,0,0,0,2,0,0,0,13,0,0,0,0,4,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-06,5232,645,134,192,369,35,119,37,11,50,37,21,12,4,8,46,14,1,1,0,19,8,20,9,14,15,7,3,1,2,2,0,0,0,0,5,2,0,0,0,0,0,0,1,3,0,2,0,0,0,1,0,0,0,6,0,0,0,6,1,0,2,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-07,2732,667,149,433,516,106,225,50,22,69,29,104,28,3,4,40,16,2,2,0,12,7,16,4,27,16,25,7,0,0,0,0,0,0,0,5,1,1,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,7,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,7878,579,156,254,181,67,43,61,19,58,32,367,7,0,5,77,13,0,1,0,6,2,18,5,22,16,67,2,0,1,0,0,0,0,0,7,0,1,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,10829,623,250,210,213,52,31,38,15,30,44,632,10,2,2,81,15,0,4,0,8,1,17,6,32,20,3,1,1,2,0,0,2,0,0,6,0,1,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-10,4617,643,734,432,168,55,68,33,16,85,61,22,14,1,3,28,16,0,2,0,8,5,11,6,12,15,6,19,11,1,0,0,1,0,0,5,0,7,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
