title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2014-08-01,2015-01-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[5] Number of Jobs Running","[4] Number of Jobs Running","[16] Number of Jobs Running","[8] Number of Jobs Running","[3] Number of Jobs Running","[6] Number of Jobs Running","[24] Number of Jobs Running","[32] Number of Jobs Running","[74] Number of Jobs Running","[64] Number of Jobs Running","[10] Number of Jobs Running","[9] Number of Jobs Running","[12] Number of Jobs Running","[30] Number of Jobs Running","[7] Number of Jobs Running","[60] Number of Jobs Running","[256] Number of Jobs Running","[20] Number of Jobs Running","[128] Number of Jobs Running","[13] Number of Jobs Running","[14] Number of Jobs Running","[15] Number of Jobs Running","[18] Number of Jobs Running","[25] Number of Jobs Running","[17] Number of Jobs Running","[40] Number of Jobs Running","[48] Number of Jobs Running","[11] Number of Jobs Running","[80] Number of Jobs Running","[240] Number of Jobs Running","[23] Number of Jobs Running","[36] Number of Jobs Running","[100] Number of Jobs Running","[50] Number of Jobs Running","[1024] Number of Jobs Running","[216] Number of Jobs Running","[19] Number of Jobs Running","[512] Number of Jobs Running","[120] Number of Jobs Running","[96] Number of Jobs Running","[21] Number of Jobs Running","[63] Number of Jobs Running","[22] Number of Jobs Running","[82] Number of Jobs Running","[57] Number of Jobs Running","[250] Number of Jobs Running","[77] Number of Jobs Running","[157] Number of Jobs Running","[34] Number of Jobs Running","[90] Number of Jobs Running","[38] Number of Jobs Running","[28] Number of Jobs Running","[33] Number of Jobs Running","[160] Number of Jobs Running","[121] Number of Jobs Running","[127] Number of Jobs Running","[168] Number of Jobs Running","[27] Number of Jobs Running","[70] Number of Jobs Running","[65] Number of Jobs Running","[225] Number of Jobs Running","[68] Number of Jobs Running","[45] Number of Jobs Running","[61] Number of Jobs Running","[75] Number of Jobs Running","[93] Number of Jobs Running","[53] Number of Jobs Running","[26] Number of Jobs Running","[102] Number of Jobs Running","[150] Number of Jobs Running","[98] Number of Jobs Running","[72] Number of Jobs Running","[52] Number of Jobs Running","[62] Number of Jobs Running","[54] Number of Jobs Running","[192] Number of Jobs Running","[108] Number of Jobs Running","[43] Number of Jobs Running","[29] Number of Jobs Running","[42] Number of Jobs Running","[140] Number of Jobs Running","[31] Number of Jobs Running","[55] Number of Jobs Running","[144] Number of Jobs Running","[39] Number of Jobs Running","[41] Number of Jobs Running","[35] Number of Jobs Running","[125] Number of Jobs Running","[46] Number of Jobs Running","[76] Number of Jobs Running","[864] Number of Jobs Running","[129] Number of Jobs Running","[224] Number of Jobs Running","[252] Number of Jobs Running","[151] Number of Jobs Running","[147] Number of Jobs Running","[116] Number of Jobs Running","[44] Number of Jobs Running","[126] Number of Jobs Running","[234] Number of Jobs Running","[37] Number of Jobs Running","[78] Number of Jobs Running","[118] Number of Jobs Running","[47] Number of Jobs Running","[56] Number of Jobs Running","[153] Number of Jobs Running","[49] Number of Jobs Running","[113] Number of Jobs Running","[135] Number of Jobs Running","[680] Number of Jobs Running","[79] Number of Jobs Running","[179] Number of Jobs Running","[200] Number of Jobs Running","[81] Number of Jobs Running","[94] Number of Jobs Running","[600] Number of Jobs Running","[640] Number of Jobs Running","[85] Number of Jobs Running","[112] Number of Jobs Running","[288] Number of Jobs Running","[660] Number of Jobs Running","[51] Number of Jobs Running","[71] Number of Jobs Running","[320] Number of Jobs Running","[2048] Number of Jobs Running","[155] Number of Jobs Running","[188] Number of Jobs Running","[780] Number of Jobs Running","[790] Number of Jobs Running","[86] Number of Jobs Running","[176] Number of Jobs Running","[255] Number of Jobs Running","[101] Number of Jobs Running","[114] Number of Jobs Running","[500] Number of Jobs Running","[4096] Number of Jobs Running","[407] Number of Jobs Running","[1000] Number of Jobs Running","[138] Number of Jobs Running","[84] Number of Jobs Running","[133] Number of Jobs Running","[650] Number of Jobs Running","[59] Number of Jobs Running","[95] Number of Jobs Running","[154] Number of Jobs Running","[203] Number of Jobs Running","[760] Number of Jobs Running","[810] Number of Jobs Running","[69] Number of Jobs Running","[119] Number of Jobs Running","[122] Number of Jobs Running","[1728] Number of Jobs Running","[117] Number of Jobs Running","[123] Number of Jobs Running","[132] Number of Jobs Running","[172] Number of Jobs Running","[180] Number of Jobs Running","[207] Number of Jobs Running","[208] Number of Jobs Running","[220] Number of Jobs Running","[480] Number of Jobs Running","[529] Number of Jobs Running","[92] Number of Jobs Running","[124] Number of Jobs Running","[204] Number of Jobs Running","[210] Number of Jobs Running","[384] Number of Jobs Running","[745] Number of Jobs Running","[785] Number of Jobs Running","[800] Number of Jobs Running","[945] Number of Jobs Running","[89] Number of Jobs Running","[104] Number of Jobs Running","[105] Number of Jobs Running","[107] Number of Jobs Running","[137] Number of Jobs Running","[152] Number of Jobs Running","[162] Number of Jobs Running","[187] Number of Jobs Running","[197] Number of Jobs Running","[205] Number of Jobs Running","[211] Number of Jobs Running","[235] Number of Jobs Running","[313] Number of Jobs Running","[324] Number of Jobs Running","[473] Number of Jobs Running","[486] Number of Jobs Running","[690] Number of Jobs Running","[700] Number of Jobs Running","[58] Number of Jobs Running","[66] Number of Jobs Running","[67] Number of Jobs Running","[83] Number of Jobs Running","[99] Number of Jobs Running","[106] Number of Jobs Running","[109] Number of Jobs Running","[183] Number of Jobs Running","[251] Number of Jobs Running","[375] Number of Jobs Running","[576] Number of Jobs Running","[670] Number of Jobs Running","[720] Number of Jobs Running","[725] Number of Jobs Running","[729] Number of Jobs Running","[740] Number of Jobs Running","[88] Number of Jobs Running","[103] Number of Jobs Running","[143] Number of Jobs Running","[169] Number of Jobs Running","[171] Number of Jobs Running","[175] Number of Jobs Running","[184] Number of Jobs Running","[189] Number of Jobs Running","[236] Number of Jobs Running","[244] Number of Jobs Running","[248] Number of Jobs Running","[300] Number of Jobs Running","[358] Number of Jobs Running","[620] Number of Jobs Running","[710] Number of Jobs Running","[730] Number of Jobs Running","[750] Number of Jobs Running","[768] Number of Jobs Running","[769] Number of Jobs Running","[960] Number of Jobs Running"
2014-08-01,2643,517,1164,309,234,391,209,126,15,35,0,30,109,12,27,45,4,2,4,23,0,61,10,9,5,11,10,10,4,1,42,2,5,2,3,0,0,0,5,0,0,1,0,0,1,29,3,6,2,7,0,3,1,1,5,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-02,3923,520,2081,204,141,330,123,62,9,28,0,30,87,13,19,96,8,6,4,10,2,68,3,9,7,15,11,10,5,0,26,1,9,0,4,0,0,0,1,0,2,1,0,0,1,22,0,1,0,5,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-03,3007,529,317,212,142,295,111,51,3,30,0,30,15,762,7,100,1,1,12,5,0,201,0,3,16,16,10,5,4,1,22,10,33,0,1,0,0,0,6,0,1,0,0,0,0,19,0,1,0,3,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-04,3385,901,892,286,161,180,38,63,2,23,0,26,76,48,4,83,2,0,0,2,1,35,1,2,1,21,10,2,6,2,18,11,14,0,3,0,0,0,1,0,0,0,0,0,0,0,15,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-05,642,307,1540,176,106,53,33,82,3,26,0,45,49,34,5,35,9,1,7,6,0,80,0,1,6,4,7,2,3,1,0,0,1,0,1,0,0,0,6,0,0,0,0,1,4,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-06,1488,727,243,382,274,232,84,157,6,139,0,47,69,58,17,147,42,1,11,30,21,19,0,4,10,7,14,4,11,2,1,9,4,2,2,0,0,0,6,0,4,0,0,1,2,0,2,0,4,3,4,0,0,1,0,1,0,2,0,2,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,6,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-07,1893,458,25,302,256,252,60,107,3,73,0,48,48,25,37,70,9,2,21,32,18,71,7,0,9,6,6,5,7,1,5,7,4,1,1,0,4,0,9,6,2,0,0,2,2,0,1,0,7,3,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-08-08,1955,643,101,300,243,210,130,79,11,92,1722,32,55,30,53,55,1,3,12,18,10,13,12,9,7,7,9,2,4,1,5,6,3,3,2,0,9,0,15,5,1,0,0,4,1,0,2,0,5,3,0,0,0,2,0,4,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-09,1877,673,2588,192,164,237,100,25,13,65,3016,15,104,28,25,67,1,3,7,11,5,106,6,1,5,55,13,1,6,1,3,4,4,1,0,0,0,0,3,0,1,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-10,4165,245,2552,137,163,137,93,20,12,40,0,20,80,20,22,68,0,1,9,8,0,2,0,0,3,89,10,1,8,2,0,3,2,0,0,0,0,0,8,0,2,1,0,2,0,0,0,0,8,1,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
