title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[6] Number of Jobs Running","[16] Number of Jobs Running","[8] Number of Jobs Running","[3] Number of Jobs Running","[5] Number of Jobs Running","[32] Number of Jobs Running","[10] Number of Jobs Running","[9] Number of Jobs Running","[64] Number of Jobs Running","[12] Number of Jobs Running","[7] Number of Jobs Running","[256] Number of Jobs Running","[20] Number of Jobs Running","[128] Number of Jobs Running","[24] Number of Jobs Running","[42] Number of Jobs Running","[17] Number of Jobs Running","[40] Number of Jobs Running","[48] Number of Jobs Running","[15] Number of Jobs Running","[18] Number of Jobs Running","[14] Number of Jobs Running","[13] Number of Jobs Running","[30] Number of Jobs Running","[36] Number of Jobs Running","[11] Number of Jobs Running","[1024] Number of Jobs Running","[80] Number of Jobs Running","[28] Number of Jobs Running","[121] Number of Jobs Running","[96] Number of Jobs Running","[100] Number of Jobs Running","[50] Number of Jobs Running","[512] Number of Jobs Running","[25] Number of Jobs Running","[38] Number of Jobs Running","[34] Number of Jobs Running","[120] Number of Jobs Running","[22] Number of Jobs Running","[56] Number of Jobs Running","[217] Number of Jobs Running","[23] Number of Jobs Running","[200] Number of Jobs Running","[72] Number of Jobs Running","[26] Number of Jobs Running","[125] Number of Jobs Running","[33] Number of Jobs Running","[60] Number of Jobs Running","[224] Number of Jobs Running","[63] Number of Jobs Running","[126] Number of Jobs Running","[160] Number of Jobs Running","[65] Number of Jobs Running","[45] Number of Jobs Running","[144] Number of Jobs Running","[102] Number of Jobs Running","[240] Number of Jobs Running","[19] Number of Jobs Running","[127] Number of Jobs Running","[192] Number of Jobs Running","[39] Number of Jobs Running","[188] Number of Jobs Running","[142] Number of Jobs Running","[66] Number of Jobs Running","[179] Number of Jobs Running","[70] Number of Jobs Running","[90] Number of Jobs Running","[216] Number of Jobs Running","[75] Number of Jobs Running","[181] Number of Jobs Running","[21] Number of Jobs Running","[27] Number of Jobs Running","[35] Number of Jobs Running","[68] Number of Jobs Running","[54] Number of Jobs Running","[163] Number of Jobs Running","[57] Number of Jobs Running","[150] Number of Jobs Running","[450] Number of Jobs Running","[132] Number of Jobs Running","[250] Number of Jobs Running","[58] Number of Jobs Running","[46] Number of Jobs Running","[61] Number of Jobs Running","[76] Number of Jobs Running","[213] Number of Jobs Running","[52] Number of Jobs Running","[116] Number of Jobs Running","[176] Number of Jobs Running","[62] Number of Jobs Running","[44] Number of Jobs Running","[185] Number of Jobs Running","[119] Number of Jobs Running","[238] Number of Jobs Running","[252] Number of Jobs Running","[29] Number of Jobs Running","[165] Number of Jobs Running","[31] Number of Jobs Running","[135] Number of Jobs Running","[158] Number of Jobs Running","[112] Number of Jobs Running","[244] Number of Jobs Running","[37] Number of Jobs Running","[108] Number of Jobs Running","[157] Number of Jobs Running","[480] Number of Jobs Running","[136] Number of Jobs Running","[41] Number of Jobs Running","[49] Number of Jobs Running","[43] Number of Jobs Running","[77] Number of Jobs Running","[55] Number of Jobs Running","[81] Number of Jobs Running","[225] Number of Jobs Running","[640] Number of Jobs Running","[864] Number of Jobs Running","[69] Number of Jobs Running","[140] Number of Jobs Running","[151] Number of Jobs Running","[168] Number of Jobs Running","[53] Number of Jobs Running","[98] Number of Jobs Running","[197] Number of Jobs Running","[82] Number of Jobs Running","[88] Number of Jobs Running","[99] Number of Jobs Running","[152] Number of Jobs Running","[149] Number of Jobs Running","[242] Number of Jobs Running","[59] Number of Jobs Running","[94] Number of Jobs Running","[500] Number of Jobs Running","[71] Number of Jobs Running","[92] Number of Jobs Running","[122] Number of Jobs Running","[137] Number of Jobs Running","[234] Number of Jobs Running","[255] Number of Jobs Running","[400] Number of Jobs Running","[800] Number of Jobs Running","[103] Number of Jobs Running","[130] Number of Jobs Running","[175] Number of Jobs Running","[187] Number of Jobs Running","[300] Number of Jobs Running","[648] Number of Jobs Running","[118] Number of Jobs Running","[74] Number of Jobs Running","[78] Number of Jobs Running","[198] Number of Jobs Running","[222] Number of Jobs Running","[251] Number of Jobs Running","[1728] Number of Jobs Running","[2000] Number of Jobs Running","[97] Number of Jobs Running","[109] Number of Jobs Running","[960] Number of Jobs Running","[110] Number of Jobs Running","[196] Number of Jobs Running","[208] Number of Jobs Running","[51] Number of Jobs Running","[123] Number of Jobs Running","[600] Number of Jobs Running","[963] Number of Jobs Running","[1000] Number of Jobs Running","[138] Number of Jobs Running","[172] Number of Jobs Running","[204] Number of Jobs Running","[219] Number of Jobs Running","[47] Number of Jobs Running","[84] Number of Jobs Running","[95] Number of Jobs Running","[124] Number of Jobs Running","[203] Number of Jobs Running","[220] Number of Jobs Running","[230] Number of Jobs Running","[235] Number of Jobs Running","[325] Number of Jobs Running","[813] Number of Jobs Running","[67] Number of Jobs Running","[73] Number of Jobs Running","[129] Number of Jobs Running","[133] Number of Jobs Running","[148] Number of Jobs Running","[169] Number of Jobs Running","[183] Number of Jobs Running","[211] Number of Jobs Running","[226] Number of Jobs Running","[384] Number of Jobs Running","[464] Number of Jobs Running","[481] Number of Jobs Running","[544] Number of Jobs Running","[547] Number of Jobs Running","[570] Number of Jobs Running","[576] Number of Jobs Running","[850] Number of Jobs Running","[1856] Number of Jobs Running","[4000] Number of Jobs Running","[79] Number of Jobs Running","[83] Number of Jobs Running","[85] Number of Jobs Running","[87] Number of Jobs Running","[105] Number of Jobs Running","[107] Number of Jobs Running","[117] Number of Jobs Running","[139] Number of Jobs Running","[141] Number of Jobs Running","[153] Number of Jobs Running","[154] Number of Jobs Running","[177] Number of Jobs Running","[210] Number of Jobs Running","[229] Number of Jobs Running","[232] Number of Jobs Running","[274] Number of Jobs Running","[321] Number of Jobs Running","[350] Number of Jobs Running","[455] Number of Jobs Running","[475] Number of Jobs Running","[520] Number of Jobs Running","[550] Number of Jobs Running","[768] Number of Jobs Running","[827] Number of Jobs Running","[875] Number of Jobs Running","[896] Number of Jobs Running","[900] Number of Jobs Running","[928] Number of Jobs Running","[2048] Number of Jobs Running","[3712] Number of Jobs Running"
2015-02-01,1191,1357,475,21,472,163,230,74,53,4,199,28,38,141,13,13,11,26,0,0,2,20,10,4,10,16,15,0,86,6,82,2,0,8,0,3,2,10,0,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,1832,939,490,46,316,280,237,55,135,7,18,56,35,2,32,22,40,25,0,2,17,10,6,7,5,24,3,5,0,17,0,3,0,18,0,9,17,18,1,2,8,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,5,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03,1969,1101,490,58,505,278,674,117,79,10,40,48,43,10,30,23,35,24,0,4,22,4,6,3,8,17,8,9,1,9,0,0,0,45,0,15,8,2,1,3,32,7,0,0,0,0,0,0,0,0,3,0,0,12,0,0,1,0,4,2,2,0,1,1,0,0,4,0,0,0,1,0,0,0,0,0,0,3,0,0,10,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04,2182,804,344,33,374,214,473,74,90,9,13,30,29,6,18,29,27,32,0,8,16,5,2,6,7,29,13,2,0,8,1,0,0,3,0,3,7,2,1,3,9,2,0,0,0,0,0,0,0,0,2,0,0,11,0,0,1,0,2,6,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-05,2301,642,348,52,345,183,138,68,117,72,2,22,19,3,63,16,17,13,0,84,34,6,8,5,3,1,7,8,2,20,1,3,0,4,0,3,20,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06,1633,607,467,38,277,201,122,68,67,183,14,27,7,11,20,15,19,11,0,115,12,14,0,8,10,4,4,8,1,11,0,3,0,4,0,9,11,2,0,1,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,1,0,2,0,0,0,0,0,5,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-07,1190,699,276,67,282,176,92,56,44,169,52,17,7,1,58,16,5,22,0,144,10,3,3,6,2,2,2,6,0,3,0,7,0,6,1,4,1,1,3,1,0,3,0,0,1,1,0,0,0,0,2,0,0,0,3,0,3,0,1,0,0,0,1,1,3,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-08,1983,853,389,28,484,207,83,50,67,35,21,28,24,4,39,20,26,23,0,12,5,2,5,4,4,3,3,2,0,11,7,4,0,11,1,2,11,2,4,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-09,2548,718,444,58,345,194,89,40,83,176,15,61,14,29,42,44,34,11,0,3,13,5,7,0,11,3,6,17,3,26,1,3,0,5,1,4,23,1,0,7,5,5,0,0,4,0,1,4,0,2,3,0,0,28,0,0,5,0,1,0,5,0,1,1,1,0,4,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-10,683,356,80,10,124,59,40,28,39,24,7,23,0,2,6,1,5,13,0,1,4,2,5,3,6,0,0,0,0,5,1,2,0,2,1,3,3,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
