title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2015-08-01,2016-01-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[8] Number of Jobs Running","[16] Number of Jobs Running","[3] Number of Jobs Running","[6] Number of Jobs Running","[10] Number of Jobs Running","[32] Number of Jobs Running","[64] Number of Jobs Running","[5] Number of Jobs Running","[9] Number of Jobs Running","[20] Number of Jobs Running","[12] Number of Jobs Running","[128] Number of Jobs Running","[36] Number of Jobs Running","[256] Number of Jobs Running","[14] Number of Jobs Running","[11] Number of Jobs Running","[7] Number of Jobs Running","[40] Number of Jobs Running","[24] Number of Jobs Running","[18] Number of Jobs Running","[30] Number of Jobs Running","[15] Number of Jobs Running","[13] Number of Jobs Running","[17] Number of Jobs Running","[48] Number of Jobs Running","[80] Number of Jobs Running","[60] Number of Jobs Running","[217] Number of Jobs Running","[25] Number of Jobs Running","[384] Number of Jobs Running","[100] Number of Jobs Running","[163] Number of Jobs Running","[50] Number of Jobs Running","[45] Number of Jobs Running","[34] Number of Jobs Running","[96] Number of Jobs Running","[35] Number of Jobs Running","[56] Number of Jobs Running","[91] Number of Jobs Running","[127] Number of Jobs Running","[63] Number of Jobs Running","[19] Number of Jobs Running","[28] Number of Jobs Running","[125] Number of Jobs Running","[23] Number of Jobs Running","[1024] Number of Jobs Running","[181] Number of Jobs Running","[21] Number of Jobs Running","[42] Number of Jobs Running","[512] Number of Jobs Running","[72] Number of Jobs Running","[160] Number of Jobs Running","[47] Number of Jobs Running","[144] Number of Jobs Running","[57] Number of Jobs Running","[65] Number of Jobs Running","[75] Number of Jobs Running","[120] Number of Jobs Running","[250] Number of Jobs Running","[26] Number of Jobs Running","[200] Number of Jobs Running","[255] Number of Jobs Running","[38] Number of Jobs Running","[33] Number of Jobs Running","[27] Number of Jobs Running","[29] Number of Jobs Running","[216] Number of Jobs Running","[179] Number of Jobs Running","[66] Number of Jobs Running","[126] Number of Jobs Running","[55] Number of Jobs Running","[108] Number of Jobs Running","[44] Number of Jobs Running","[62] Number of Jobs Running","[138] Number of Jobs Running","[90] Number of Jobs Running","[53] Number of Jobs Running","[192] Number of Jobs Running","[70] Number of Jobs Running","[73] Number of Jobs Running","[39] Number of Jobs Running","[68] Number of Jobs Running","[150] Number of Jobs Running","[224] Number of Jobs Running","[225] Number of Jobs Running","[116] Number of Jobs Running","[165] Number of Jobs Running","[112] Number of Jobs Running","[240] Number of Jobs Running","[67] Number of Jobs Running","[84] Number of Jobs Running","[103] Number of Jobs Running","[79] Number of Jobs Running","[188] Number of Jobs Running","[132] Number of Jobs Running","[168] Number of Jobs Running","[22] Number of Jobs Running","[43] Number of Jobs Running","[54] Number of Jobs Running","[76] Number of Jobs Running","[113] Number of Jobs Running","[140] Number of Jobs Running","[124] Number of Jobs Running","[180] Number of Jobs Running","[252] Number of Jobs Running","[105] Number of Jobs Running","[135] Number of Jobs Running","[158] Number of Jobs Running","[52] Number of Jobs Running","[203] Number of Jobs Running","[98] Number of Jobs Running","[37] Number of Jobs Running","[118] Number of Jobs Running","[136] Number of Jobs Running","[768] Number of Jobs Running","[81] Number of Jobs Running","[152] Number of Jobs Running","[46] Number of Jobs Running","[85] Number of Jobs Running","[151] Number of Jobs Running","[83] Number of Jobs Running","[243] Number of Jobs Running","[133] Number of Jobs Running","[185] Number of Jobs Running","[94] Number of Jobs Running","[172] Number of Jobs Running","[864] Number of Jobs Running","[156] Number of Jobs Running","[166] Number of Jobs Running","[545] Number of Jobs Running","[82] Number of Jobs Running","[49] Number of Jobs Running","[129] Number of Jobs Running","[248] Number of Jobs Running","[320] Number of Jobs Running","[88] Number of Jobs Running","[190] Number of Jobs Running","[540] Number of Jobs Running","[31] Number of Jobs Running","[109] Number of Jobs Running","[119] Number of Jobs Running","[122] Number of Jobs Running","[130] Number of Jobs Running","[147] Number of Jobs Running","[161] Number of Jobs Running","[186] Number of Jobs Running","[198] Number of Jobs Running","[211] Number of Jobs Running","[253] Number of Jobs Running","[59] Number of Jobs Running","[99] Number of Jobs Running","[175] Number of Jobs Running","[231] Number of Jobs Running","[51] Number of Jobs Running","[61] Number of Jobs Running","[86] Number of Jobs Running","[97] Number of Jobs Running","[115] Number of Jobs Running","[131] Number of Jobs Running","[223] Number of Jobs Running","[269] Number of Jobs Running","[549] Number of Jobs Running","[41] Number of Jobs Running","[58] Number of Jobs Running","[77] Number of Jobs Running","[93] Number of Jobs Running","[110] Number of Jobs Running","[141] Number of Jobs Running","[208] Number of Jobs Running","[218] Number of Jobs Running","[244] Number of Jobs Running","[71] Number of Jobs Running","[74] Number of Jobs Running","[78] Number of Jobs Running","[95] Number of Jobs Running","[101] Number of Jobs Running","[123] Number of Jobs Running","[153] Number of Jobs Running","[162] Number of Jobs Running","[238] Number of Jobs Running","[249] Number of Jobs Running","[579] Number of Jobs Running","[87] Number of Jobs Running","[92] Number of Jobs Running","[106] Number of Jobs Running","[137] Number of Jobs Running","[178] Number of Jobs Running","[213] Number of Jobs Running","[226] Number of Jobs Running","[233] Number of Jobs Running","[236] Number of Jobs Running","[433] Number of Jobs Running","[640] Number of Jobs Running","[950] Number of Jobs Running","[1000] Number of Jobs Running","[102] Number of Jobs Running","[104] Number of Jobs Running","[114] Number of Jobs Running","[134] Number of Jobs Running","[145] Number of Jobs Running","[146] Number of Jobs Running","[148] Number of Jobs Running","[164] Number of Jobs Running","[170] Number of Jobs Running","[173] Number of Jobs Running","[182] Number of Jobs Running","[195] Number of Jobs Running","[196] Number of Jobs Running","[199] Number of Jobs Running","[201] Number of Jobs Running","[205] Number of Jobs Running","[206] Number of Jobs Running","[209] Number of Jobs Running","[214] Number of Jobs Running","[219] Number of Jobs Running","[220] Number of Jobs Running","[232] Number of Jobs Running","[235] Number of Jobs Running","[239] Number of Jobs Running","[251] Number of Jobs Running","[262] Number of Jobs Running","[264] Number of Jobs Running","[360] Number of Jobs Running","[524] Number of Jobs Running","[546] Number of Jobs Running","[649] Number of Jobs Running","[865] Number of Jobs Running","[998] Number of Jobs Running","[1020] Number of Jobs Running","[4320] Number of Jobs Running"
2015-08-01,1016,373,253,193,175,62,69,116,43,22,39,12,9,15,13,2,4,9,0,0,3,2,10,9,6,4,64,11,3,0,0,2,0,1,3,3,2,1,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,1274,504,325,220,147,116,73,70,40,19,41,6,18,19,23,3,5,13,0,2,3,1,8,5,7,6,21,8,5,0,0,1,0,0,5,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,3,0,2,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,1475,390,445,233,219,130,52,109,42,20,47,14,19,17,21,2,9,10,0,14,7,5,7,4,9,9,1,9,8,1,0,0,0,0,4,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,2,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,1290,305,382,217,170,49,32,184,45,25,42,22,14,20,16,2,2,9,3,6,3,4,7,5,4,1,1,11,1,1,0,1,0,0,4,0,1,5,0,0,1,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,1673,518,310,292,208,115,44,43,46,37,56,36,15,26,13,4,7,19,1,0,22,6,6,3,15,5,8,8,15,1,0,2,0,0,4,0,0,1,0,0,2,0,1,3,1,1,0,0,5,0,1,2,0,0,0,0,0,1,0,1,0,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,1500,445,262,232,198,69,58,75,33,21,55,20,18,24,15,3,22,16,1,0,6,3,6,7,9,7,16,6,7,0,0,2,0,0,3,1,0,1,0,0,0,0,1,1,1,1,0,2,5,0,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,1218,419,410,124,229,143,76,116,37,17,54,49,13,22,36,2,2,12,1,1,12,5,5,9,6,1,87,8,15,0,0,6,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,6,0,0,4,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-08,943,338,309,149,299,143,79,90,28,12,7,57,11,19,20,1,7,4,3,0,8,0,5,4,1,1,62,4,0,0,0,2,0,0,0,1,0,0,1,0,2,0,1,0,1,1,0,1,3,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,950,472,294,391,230,192,51,88,36,17,16,17,12,28,3,2,11,5,1,1,13,6,5,12,12,1,68,19,2,1,0,0,0,0,0,0,0,0,1,0,2,0,1,2,1,3,0,2,2,0,0,4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,1469,915,544,299,313,187,113,86,37,6,35,13,10,60,3,1,9,10,3,0,15,10,9,7,4,1,40,16,3,5,2,0,0,2,0,0,0,0,1,0,2,0,1,0,0,3,0,2,1,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
