title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2010-08-01,2011-01-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[3] Number of Jobs Running","[8] Number of Jobs Running","[6] Number of Jobs Running","[15] Number of Jobs Running","[16] Number of Jobs Running","[24] Number of Jobs Running"
2011-01-05,101,0,0,0,0,0,0,0,0
2011-01-06,101,0,0,0,0,0,0,0,0
2011-01-07,101,0,0,0,0,0,0,0,0
2011-01-08,139,0,0,0,0,0,0,0,0
2011-01-09,139,0,0,0,0,0,0,0,0
2011-01-10,139,0,0,0,0,0,0,0,0
2011-01-11,139,0,0,0,0,0,0,0,0
2011-01-12,139,11,0,0,0,0,0,0,0
2011-01-13,142,15,0,0,0,0,0,0,0
2011-01-14,135,14,0,0,0,0,0,0,0
2011-01-15,0,3,0,0,0,0,0,0,0
2011-01-16,0,18,0,0,0,0,0,0,0
2011-01-17,1,12,0,0,0,0,0,0,0
2011-01-18,7,14,0,0,0,0,0,0,0
2011-01-19,0,31,0,0,0,0,0,0,0
2011-01-20,12,22,20,1,1,1,0,0,0
2011-01-21,9,19,12,0,0,0,0,0,0
2011-01-22,1,20,11,0,0,0,0,0,0
2011-01-23,0,5,6,0,0,0,0,0,0
2011-01-24,3,15,0,0,0,0,0,0,0
2011-01-25,1,16,2,3,1,0,1,0,0
2011-01-26,177,17,2,3,1,0,0,1,1
2011-01-27,94,2,0,3,0,0,0,0,0
2011-01-28,127,42,3,3,1,0,0,0,0
2011-01-29,51,16,1,3,2,0,0,0,0
2011-01-30,47,35,0,3,0,0,0,0,0
2011-01-31,52,43,1,3,2,0,0,0,0
---------
