title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2011-02-01,2011-07-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[8] Number of Jobs Running","[4] Number of Jobs Running","[3] Number of Jobs Running","[32] Number of Jobs Running","[6] Number of Jobs Running","[16] Number of Jobs Running","[5] Number of Jobs Running","[20] Number of Jobs Running","[12] Number of Jobs Running","[10] Number of Jobs Running","[7] Number of Jobs Running","[24] Number of Jobs Running","[28] Number of Jobs Running","[9] Number of Jobs Running","[18] Number of Jobs Running","[15] Number of Jobs Running","[13] Number of Jobs Running","[23] Number of Jobs Running","[26] Number of Jobs Running","[14] Number of Jobs Running","[25] Number of Jobs Running","[30] Number of Jobs Running","[11] Number of Jobs Running","[22] Number of Jobs Running"
2011-02-01,52,66,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-02,33,62,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-03,26,54,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-04,29,48,3,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-05,26,20,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-06,0,15,5,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-07,0,52,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-08,1,64,3,3,9,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-09,6,78,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,47,116,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-11,98,74,3,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-12,108,65,1,15,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-13,34,41,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-14,38,62,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011-02-15,47,65,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
