title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2013-02-01,2013-07-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[8] Number of Jobs Running","[16] Number of Jobs Running","[3] Number of Jobs Running","[32] Number of Jobs Running","[6] Number of Jobs Running","[9] Number of Jobs Running","[12] Number of Jobs Running","[7] Number of Jobs Running","[5] Number of Jobs Running","[10] Number of Jobs Running","[15] Number of Jobs Running","[20] Number of Jobs Running","[14] Number of Jobs Running","[30] Number of Jobs Running","[24] Number of Jobs Running","[21] Number of Jobs Running","[18] Number of Jobs Running","[13] Number of Jobs Running","[26] Number of Jobs Running","[11] Number of Jobs Running","[27] Number of Jobs Running","[23] Number of Jobs Running"
2013-02-01,881,168,34,6,17,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013-02-02,2589,107,27,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-02-03,413,51,21,4,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-02-04,1803,160,31,8,3,11,3,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
2013-02-05,1280,98,21,8,12,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-02-06,1362,154,15,10,6,15,8,2,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
2013-02-07,1507,101,30,12,2,29,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2013-02-08,1107,119,15,12,13,15,10,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2013-02-09,1574,38,16,6,2,4,27,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
2013-02-10,388,58,5,2,0,2,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
2013-02-11,1340,111,13,7,3,10,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0
