title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2014-08-01,2015-01-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[8] Number of Jobs Running","[3] Number of Jobs Running","[32] Number of Jobs Running","[16] Number of Jobs Running","[6] Number of Jobs Running","[12] Number of Jobs Running","[9] Number of Jobs Running","[24] Number of Jobs Running","[10] Number of Jobs Running","[5] Number of Jobs Running","[20] Number of Jobs Running","[31] Number of Jobs Running","[22] Number of Jobs Running","[7] Number of Jobs Running","[17] Number of Jobs Running","[11] Number of Jobs Running","[18] Number of Jobs Running","[15] Number of Jobs Running","[14] Number of Jobs Running","[30] Number of Jobs Running","[28] Number of Jobs Running","[25] Number of Jobs Running","[13] Number of Jobs Running","[26] Number of Jobs Running"
2014-08-01,818,216,17,5,0,2,6,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-02,943,120,8,1,0,5,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-03,756,128,7,7,0,6,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-04,1982,265,37,24,1,1,5,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-05,2889,164,28,13,4,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-06,3192,237,18,6,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-07,949,347,7,8,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-08,1103,319,25,11,10,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-09,941,120,11,7,6,1,11,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-10,623,142,5,3,7,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-11,850,233,24,0,20,0,13,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-12,455,191,51,19,15,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-13,558,258,16,2,7,3,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-14,521,230,32,7,10,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-15,625,147,17,7,3,0,6,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-16,488,76,25,5,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-17,639,85,17,7,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-18,696,171,22,21,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-19,879,145,33,9,4,8,4,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-20,820,261,35,6,1,4,5,0,0,5,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-08-21,591,172,30,12,6,5,6,0,6,13,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2014-08-22,611,202,17,11,0,2,17,0,3,20,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2014-08-23,446,119,10,9,0,1,3,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-08-24,379,72,7,8,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-08-25,414,180,10,5,0,5,3,0,2,0,3,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2014-08-26,582,219,10,9,8,5,9,1,4,0,1,4,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0
2014-08-27,679,138,58,8,10,2,5,0,5,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2014-08-28,565,172,15,7,7,3,8,0,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-08-29,424,135,20,11,4,6,1,0,3,6,1,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-08-30,684,66,24,7,4,130,4,0,1,4,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
2014-08-31,386,64,19,2,2,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
