title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[3] Number of Jobs Running","[8] Number of Jobs Running","[4] Number of Jobs Running","[5] Number of Jobs Running","[32] Number of Jobs Running","[10] Number of Jobs Running","[6] Number of Jobs Running","[16] Number of Jobs Running","[20] Number of Jobs Running","[24] Number of Jobs Running","[12] Number of Jobs Running","[9] Number of Jobs Running","[11] Number of Jobs Running","[7] Number of Jobs Running","[14] Number of Jobs Running","[22] Number of Jobs Running","[28] Number of Jobs Running","[31] Number of Jobs Running","[13] Number of Jobs Running","[15] Number of Jobs Running","[18] Number of Jobs Running","[25] Number of Jobs Running"
2015-02-01,1698,111,4,2,7,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,1654,206,4,9,4,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03,925,172,3,9,4,0,2,0,2,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2015-02-04,1252,207,4,6,5,0,3,0,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0
2015-02-05,1183,184,6,4,5,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2015-02-06,589,199,6,14,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-02-07,412,82,8,14,4,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-08,261,120,9,25,4,0,3,0,1,0,10,0,0,0,2,0,0,0,1,0,0,0,0,0
2015-02-09,934,233,16,22,6,0,3,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
2015-02-10,3296,210,11,19,8,1,4,0,2,1,0,0,1,10,0,0,0,0,0,1,0,0,0,0
2015-02-11,2904,211,9,8,5,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-02-12,2117,171,8,7,3,0,2,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-02-13,1588,183,9,16,7,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-14,1416,57,7,10,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-15,1569,122,8,15,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2015-02-16,3148,190,7,10,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015-02-17,1855,161,7,14,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-02-18,2576,202,8,19,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-02-19,3903,279,10,12,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-02-20,2666,126,6,2,11,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-21,356,83,6,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2015-02-22,3124,114,6,5,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-23,4393,247,7,1,13,4,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2015-02-24,3405,260,8,2,12,2,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2015-02-25,2377,213,11,1,7,3,11,0,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2015-02-26,4908,244,10,1,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-02-27,2195,168,10,4,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
