Day,[1] Number of Jobs Started,[2] Number of Jobs Started,[4] Number of Jobs Started,[8] Number of Jobs Started,[3] Number of Jobs Started,[10] Number of Jobs Started,[6] Number of Jobs Started,[12] Number of Jobs Started,[16] Number of Jobs Started,[5] Number of Jobs Started,[20] Number of Jobs Started,[7] Number of Jobs Started,[32] Number of Jobs Started,[24] Number of Jobs Started,[40] Number of Jobs Started,[72] Number of Jobs Started,[18] Number of Jobs Started,[9] Number of Jobs Started,[15] Number of Jobs Started,[30] Number of Jobs Started,[64] Number of Jobs Started,[25] Number of Jobs Started,[11] Number of Jobs Started,[42] Number of Jobs Started,[22] Number of Jobs Started,[14] Number of Jobs Started,[48] Number of Jobs Started,[21] Number of Jobs Started,[36] Number of Jobs Started,[50] Number of Jobs Started,[17] Number of Jobs Started,[13] Number of Jobs Started,[60] Number of Jobs Started,[70] Number of Jobs Started,[26] Number of Jobs Started,[19] Number of Jobs Started,[54] Number of Jobs Started,[43] Number of Jobs Started,[71] Number of Jobs Started,[33] Number of Jobs Started,[56] Number of Jobs Started,[28] Number of Jobs Started,[29] Number of Jobs Started,[51] Number of Jobs Started,[65] Number of Jobs Started,[35] Number of Jobs Started,[27] Number of Jobs Started,[55] Number of Jobs Started,[41] Number of Jobs Started,[58] Number of Jobs Started,[52] Number of Jobs Started,[67] Number of Jobs Started,[44] Number of Jobs Started,[45] Number of Jobs Started,[34] Number of Jobs Started,[49] Number of Jobs Started,[68] Number of Jobs Started,[23] Number of Jobs Started,[31] Number of Jobs Started,[38] Number of Jobs Started,[46] Number of Jobs Started,[37] Number of Jobs Started,[39] Number of Jobs Started,[57] Number of Jobs Started,[63] Number of Jobs Started,[66] Number of Jobs Started
2015-08-01,1044,75,43,15,2,18,29,7,6,0,2,0,2,0,2,1,0,0,0,7,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,567,120,42,13,9,17,3,2,3,2,2,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,704,245,108,90,65,51,12,10,6,3,8,1,3,2,4,7,0,3,0,3,4,0,0,0,0,0,4,0,2,0,0,0,3,0,0,0,0,1,0,0,5,2,0,0,0,0,0,0,0,0,6,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
2015-08-04,472,231,72,35,46,88,1,17,3,12,12,2,1,0,1,6,0,4,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,696,266,44,45,28,80,10,15,43,3,2,0,1,0,5,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,681,242,58,29,12,41,27,11,22,0,8,0,0,0,6,2,0,0,0,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,681,173,41,27,77,48,15,3,20,0,1,0,1,0,9,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-08,447,89,58,19,25,3,12,12,10,1,6,0,2,0,6,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,1152,118,61,16,32,14,10,9,7,1,6,0,9,1,4,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,1652,348,106,34,45,12,12,11,9,3,6,0,1,0,9,5,14,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,585,258,61,16,37,7,8,11,19,11,19,0,1,1,25,1,0,2,0,2,0,0,0,0,8,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
